magnitude_bin_left,count,cum_count_ge_bin,window
1.1,2,415,aftershock_0_0p5d
1.2000000000000002,5,413,aftershock_0_0p5d
1.3000000000000003,8,408,aftershock_0_0p5d
1.4000000000000004,11,400,aftershock_0_0p5d
1.5000000000000004,25,389,aftershock_0_0p5d
1.6000000000000005,15,364,aftershock_0_0p5d
1.7000000000000006,26,349,aftershock_0_0p5d
1.8000000000000007,15,323,aftershock_0_0p5d
1.9000000000000008,19,308,aftershock_0_0p5d
2.000000000000001,22,289,aftershock_0_0p5d
2.100000000000001,23,267,aftershock_0_0p5d
2.200000000000001,24,244,aftershock_0_0p5d
2.300000000000001,17,220,aftershock_0_0p5d
2.4000000000000012,18,203,aftershock_0_0p5d
2.5000000000000013,12,185,aftershock_0_0p5d
2.6000000000000014,14,173,aftershock_0_0p5d
2.7000000000000015,16,159,aftershock_0_0p5d
2.8000000000000016,16,143,aftershock_0_0p5d
2.9000000000000017,8,127,aftershock_0_0p5d
3.0000000000000018,14,119,aftershock_0_0p5d
3.100000000000002,13,105,aftershock_0_0p5d
3.200000000000002,10,92,aftershock_0_0p5d
3.300000000000002,14,82,aftershock_0_0p5d
3.400000000000002,12,68,aftershock_0_0p5d
3.500000000000002,8,56,aftershock_0_0p5d
3.6000000000000023,6,48,aftershock_0_0p5d
3.7000000000000024,3,42,aftershock_0_0p5d
3.8000000000000025,4,39,aftershock_0_0p5d
3.9000000000000026,7,35,aftershock_0_0p5d
4.000000000000003,4,28,aftershock_0_0p5d
4.100000000000003,2,24,aftershock_0_0p5d
4.200000000000003,0,22,aftershock_0_0p5d
4.3000000000000025,2,22,aftershock_0_0p5d
4.400000000000003,4,20,aftershock_0_0p5d
4.5000000000000036,2,16,aftershock_0_0p5d
4.600000000000003,0,14,aftershock_0_0p5d
4.700000000000003,1,14,aftershock_0_0p5d
4.800000000000003,2,13,aftershock_0_0p5d
4.900000000000004,2,11,aftershock_0_0p5d
5.0000000000000036,2,9,aftershock_0_0p5d
5.100000000000003,1,7,aftershock_0_0p5d
5.200000000000003,0,6,aftershock_0_0p5d
5.300000000000004,0,6,aftershock_0_0p5d
5.400000000000004,2,6,aftershock_0_0p5d
5.5000000000000036,0,4,aftershock_0_0p5d
5.600000000000003,0,4,aftershock_0_0p5d
5.700000000000005,0,4,aftershock_0_0p5d
5.800000000000004,2,4,aftershock_0_0p5d
5.900000000000004,0,2,aftershock_0_0p5d
6.0000000000000036,1,2,aftershock_0_0p5d
6.100000000000005,0,1,aftershock_0_0p5d
6.200000000000005,0,1,aftershock_0_0p5d
6.300000000000004,0,1,aftershock_0_0p5d
6.400000000000004,0,1,aftershock_0_0p5d
6.500000000000005,1,1,aftershock_0_0p5d
6.600000000000005,0,0,aftershock_0_0p5d
