magnitude_bin_left,count,cum_count_ge_bin,window
0.8,1,396,foreshock_final2d
0.9,3,395,foreshock_final2d
1.0,6,392,foreshock_final2d
1.1,10,386,foreshock_final2d
1.2,24,376,foreshock_final2d
1.2999999999999998,20,352,foreshock_final2d
1.4,32,332,foreshock_final2d
1.5,29,300,foreshock_final2d
1.5999999999999999,45,271,foreshock_final2d
1.6999999999999997,25,226,foreshock_final2d
1.7999999999999998,29,201,foreshock_final2d
1.8999999999999997,22,172,foreshock_final2d
1.9999999999999998,22,150,foreshock_final2d
2.0999999999999996,13,128,foreshock_final2d
2.1999999999999997,9,115,foreshock_final2d
2.3,12,106,foreshock_final2d
2.3999999999999995,9,94,foreshock_final2d
2.5,5,85,foreshock_final2d
2.5999999999999996,6,80,foreshock_final2d
2.6999999999999993,4,74,foreshock_final2d
2.8,7,70,foreshock_final2d
2.8999999999999995,11,63,foreshock_final2d
2.999999999999999,2,52,foreshock_final2d
3.0999999999999996,8,50,foreshock_final2d
3.1999999999999993,7,42,foreshock_final2d
3.3,5,35,foreshock_final2d
3.3999999999999995,3,30,foreshock_final2d
3.499999999999999,4,27,foreshock_final2d
3.5999999999999996,3,23,foreshock_final2d
3.6999999999999993,1,20,foreshock_final2d
3.799999999999999,2,19,foreshock_final2d
3.8999999999999995,1,17,foreshock_final2d
3.999999999999999,2,16,foreshock_final2d
4.1,0,14,foreshock_final2d
4.199999999999999,0,14,foreshock_final2d
4.299999999999999,0,14,foreshock_final2d
4.3999999999999995,1,14,foreshock_final2d
4.499999999999999,1,13,foreshock_final2d
4.599999999999999,2,12,foreshock_final2d
4.699999999999999,3,10,foreshock_final2d
4.799999999999999,1,7,foreshock_final2d
4.899999999999999,0,6,foreshock_final2d
4.999999999999999,1,6,foreshock_final2d
5.099999999999999,1,5,foreshock_final2d
5.199999999999998,1,4,foreshock_final2d
5.299999999999999,0,3,foreshock_final2d
5.399999999999999,1,3,foreshock_final2d
5.499999999999999,1,2,foreshock_final2d
5.599999999999999,0,1,foreshock_final2d
5.699999999999998,0,1,foreshock_final2d
5.799999999999999,0,1,foreshock_final2d
5.899999999999999,1,1,foreshock_final2d
