chunk_index,chunk_start_inclusive,chunk_end_exclusive,submitted_list_year,submitted_list_month,submitted_list_day,submitted_list_span_days,submitted_end_inclusive,status,parse_status,attempts,http_status,response_bytes,parsed_rows,actual_returned_datetime_min,actual_returned_datetime_max,retained_sanriku_rows,retained_sanriku_datetime_min,retained_sanriku_datetime_max,raw_file_path,debug_file_path,message
1,2025-06-01,2025-06-08,2025,06,01,7,2025-06-07,success,parsed,1,200,644616,5359,2025-06-01 00:03:37.790000,2025-06-07 23:58:37.320000,502,2025-06-01 00:09:02.360000,2025-06-07 23:05:54.700000,,,ok
2,2025-06-08,2025-06-15,2025,06,08,7,2025-06-14,success,parsed,1,200,1010738,8987,2025-06-08 00:01:06.020000,2025-06-14 23:59:47.530000,428,2025-06-08 00:30:20.410000,2025-06-14 23:56:09.310000,,,ok
3,2025-06-15,2025-06-22,2025,06,15,7,2025-06-21,success,parsed,1,200,664597,5706,2025-06-15 00:02:13.200000,2025-06-21 23:59:31.300000,381,2025-06-15 00:58:54.890000,2025-06-21 23:21:11.760000,,,ok
4,2025-06-22,2025-06-29,2025,06,22,7,2025-06-28,success,parsed,1,200,900140,7191,2025-06-22 00:05:23.110000,2025-06-28 23:59:31.400000,378,2025-06-22 00:39:21.890000,2025-06-28 23:42:46.820000,,,ok
5,2025-06-29,2025-07-06,2025,06,29,7,2025-07-05,success,parsed,1,200,1048683,8596,2025-06-29 00:00:47.140000,2025-07-05 23:59:38.680000,437,2025-06-29 00:31:10.060000,2025-07-05 23:50:36.180000,,,ok
6,2025-07-06,2025-07-13,2025,07,06,7,2025-07-12,success,parsed,1,200,911248,7189,2025-07-06 00:02:22.470000,2025-07-12 23:54:31.350000,405,2025-07-06 00:19:07.470000,2025-07-12 23:51:16.990000,,,ok
7,2025-07-13,2025-07-20,2025,07,13,7,2025-07-19,success,parsed,1,200,660818,5074,2025-07-13 00:00:16.450000,2025-07-19 23:57:56.800000,349,2025-07-13 00:14:23.450000,2025-07-19 23:19:14.470000,,,ok
8,2025-07-20,2025-07-27,2025,07,20,7,2025-07-26,success,parsed,1,200,625326,5250,2025-07-20 00:01:44.930000,2025-07-26 23:58:09.750000,387,2025-07-20 01:29:33.890000,2025-07-26 23:40:41.690000,,,ok
9,2025-07-27,2025-08-03,2025,07,27,7,2025-08-02,success,parsed,1,200,536525,4486,2025-07-27 00:00:05.450000,2025-08-02 23:59:59.710000,428,2025-07-27 00:00:05.450000,2025-08-02 23:39:14.290000,,,ok
10,2025-08-03,2025-08-10,2025,08,03,7,2025-08-09,success,parsed,1,200,693396,5812,2025-08-03 00:00:16.970000,2025-08-09 23:59:10.750000,396,2025-08-03 00:38:29.150000,2025-08-09 23:54:12.220000,,,ok
11,2025-08-10,2025-08-17,2025,08,10,7,2025-08-16,success,parsed,1,200,597808,5104,2025-08-10 00:01:05.710000,2025-08-16 23:59:20.920000,367,2025-08-10 00:23:41.560000,2025-08-16 23:36:07.720000,,,ok
12,2025-08-17,2025-08-24,2025,08,17,7,2025-08-23,success,parsed,1,200,684493,5852,2025-08-17 00:00:10.210000,2025-08-23 23:59:33.520000,453,2025-08-17 00:06:30.550000,2025-08-23 23:59:33.520000,,,ok
