event_id,origin_time,latitude,longitude,depth_km,magnitude,region,npicks
1,2025-05-31T15:09:02.360000Z,42.336833,144.484333,15.980,1.80,SE OFF TOKACHI,23
2,2025-05-31T15:10:08.210000Z,39.634000,142.551333,32.720,1.50,E OFF IWATE PREF,32
3,2025-05-31T15:20:43.090000Z,42.307333,144.447667,11.490,1.70,SE OFF TOKACHI,22
4,2025-05-31T15:24:40.330000Z,42.315500,144.485333,13.470,1.80,SE OFF TOKACHI,27
5,2025-05-31T15:25:56.540000Z,42.325833,144.496833,13.100,1.60,SE OFF TOKACHI,17
6,2025-05-31T15:28:38.410000Z,41.477500,141.173500,16.020,0.80,TSUGARU STRAIT REGION,14
7,2025-05-31T15:30:29.660000Z,42.326500,144.466333,12.890,1.90,SE OFF TOKACHI,22
8,2025-05-31T15:33:19.800000Z,42.308500,144.467333,14.810,2.10,SE OFF TOKACHI,26
9,2025-05-31T15:49:31.640000Z,42.341500,144.486833,18.640,2.00,SE OFF TOKACHI,24
10,2025-05-31T15:54:11.410000Z,42.355333,144.499333,20.880,2.00,SE OFF TOKACHI,35
11,2025-05-31T16:08:24.970000Z,42.336833,144.487000,16.080,1.30,SE OFF TOKACHI,10
12,2025-05-31T16:19:49.880000Z,42.360167,144.495500,17.190,1.70,SE OFF TOKACHI,30
13,2025-05-31T16:40:13.080000Z,42.313500,144.458667,9.410,1.60,SE OFF TOKACHI,17
14,2025-05-31T16:44:17.820000Z,42.321833,144.470833,17.100,2.10,SE OFF TOKACHI,23
15,2025-05-31T16:49:54.130000Z,41.124333,143.160667,18.970,2.00,E OFF AOMORI PREF,26
16,2025-05-31T16:50:28.120000Z,41.120167,143.154833,20.010,2.60,E OFF AOMORI PREF,26
17,2025-05-31T16:53:59.770000Z,41.121667,143.155167,21.240,2.50,E OFF AOMORI PREF,18
18,2025-05-31T16:57:03.320000Z,41.129333,143.158500,18.650,2.30,E OFF AOMORI PREF,12
19,2025-05-31T16:59:46.210000Z,42.303833,144.466333,16.790,1.50,SE OFF TOKACHI,18
20,2025-05-31T17:05:52.300000Z,41.120500,143.161667,18.640,2.30,E OFF AOMORI PREF,28
21,2025-05-31T17:12:12.290000Z,42.308667,144.488833,9.540,1.60,SE OFF TOKACHI,19
22,2025-05-31T17:16:54.840000Z,42.341167,144.424000,14.990,2.00,SE OFF TOKACHI,33
23,2025-05-31T17:30:56.580000Z,42.288333,144.483333,13.520,1.40,SE OFF TOKACHI,10
24,2025-05-31T17:34:24.930000Z,39.184500,142.514833,32.890,1.40,E OFF IWATE PREF,29
25,2025-05-31T17:35:29.180000Z,42.314833,144.487833,20.640,2.20,SE OFF TOKACHI,37
26,2025-05-31T17:52:11.510000Z,42.295167,144.441333,7.860,1.30,SE OFF TOKACHI,8
27,2025-05-31T17:54:04.610000Z,42.318667,144.452833,16.690,2.20,SE OFF TOKACHI,36
