start_date,span_days,raw_file,exists,size_bytes,status,message
2025-06-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-06-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-06-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-06-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-06-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-06-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-07-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-07-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-07-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-07-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-07-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-07-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-07-31,1,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-08-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-08-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-08-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-08-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-08-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-08-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-08-31,1,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-09-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-09-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-09-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-09-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-09-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-09-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-10-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-10-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-10-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-10-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-10-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-10-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-10-31,1,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-11-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-11-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-11-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-11-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-11-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-11-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-12-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-12-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-12-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-12-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-12-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-12-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2025-12-31,1,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-01-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-01-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-01-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-01-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-01-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-01-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-01-31,1,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-02-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-02-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-02-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-02-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-02-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-02-26,3,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-03-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-03-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-03-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-03-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-03-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-03-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-03-31,1,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-04-01,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-04-06,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-04-11,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-04-16,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-04-21,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-04-26,5,<LOCAL_PATH> downloaded raw file reused; network download skipped
2026-05-01,1,<LOCAL_PATH> downloaded raw file reused; network download skipped
