global_window_id,window_family,stage_label,window_index,window_label,start_time,end_time,duration_hours,is_terminal_partial_window
0,post64_hourly,1h_mainshock64_to_mainshock71,0,post64_hourly_1h_mainshock64_to_mainshock71_0000,2019-07-04T17:33:49.040000Z,2019-07-04T18:33:49.040000Z,1.0,False
1,post64_hourly,1h_mainshock64_to_mainshock71,1,post64_hourly_1h_mainshock64_to_mainshock71_0001,2019-07-04T18:33:49.040000Z,2019-07-04T19:33:49.040000Z,1.0,False
2,post64_hourly,1h_mainshock64_to_mainshock71,2,post64_hourly_1h_mainshock64_to_mainshock71_0002,2019-07-04T19:33:49.040000Z,2019-07-04T20:33:49.040000Z,1.0,False
3,post64_hourly,1h_mainshock64_to_mainshock71,3,post64_hourly_1h_mainshock64_to_mainshock71_0003,2019-07-04T20:33:49.040000Z,2019-07-04T21:33:49.040000Z,1.0,False
4,post64_hourly,1h_mainshock64_to_mainshock71,4,post64_hourly_1h_mainshock64_to_mainshock71_0004,2019-07-04T21:33:49.040000Z,2019-07-04T22:33:49.040000Z,1.0,False
5,post64_hourly,1h_mainshock64_to_mainshock71,5,post64_hourly_1h_mainshock64_to_mainshock71_0005,2019-07-04T22:33:49.040000Z,2019-07-04T23:33:49.040000Z,1.0,False
6,post64_hourly,1h_mainshock64_to_mainshock71,6,post64_hourly_1h_mainshock64_to_mainshock71_0006,2019-07-04T23:33:49.040000Z,2019-07-05T00:33:49.040000Z,1.0,False
7,post64_hourly,1h_mainshock64_to_mainshock71,7,post64_hourly_1h_mainshock64_to_mainshock71_0007,2019-07-05T00:33:49.040000Z,2019-07-05T01:33:49.040000Z,1.0,False
8,post64_hourly,1h_mainshock64_to_mainshock71,8,post64_hourly_1h_mainshock64_to_mainshock71_0008,2019-07-05T01:33:49.040000Z,2019-07-05T02:33:49.040000Z,1.0,False
9,post64_hourly,1h_mainshock64_to_mainshock71,9,post64_hourly_1h_mainshock64_to_mainshock71_0009,2019-07-05T02:33:49.040000Z,2019-07-05T03:33:49.040000Z,1.0,False
10,post64_hourly,1h_mainshock64_to_mainshock71,10,post64_hourly_1h_mainshock64_to_mainshock71_0010,2019-07-05T03:33:49.040000Z,2019-07-05T04:33:49.040000Z,1.0,False
11,post64_hourly,1h_mainshock64_to_mainshock71,11,post64_hourly_1h_mainshock64_to_mainshock71_0011,2019-07-05T04:33:49.040000Z,2019-07-05T05:33:49.040000Z,1.0,False
12,post64_hourly,1h_mainshock64_to_mainshock71,12,post64_hourly_1h_mainshock64_to_mainshock71_0012,2019-07-05T05:33:49.040000Z,2019-07-05T06:33:49.040000Z,1.0,False
