global_window_id,window_family,stage_label,window_index,window_label,start_time,end_time,duration_hours,is_terminal_partial_window
0,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,0,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0000,2019-07-04T17:33:49.040000Z,2019-07-04T19:33:49.040000Z,2.0,False
1,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,1,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0001,2019-07-04T19:33:49.040000Z,2019-07-04T21:33:49.040000Z,2.0,False
2,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,2,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0002,2019-07-04T21:33:49.040000Z,2019-07-04T23:33:49.040000Z,2.0,False
3,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,3,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0003,2019-07-04T23:33:49.040000Z,2019-07-05T01:33:49.040000Z,2.0,False
4,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,4,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0004,2019-07-05T01:33:49.040000Z,2019-07-05T03:33:49.040000Z,2.0,False
5,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,5,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0005,2019-07-05T03:33:49.040000Z,2019-07-05T05:33:49.040000Z,2.0,False
6,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,6,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0006,2019-07-05T05:33:49.040000Z,2019-07-05T07:33:49.040000Z,2.0,False
7,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,7,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0007,2019-07-05T07:33:49.040000Z,2019-07-05T09:33:49.040000Z,2.0,False
8,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,8,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0008,2019-07-05T09:33:49.040000Z,2019-07-05T11:33:49.040000Z,2.0,False
9,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,9,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0009,2019-07-05T11:33:49.040000Z,2019-07-05T13:33:49.040000Z,2.0,False
10,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,10,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0010,2019-07-05T13:33:49.040000Z,2019-07-05T15:33:49.040000Z,2.0,False
11,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,11,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0011,2019-07-05T15:33:49.040000Z,2019-07-05T17:33:49.040000Z,2.0,False
12,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,12,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0012,2019-07-05T17:33:49.040000Z,2019-07-05T19:33:49.040000Z,2.0,False
13,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,13,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0013,2019-07-05T19:33:49.040000Z,2019-07-05T21:33:49.040000Z,2.0,False
14,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,14,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0014,2019-07-05T21:33:49.040000Z,2019-07-05T23:33:49.040000Z,2.0,False
15,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,15,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0015,2019-07-05T23:33:49.040000Z,2019-07-06T01:33:49.040000Z,2.0,False
16,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,16,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0016,2019-07-06T01:33:49.040000Z,2019-07-06T03:33:49.040000Z,2.0,False
17,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,17,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0017,2019-07-06T03:33:49.040000Z,2019-07-06T05:33:49.040000Z,2.0,False
18,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,18,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0018,2019-07-06T05:33:49.040000Z,2019-07-06T07:33:49.040000Z,2.0,False
19,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,19,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0019,2019-07-06T07:33:49.040000Z,2019-07-06T09:33:49.040000Z,2.0,False
20,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,20,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0020,2019-07-06T09:33:49.040000Z,2019-07-06T11:33:49.040000Z,2.0,False
21,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,21,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0021,2019-07-06T11:33:49.040000Z,2019-07-06T13:33:49.040000Z,2.0,False
22,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,22,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0022,2019-07-06T13:33:49.040000Z,2019-07-06T15:33:49.040000Z,2.0,False
23,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,23,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0023,2019-07-06T15:33:49.040000Z,2019-07-06T17:33:49.040000Z,2.0,False
24,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,24,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0024,2019-07-06T17:33:49.040000Z,2019-07-06T19:33:49.040000Z,2.0,False
25,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,25,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0025,2019-07-06T19:33:49.040000Z,2019-07-06T21:33:49.040000Z,2.0,False
26,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,26,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0026,2019-07-06T21:33:49.040000Z,2019-07-06T23:33:49.040000Z,2.0,False
27,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,27,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0027,2019-07-06T23:33:49.040000Z,2019-07-07T01:33:49.040000Z,2.0,False
28,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,28,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0028,2019-07-07T01:33:49.040000Z,2019-07-07T03:19:53.040000Z,2.0,True
29,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,0,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0000,2019-07-07T03:19:53.040000Z,2019-07-07T09:19:53.040000Z,6.0,False
30,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,1,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0001,2019-07-07T09:19:53.040000Z,2019-07-07T15:19:53.040000Z,6.0,False
31,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,2,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0002,2019-07-07T15:19:53.040000Z,2019-07-07T21:19:53.040000Z,6.0,False
32,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,3,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0003,2019-07-07T21:19:53.040000Z,2019-07-08T03:19:53.040000Z,6.0,False
33,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,4,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0004,2019-07-08T03:19:53.040000Z,2019-07-08T09:19:53.040000Z,6.0,False
34,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,5,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0005,2019-07-08T09:19:53.040000Z,2019-07-08T15:19:53.040000Z,6.0,False
35,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,6,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0006,2019-07-08T15:19:53.040000Z,2019-07-08T21:19:53.040000Z,6.0,False
36,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,7,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0007,2019-07-08T21:19:53.040000Z,2019-07-09T03:19:53.040000Z,6.0,False
37,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,8,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0008,2019-07-09T03:19:53.040000Z,2019-07-09T09:19:53.040000Z,6.0,False
38,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,9,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0009,2019-07-09T09:19:53.040000Z,2019-07-09T15:19:53.040000Z,6.0,False
39,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,10,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0010,2019-07-09T15:19:53.040000Z,2019-07-09T21:19:53.040000Z,6.0,False
40,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,11,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0011,2019-07-09T21:19:53.040000Z,2019-07-10T03:19:53.040000Z,6.0,False
41,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,12,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0012,2019-07-10T03:19:53.040000Z,2019-07-10T09:19:53.040000Z,6.0,False
42,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,13,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0013,2019-07-10T09:19:53.040000Z,2019-07-10T15:19:53.040000Z,6.0,False
43,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,14,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0014,2019-07-10T15:19:53.040000Z,2019-07-10T21:19:53.040000Z,6.0,False
44,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,15,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0015,2019-07-10T21:19:53.040000Z,2019-07-11T03:19:53.040000Z,6.0,False
