global_window_id,window_family,stage_label,window_index,window_label,start_time,end_time,duration_hours,is_terminal_partial_window,n_events,magnitude_min,magnitude_max,magnitude_mean,magnitude_median,depth_mean_km,depth_median_km,centroid_x_km_local,centroid_y_km_local,centroid_longitude,centroid_latitude,principal_axis_azimuth_deg,major_spread_km,minor_spread_km,anisotropy_ratio,spatial_footprint_area_km2,along_strike_centroid_km,cross_strike_centroid_km,along_strike_spread_km,cross_strike_spread_km,centroid_distance_to_mainshock64_km,centroid_azimuth_from_mainshock64_deg,centroid_distance_to_mainshock71_km,centroid_azimuth_from_mainshock71_deg,window_mid_time,window_start_hours_since_mainshock64,window_end_hours_since_mainshock64,window_start_hours_since_mainshock71,window_end_hours_since_mainshock71,orientation_event_count_sufficient,cluster_event_count_sufficient,prev_centroid_x_km_local,prev_centroid_y_km_local,prev_principal_axis_azimuth_deg,centroid_step_dx_km,centroid_step_dy_km,centroid_step_distance_km,centroid_step_azimuth_deg,principal_axis_azimuth_change_deg,cumulative_centroid_distance_km
0,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,0,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0000,2019-07-04T17:33:49.040000Z,2019-07-04T19:33:49.040000Z,2.0,False,268,1.11,6.4,2.549589552238806,2.36,5.930416371940299,5.553587465000001,-0.08534468181095013,-11.74219703078575,-117.53035806079114,35.68566618027764,27.407968585990716,5.407767168946519,4.269531373216542,1.2665950185704955,731.7113518948338,1.0688960167305923,3.729713807402009,4.349608198816579,5.343571129610213,3.8798587319266815,237.8960382834439,11.540810460746433,150.7594124720555,2019-07-04T18:33:49.040000Z,0.0,2.0,-33.76777777777778,-31.767777777777777,True,True,,,,,,,,,0.0
1,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,1,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0001,2019-07-04T19:33:49.040000Z,2019-07-04T21:33:49.040000Z,2.0,False,282,0.78,4.32,1.8443971631205673,1.7349999999999999,6.005318463829788,5.727783545,-0.5487913119671285,-13.335941531569775,-117.53549627244954,35.67133329163895,27.495643123570744,6.064140188887945,3.4607630607848834,1.752255234576108,611.742010908681,0.34937790184593065,5.2254069561244565,3.6759071532285916,5.936192701911046,5.237073875305953,225.72948434809578,12.760038570344562,156.07857485740487,2019-07-04T20:33:49.040000Z,2.0,4.0,-31.767777777777777,-29.767777777777777,True,True,-0.08534468181095013,-11.74219703078575,27.407968585990716,-0.4634466301561784,-1.593744500784025,1.6597603178719627,196.21395773380013,0.0876745375800283,1.6597603178719627
2,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,2,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0002,2019-07-04T21:33:49.040000Z,2019-07-04T23:33:49.040000Z,2.0,False,270,0.67,4.74,1.6698148148148146,1.57,6.009024191444445,5.531812955000001,-0.3674734461628644,-12.427282554038142,-117.5334860095383,35.67950505814801,25.501455667911046,6.329993888776917,4.136025898822343,1.5304531556679242,681.727956503009,0.8213128531467402,4.428027054415521,4.351757370325459,6.183667249901175,4.503551753602909,232.4121406559363,12.014833733829695,153.53031798544168,2019-07-04T22:33:49.040000Z,4.0,6.0,-29.767777777777777,-27.767777777777777,True,True,-0.5487913119671285,-13.335941531569775,27.495643123570744,0.18131786580426407,0.9086589775316334,0.9265728821353701,11.284833672632828,1.9941874556596986,2.5863332000073327
3,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,3,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0003,2019-07-04T23:33:49.040000Z,2019-07-05T01:33:49.040000Z,2.0,False,284,0.38,4.38,1.4739436619718311,1.31,5.896817123802817,5.4447149150000005,-1.4807023460086035,-12.511988296951099,-117.54582832759492,35.67874328110055,22.0378734001427,7.166572833437159,4.532871273802224,1.5810228000200315,1000.0867267474644,1.5932721531856324,5.234582995077824,4.909714412459132,6.913855114906008,5.471688522428402,238.83320045182427,11.64050704809472,158.627897582473,2019-07-05T00:33:49.040000Z,6.0,8.0,-27.767777777777777,-25.767777777777777,True,True,-0.3674734461628644,-12.427282554038142,25.501455667911046,-1.1132288998457391,-0.0847057429129574,1.1164468846900826,265.6487406948107,3.463582267768345,3.702780084697415
4,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,4,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0004,2019-07-05T01:33:49.040000Z,2019-07-05T03:33:49.040000Z,2.0,False,291,0.46,4.24,1.460343642611684,1.34,5.81272408773196,5.622540080000001,-1.0513486760131392,-13.295742260713782,-117.54106810303136,35.67169481236718,26.25143203110855,7.0360036106789945,4.190704964255643,1.6789546557660704,934.3366794442621,0.7502605725791768,5.531140450920182,4.45952633678685,6.868768430980127,5.581792329939582,229.6289303223432,12.527352046487612,158.10553247251403,2019-07-05T02:33:49.040000Z,8.0,10.0,-25.767777777777777,-23.767777777777777,True,True,-1.4807023460086035,-12.511988296951099,22.0378734001427,0.4293536699954643,-0.7837539637626829,0.8936525329524283,151.28532716090194,4.213558630965849,4.596432617649843
5,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,5,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0005,2019-07-05T03:33:49.040000Z,2019-07-05T05:33:49.040000Z,2.0,False,287,0.35,3.85,1.2749477351916376,1.13,5.711711882857143,5.5209257,-0.9905476941744085,-13.174926427934356,-117.54039400531785,35.67278133525474,23.794059646496407,6.930608384251693,4.287243989631352,1.6165649543187386,979.1674112679476,0.7857002489134564,5.400613617724623,4.6093039953790536,6.7207224522868625,5.45746757471772,230.1818211977137,12.43833683714241,157.63812859599068,2019-07-05T04:33:49.040000Z,10.0,12.0,-23.767777777777777,-21.767777777777777,True,True,-1.0513486760131392,-13.295742260713782,26.25143203110855,0.06080098183873073,0.1208158327794262,0.13525244856467455,26.713983117943883,2.4573723846121425,4.731685066214518
6,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,6,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0006,2019-07-05T05:33:49.040000Z,2019-07-05T07:33:49.040000Z,2.0,False,280,0.38,4.1,1.2518571428571428,1.1349999999999998,5.723117578571429,5.63705642,-0.34146193060137875,-12.434722141796914,-117.53319762105119,35.679438152327904,8.102309278767564,6.5028361739528835,4.25271776332832,1.529101279663465,780.9688626742845,0.7969846716857639,4.416191261470909,5.057255026993074,5.8988692367055995,4.487530481767681,232.13429103616636,12.033103962937023,153.43523656250738,2019-07-05T06:33:49.040000Z,12.0,14.0,-21.767777777777777,-19.767777777777777,True,True,-0.9905476941744085,-13.174926427934356,23.794059646496407,0.6490857635730297,0.7402042861374412,0.9844870307370341,41.247550835821755,15.691750367728844,5.716172096951552
7,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,7,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0007,2019-07-05T07:33:49.040000Z,2019-07-05T09:33:49.040000Z,2.0,False,283,0.39,3.83,1.218409893992933,1.08,5.7413637606007075,5.782219820000001,-0.9248090240118095,-13.082084494934282,-117.53966516367903,35.673616282817555,18.94999616687835,6.805715603259073,4.206979326753461,1.617720239312672,881.6583722911289,0.7987815498529447,5.287608853030088,4.69590987145051,6.478029824521393,5.347603140382392,230.4948309849438,12.37786047267993,157.19320768463047,2019-07-05T08:33:49.040000Z,14.0,16.0,-19.767777777777777,-17.767777777777777,True,True,-0.34146193060137875,-12.434722141796914,8.102309278767564,-0.5833470934104308,-0.6473623531373676,0.8714194441541614,222.02244769130246,10.847686888110786,6.587591541105713
8,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,8,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0008,2019-07-05T09:33:49.040000Z,2019-07-05T11:33:49.040000Z,2.0,False,276,0.23,5.37,1.3827536231884057,1.1749999999999998,5.649390049456523,5.5463292950000005,-1.309738077572333,-11.585488040733456,-117.54393285454562,35.6870754980836,17.136754425128174,6.913774207240209,4.324310916681305,1.5988152425788544,778.0795270309707,2.0848288712526237,4.430839566627853,4.879250120859192,6.533977115886211,4.8968204671606435,247.10254589743857,10.851402824619823,156.00361612625863,2019-07-05T10:33:49.040000Z,16.0,18.0,-17.767777777777777,-15.767777777777777,True,True,-0.9248090240118095,-13.082084494934282,18.94999616687835,-0.38492905356052354,1.4965964542008265,1.5453062230514336,345.57599629808146,1.8132417417501756,8.132897764157146
9,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,9,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0009,2019-07-05T11:33:49.040000Z,2019-07-05T13:33:49.040000Z,2.0,False,306,0.51,4.42,1.4168627450980393,1.31,5.778472137450981,5.82576884,-2.3520298215296185,-8.855508360508965,-117.55548869558916,35.71162679518505,359.4916033459477,7.0634560286649295,3.596689268849522,1.9638771939073645,641.9935720544311,4.683888275540935,3.0951557167065373,5.45414801959975,5.751595791242322,5.614160515020121,278.4472144385913,7.93506759084394,154.86256129952312,2019-07-05T12:33:49.040000Z,18.0,20.0,-15.767777777777777,-13.767777777777777,True,True,-1.309738077572333,-11.585488040733456,17.136754425128174,-1.0422917439572854,2.7299796802244902,2.92218430869104,339.10340926725735,17.64515107918055,11.055082072848187
