family_name,figure_dir_name,file_prefix,page_number,panel_position,figure_filename,window_family,stage_label,global_window_id,window_index,window_label,start_time,end_time,duration_hours
post64_hourly,figures_post64_hourly,post64_hourly,1,1,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,0,0,post64_hourly_1h_mainshock64_to_mainshock71_0000,2019-07-04T17:33:49.040000Z,2019-07-04T18:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,1,2,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,1,1,post64_hourly_1h_mainshock64_to_mainshock71_0001,2019-07-04T18:33:49.040000Z,2019-07-04T19:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,1,3,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,2,2,post64_hourly_1h_mainshock64_to_mainshock71_0002,2019-07-04T19:33:49.040000Z,2019-07-04T20:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,1,4,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,3,3,post64_hourly_1h_mainshock64_to_mainshock71_0003,2019-07-04T20:33:49.040000Z,2019-07-04T21:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,1,5,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,4,4,post64_hourly_1h_mainshock64_to_mainshock71_0004,2019-07-04T21:33:49.040000Z,2019-07-04T22:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,1,6,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,5,5,post64_hourly_1h_mainshock64_to_mainshock71_0005,2019-07-04T22:33:49.040000Z,2019-07-04T23:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,1,7,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,6,6,post64_hourly_1h_mainshock64_to_mainshock71_0006,2019-07-04T23:33:49.040000Z,2019-07-05T00:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,1,8,post64_hourly_page_001.png,post64_hourly,1h_mainshock64_to_mainshock71,7,7,post64_hourly_1h_mainshock64_to_mainshock71_0007,2019-07-05T00:33:49.040000Z,2019-07-05T01:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,1,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,8,8,post64_hourly_1h_mainshock64_to_mainshock71_0008,2019-07-05T01:33:49.040000Z,2019-07-05T02:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,2,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,9,9,post64_hourly_1h_mainshock64_to_mainshock71_0009,2019-07-05T02:33:49.040000Z,2019-07-05T03:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,3,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,10,10,post64_hourly_1h_mainshock64_to_mainshock71_0010,2019-07-05T03:33:49.040000Z,2019-07-05T04:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,4,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,11,11,post64_hourly_1h_mainshock64_to_mainshock71_0011,2019-07-05T04:33:49.040000Z,2019-07-05T05:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,5,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,12,12,post64_hourly_1h_mainshock64_to_mainshock71_0012,2019-07-05T05:33:49.040000Z,2019-07-05T06:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,6,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,13,13,post64_hourly_1h_mainshock64_to_mainshock71_0013,2019-07-05T06:33:49.040000Z,2019-07-05T07:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,7,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,14,14,post64_hourly_1h_mainshock64_to_mainshock71_0014,2019-07-05T07:33:49.040000Z,2019-07-05T08:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,2,8,post64_hourly_page_002.png,post64_hourly,1h_mainshock64_to_mainshock71,15,15,post64_hourly_1h_mainshock64_to_mainshock71_0015,2019-07-05T08:33:49.040000Z,2019-07-05T09:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,1,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,16,16,post64_hourly_1h_mainshock64_to_mainshock71_0016,2019-07-05T09:33:49.040000Z,2019-07-05T10:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,2,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,17,17,post64_hourly_1h_mainshock64_to_mainshock71_0017,2019-07-05T10:33:49.040000Z,2019-07-05T11:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,3,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,18,18,post64_hourly_1h_mainshock64_to_mainshock71_0018,2019-07-05T11:33:49.040000Z,2019-07-05T12:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,4,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,19,19,post64_hourly_1h_mainshock64_to_mainshock71_0019,2019-07-05T12:33:49.040000Z,2019-07-05T13:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,5,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,20,20,post64_hourly_1h_mainshock64_to_mainshock71_0020,2019-07-05T13:33:49.040000Z,2019-07-05T14:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,6,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,21,21,post64_hourly_1h_mainshock64_to_mainshock71_0021,2019-07-05T14:33:49.040000Z,2019-07-05T15:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,7,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,22,22,post64_hourly_1h_mainshock64_to_mainshock71_0022,2019-07-05T15:33:49.040000Z,2019-07-05T16:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,3,8,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,23,23,post64_hourly_1h_mainshock64_to_mainshock71_0023,2019-07-05T16:33:49.040000Z,2019-07-05T17:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,1,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,24,24,post64_hourly_1h_mainshock64_to_mainshock71_0024,2019-07-05T17:33:49.040000Z,2019-07-05T18:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,2,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,25,25,post64_hourly_1h_mainshock64_to_mainshock71_0025,2019-07-05T18:33:49.040000Z,2019-07-05T19:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,3,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,26,26,post64_hourly_1h_mainshock64_to_mainshock71_0026,2019-07-05T19:33:49.040000Z,2019-07-05T20:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,4,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,27,27,post64_hourly_1h_mainshock64_to_mainshock71_0027,2019-07-05T20:33:49.040000Z,2019-07-05T21:33:49.040000Z,1.0
