window_label,window_index,start_time,end_time,n_events,n_clusters,dominant_cluster_fraction,clustered_event_fraction,principal_axis_azimuth_deg,principal_axis_azimuth_change_deg,centroid_step_distance_km,centroid_step_azimuth_deg,branching_class,orientation_class
post64_hourly_1h_mainshock64_to_mainshock71_0000,0,2019-07-04T17:33:49.040000Z,2019-07-04T18:33:49.040000Z,138,1,0.7898550724637681,0.7898550724637681,35.55961142337247,,,,single_dominant_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0001,1,2019-07-04T18:33:49.040000Z,2019-07-04T19:33:49.040000Z,130,2,0.7846153846153846,0.9,20.808426089824422,14.751185333548053,0.8519831757603653,183.29927214015825,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0002,2,2019-07-04T19:33:49.040000Z,2019-07-04T20:33:49.040000Z,147,1,0.891156462585034,0.891156462585034,25.83780574736784,5.029379657543416,1.2954911096127244,203.00385330846547,single_dominant_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0003,3,2019-07-04T20:33:49.040000Z,2019-07-04T21:33:49.040000Z,135,1,0.9407407407407408,0.9407407407407408,29.12640553610009,3.288599788732256,0.1615491045599666,61.663639464996834,single_dominant_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0004,4,2019-07-04T21:33:49.040000Z,2019-07-04T22:33:49.040000Z,132,1,0.9090909090909092,0.9090909090909092,34.94875187338073,5.822346337280635,0.9929043632448272,27.364219663632355,single_dominant_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0005,5,2019-07-04T22:33:49.040000Z,2019-07-04T23:33:49.040000Z,138,2,0.6739130434782609,0.8695652173913043,20.37226701907889,14.57648485430184,0.6836737531393889,267.8494154972258,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0006,6,2019-07-04T23:33:49.040000Z,2019-07-05T00:33:49.040000Z,137,2,0.656934306569343,0.8832116788321168,22.40902262698853,2.0367556079096403,0.9335647712874068,279.8960340408994,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0007,7,2019-07-05T00:33:49.040000Z,2019-07-05T01:33:49.040000Z,147,3,0.4625850340136054,0.8435374149659864,21.818965238907595,0.5900573880809361,0.5249568376550415,148.87588914650138,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0008,8,2019-07-05T01:33:49.040000Z,2019-07-05T02:33:49.040000Z,139,2,0.7194244604316546,0.9136690647482014,24.608234300810693,2.789269061903098,0.7224042827455834,171.60249184877853,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0009,9,2019-07-05T02:33:49.040000Z,2019-07-05T03:33:49.040000Z,152,1,0.8947368421052632,0.8947368421052632,27.58466711286735,2.976432812056657,0.465198816445775,52.569883395373154,single_dominant_cluster,stable
