cell_id,total_events,first_event_bin_index,first_event_count,onset_bin_index,onset_count,future_active_bins,window_cumulative_count,quality_flag,first_event_time_hr_from_64,onset_time_hr_from_64,onset_time_min_from_64
0,0,,0,,,,,inactive,,,
1,0,,0,,,,,inactive,,,
2,0,,0,,,,,inactive,,,
3,0,,0,,,,,inactive,,,
4,0,,0,,,,,inactive,,,
5,0,,0,,,,,inactive,,,
6,0,,0,,,,,inactive,,,
7,1,66.0,1,,,,,insufficient_data,33.0,,
8,0,,0,,,,,inactive,,,
9,0,,0,,,,,inactive,,,
10,0,,0,,,,,inactive,,,
11,0,,0,,,,,inactive,,,
12,0,,0,,,,,inactive,,,
13,0,,0,,,,,inactive,,,
14,0,,0,,,,,inactive,,,
15,0,,0,,,,,inactive,,,
16,0,,0,,,,,inactive,,,
17,0,,0,,,,,inactive,,,
18,0,,0,,,,,inactive,,,
19,0,,0,,,,,inactive,,,
20,0,,0,,,,,inactive,,,
21,0,,0,,,,,inactive,,,
22,0,,0,,,,,inactive,,,
23,0,,0,,,,,inactive,,,
24,0,,0,,,,,inactive,,,
25,0,,0,,,,,inactive,,,
26,0,,0,,,,,inactive,,,
27,0,,0,,,,,inactive,,,
28,0,,0,,,,,inactive,,,
29,0,,0,,,,,inactive,,,
30,0,,0,,,,,inactive,,,
31,0,,0,,,,,inactive,,,
32,0,,0,,,,,inactive,,,
33,0,,0,,,,,inactive,,,
34,0,,0,,,,,inactive,,,
35,0,,0,,,,,inactive,,,
36,0,,0,,,,,inactive,,,
37,0,,0,,,,,inactive,,,
38,0,,0,,,,,inactive,,,
39,0,,0,,,,,inactive,,,
40,0,,0,,,,,inactive,,,
41,0,,0,,,,,inactive,,,
42,0,,0,,,,,inactive,,,
43,0,,0,,,,,inactive,,,
44,0,,0,,,,,inactive,,,
45,0,,0,,,,,inactive,,,
46,0,,0,,,,,inactive,,,
47,0,,0,,,,,inactive,,,
48,0,,0,,,,,inactive,,,
49,0,,0,,,,,inactive,,,
50,0,,0,,,,,inactive,,,
51,0,,0,,,,,inactive,,,
52,0,,0,,,,,inactive,,,
53,0,,0,,,,,inactive,,,
54,0,,0,,,,,inactive,,,
55,0,,0,,,,,inactive,,,
56,0,,0,,,,,inactive,,,
57,0,,0,,,,,inactive,,,
58,0,,0,,,,,inactive,,,
59,0,,0,,,,,inactive,,,
60,0,,0,,,,,inactive,,,
61,0,,0,,,,,inactive,,,
62,0,,0,,,,,inactive,,,
63,0,,0,,,,,inactive,,,
64,0,,0,,,,,inactive,,,
65,0,,0,,,,,inactive,,,
66,0,,0,,,,,inactive,,,
67,0,,0,,,,,inactive,,,
68,0,,0,,,,,inactive,,,
69,0,,0,,,,,inactive,,,
70,0,,0,,,,,inactive,,,
71,0,,0,,,,,inactive,,,
72,0,,0,,,,,inactive,,,
73,0,,0,,,,,inactive,,,
74,0,,0,,,,,inactive,,,
75,0,,0,,,,,inactive,,,
76,0,,0,,,,,inactive,,,
77,0,,0,,,,,inactive,,,
78,0,,0,,,,,inactive,,,
79,0,,0,,,,,inactive,,,
80,0,,0,,,,,inactive,,,
81,0,,0,,,,,inactive,,,
82,0,,0,,,,,inactive,,,
83,0,,0,,,,,inactive,,,
84,0,,0,,,,,inactive,,,
85,0,,0,,,,,inactive,,,
86,0,,0,,,,,inactive,,,
87,0,,0,,,,,inactive,,,
88,0,,0,,,,,inactive,,,
89,0,,0,,,,,inactive,,,
90,0,,0,,,,,inactive,,,
91,0,,0,,,,,inactive,,,
92,0,,0,,,,,inactive,,,
93,0,,0,,,,,inactive,,,
94,0,,0,,,,,inactive,,,
95,0,,0,,,,,inactive,,,
96,0,,0,,,,,inactive,,,
97,0,,0,,,,,inactive,,,
98,0,,0,,,,,inactive,,,
99,0,,0,,,,,inactive,,,
100,0,,0,,,,,inactive,,,
101,0,,0,,,,,inactive,,,
102,0,,0,,,,,inactive,,,
103,0,,0,,,,,inactive,,,
