interval_id,geometry_type,component_id,vertex_id,longitude,latitude,elapsed_mid_hr
M_01,convex,1,0,-117.4106021352759,35.694724795185046,0.5
M_01,convex,1,1,-117.52085058988035,35.839129795185045,0.5
M_01,convex,1,2,-117.6524479914484,35.803334795185044,0.5
M_01,convex,1,3,-117.75966534793554,35.68380779518504,0.5
M_01,convex,1,4,-117.77025999666458,35.66505779518505,0.5
M_01,convex,1,5,-117.63260751317426,35.574851795185054,0.5
M_01,convex,1,6,-117.61969238854012,35.573113795185044,0.5
M_01,convex,1,7,-117.51149929486151,35.59968079518505,0.5
M_01,convex,1,8,-117.4106021352759,35.694724795185046,0.5
M_01,alpha,1,0,-117.59224445118352,35.60185779518505,0.5
M_01,alpha,1,1,-117.5913913554809,35.61444679518504,0.5
M_01,alpha,1,2,-117.57561182045481,35.62091679518505,0.5
M_01,alpha,1,3,-117.57669325783364,35.61308779518505,0.5
M_01,alpha,1,4,-117.57356759552884,35.603867795185046,0.5
M_01,alpha,1,5,-117.59147916160254,35.59782479518505,0.5
M_01,alpha,1,6,-117.60062589289596,35.59408179518506,0.5
M_01,alpha,1,7,-117.59224445118352,35.60185779518505,0.5
M_01,alpha,2,0,-117.60230577918658,35.63425079518506,0.5
M_01,alpha,2,1,-117.60647192405062,35.63626479518505,0.5
M_01,alpha,2,2,-117.60167101483177,35.637526795185046,0.5
M_01,alpha,2,3,-117.60011559248134,35.63165479518505,0.5
M_01,alpha,2,4,-117.60230577918658,35.63425079518506,0.5
M_01,alpha,3,0,-117.55307126655964,35.641025795185044,0.5
M_01,alpha,3,1,-117.5412224688943,35.64383779518505,0.5
M_01,alpha,3,2,-117.54892801274563,35.63749779518505,0.5
M_01,alpha,3,3,-117.5601985512742,35.63108179518505,0.5
M_01,alpha,3,4,-117.56788171510284,35.633359795185065,0.5
M_01,alpha,3,5,-117.55307126655964,35.641025795185044,0.5
M_01,alpha,4,0,-117.46210116976911,35.70905979518505,0.5
M_01,alpha,4,1,-117.46364689070496,35.705193795185046,0.5
M_01,alpha,4,2,-117.476089083336,35.69400479518506,0.5
M_01,alpha,4,3,-117.46723467415752,35.68833179518506,0.5
M_01,alpha,4,4,-117.47127855596212,35.68669279518505,0.5
M_01,alpha,4,5,-117.48213451514764,35.68612679518505,0.5
M_01,alpha,4,6,-117.48615530510804,35.68321379518505,0.5
M_01,alpha,4,7,-117.49508168151253,35.67456279518505,0.5
M_01,alpha,4,8,-117.49990719066616,35.66775079518504,0.5
M_01,alpha,4,9,-117.50951786650415,35.66325079518505,0.5
M_01,alpha,4,10,-117.5116337724386,35.66194479518506,0.5
M_01,alpha,4,11,-117.51651575618298,35.64782979518505,0.5
M_01,alpha,4,12,-117.53344284521651,35.64906679518505,0.5
M_01,alpha,4,13,-117.53780467089726,35.64664479518506,0.5
M_01,alpha,4,14,-117.53669017296733,35.65361979518506,0.5
M_01,alpha,4,15,-117.52825933323425,35.65584579518504,0.5
M_01,alpha,4,16,-117.52399456113733,35.65901079518506,0.5
M_01,alpha,4,17,-117.51787607669701,35.66616879518506,0.5
M_01,alpha,4,18,-117.52863477678986,35.67588479518505,0.5
M_01,alpha,4,19,-117.51136566745927,35.67436779518505,0.5
M_01,alpha,4,20,-117.509184722592,35.67513279518505,0.5
M_01,alpha,4,21,-117.50616661257071,35.68747779518504,0.5
M_01,alpha,4,22,-117.50252129146736,35.69688979518506,0.5
M_01,alpha,4,23,-117.50383300000001,35.70533300000001,0.5
M_01,alpha,4,24,-117.50010516890279,35.70904779518504,0.5
M_01,alpha,4,25,-117.4937740008517,35.70671979518505,0.5
M_01,alpha,4,26,-117.4782215979831,35.70113779518505,0.5
M_01,alpha,4,27,-117.47209422413,35.70981279518506,0.5
M_01,alpha,4,28,-117.47539896748162,35.720106795185046,0.5
M_01,alpha,4,29,-117.46490050701262,35.71373079518505,0.5
M_01,alpha,4,30,-117.46210116976911,35.70905979518505,0.5
M_01,alpha,5,0,-117.51818068393226,35.716180795185046,0.5
M_01,alpha,5,1,-117.52495870045792,35.70255779518505,0.5
M_01,alpha,5,2,-117.53071194743742,35.70597979518505,0.5
M_01,alpha,5,3,-117.53111898237304,35.70646379518505,0.5
M_01,alpha,5,4,-117.51818068393226,35.716180795185046,0.5
M_01,alpha,6,0,-117.51818068393226,35.716180795185046,0.5
M_01,alpha,6,1,-117.52134603978611,35.72110779518505,0.5
M_01,alpha,6,2,-117.52549729176022,35.724595795185046,0.5
M_01,alpha,6,3,-117.53767127203706,35.72432279518505,0.5
M_01,alpha,6,4,-117.54942277882779,35.71749479518504,0.5
M_01,alpha,6,5,-117.55682018881257,35.72317079518505,0.5
M_01,alpha,6,6,-117.56103626170598,35.72417979518505,0.5
M_01,alpha,6,7,-117.55184865571101,35.72963279518504,0.5
M_01,alpha,6,8,-117.54216566168876,35.74354879518504,0.5
M_01,alpha,6,9,-117.54445983973696,35.746010795185036,0.5
M_01,alpha,6,10,-117.53324584089412,35.74602679518505,0.5
M_01,alpha,6,11,-117.53262733602214,35.739044795185066,0.5
M_01,alpha,6,12,-117.53111299510425,35.73432879518505,0.5
M_01,alpha,6,13,-117.51712379923524,35.73161879518505,0.5
M_01,alpha,6,14,-117.51292481303922,35.73180979518505,0.5
M_01,alpha,6,15,-117.5154140527161,35.72128679518504,0.5
M_01,alpha,6,16,-117.51818068393226,35.716180795185046,0.5
M_02,convex,1,0,-117.64535138513266,35.91873579518505,1.5
M_02,convex,1,1,-117.75247114693136,35.68101979518505,1.5
M_02,convex,1,2,-117.67123260752236,35.60403479518504,1.5
M_02,convex,1,3,-117.63292557809214,35.58969579518505,1.5
M_02,convex,1,4,-117.58784079391133,35.59270279518505,1.5
M_02,convex,1,5,-117.54090976236962,35.60619079518505,1.5
M_02,convex,1,6,-117.41515759952075,35.65954379518506,1.5
M_02,convex,1,7,-117.46254902187222,35.720859795185056,1.5
M_02,convex,1,8,-117.64535138513266,35.91873579518505,1.5
M_02,alpha,1,0,-117.59627223146144,35.59879779518505,1.5
M_02,alpha,1,1,-117.59101528904552,35.59959979518504,1.5
M_02,alpha,1,2,-117.58121005530305,35.61026879518505,1.5
M_02,alpha,1,3,-117.58131500710635,35.59567279518505,1.5
M_02,alpha,1,4,-117.58784079391133,35.59270279518505,1.5
M_02,alpha,1,5,-117.59627223146144,35.59879779518505,1.5
M_02,alpha,2,0,-117.57584726925782,35.613246795185056,1.5
M_02,alpha,2,1,-117.5786871403639,35.61145279518505,1.5
M_02,alpha,2,2,-117.58121005530305,35.61026879518505,1.5
M_02,alpha,2,3,-117.58524671515792,35.619451795185036,1.5
M_02,alpha,2,4,-117.57584726925782,35.613246795185056,1.5
M_02,alpha,3,0,-117.58979630987992,35.62772479518505,1.5
M_02,alpha,3,1,-117.58825839235361,35.62887179518505,1.5
M_02,alpha,3,2,-117.58524671515792,35.619451795185036,1.5
M_02,alpha,3,3,-117.5913998242643,35.62096979518504,1.5
M_02,alpha,3,4,-117.58979630987992,35.62772479518505,1.5
M_02,alpha,4,0,-117.5277871348831,35.653090795185065,1.5
M_02,alpha,4,1,-117.53032586508249,35.64934279518506,1.5
M_02,alpha,4,2,-117.53130175438362,35.64780479518506,1.5
M_02,alpha,4,3,-117.53877991383634,35.63612279518505,1.5
M_02,alpha,4,4,-117.54442005957702,35.638148795185046,1.5
M_02,alpha,4,5,-117.54341119569159,35.64004079518505,1.5
M_02,alpha,4,6,-117.54327221885822,35.64036279518505,1.5
M_02,alpha,4,7,-117.54283352480752,35.64461479518505,1.5
M_02,alpha,4,8,-117.54000172832964,35.64744279518506,1.5
M_02,alpha,4,9,-117.53128611846904,35.65286279518503,1.5
M_02,alpha,4,10,-117.52927632970618,35.65579679518505,1.5
M_02,alpha,4,11,-117.52801558987082,35.65940979518504,1.5
M_02,alpha,4,12,-117.51949532878106,35.669667795185056,1.5
M_02,alpha,4,13,-117.5148166154995,35.67364679518505,1.5
M_02,alpha,4,14,-117.51069903699634,35.679494795185065,1.5
M_02,alpha,4,15,-117.50267495193764,35.678314795185045,1.5
M_02,alpha,4,16,-117.50596282990858,35.67662179518505,1.5
M_02,alpha,4,17,-117.51082785476362,35.66308779518505,1.5
M_02,alpha,4,18,-117.51106371496508,35.66114679518504,1.5
M_02,alpha,4,19,-117.51358639911727,35.65676079518505,1.5
M_02,alpha,4,20,-117.5277871348831,35.653090795185065,1.5
M_02,alpha,5,0,-117.48893169663305,35.70250479518504,1.5
M_02,alpha,5,1,-117.47587809750759,35.70805879518504,1.5
M_02,alpha,5,2,-117.4727292934377,35.71077279518505,1.5
M_02,alpha,5,3,-117.46254902187222,35.720859795185056,1.5
M_02,alpha,5,4,-117.46941720651482,35.70956879518505,1.5
M_02,alpha,5,5,-117.4725250279205,35.70709479518505,1.5
M_02,alpha,5,6,-117.46515108037838,35.69396379518505,1.5
M_02,alpha,5,7,-117.46388997967814,35.69256779518506,1.5
M_02,alpha,5,8,-117.46042184136866,35.676780795185046,1.5
M_02,alpha,5,9,-117.45786663870462,35.67396879518504,1.5
M_02,alpha,5,10,-117.46549133202338,35.669712795185056,1.5
M_02,alpha,5,11,-117.46825838563028,35.67045679518503,1.5
M_02,alpha,5,12,-117.47757679264599,35.67610479518506,1.5
M_02,alpha,5,13,-117.4899062613446,35.682606795185045,1.5
M_02,alpha,5,14,-117.50267495193764,35.678314795185045,1.5
M_02,alpha,5,15,-117.49100552509876,35.68626479518504,1.5
M_02,alpha,5,16,-117.50306618454836,35.69540779518505,1.5
M_02,alpha,5,17,-117.51030103543752,35.69334079518505,1.5
