interval_id,stage,start,end,elapsed_start_hr,elapsed_end_hr,event_count,status,hotspot_x_km,hotspot_y_km,hotspot_lon,hotspot_lat,peak_density,distance_to_main71_km,distance_to_main64_km,high_density_area_km2,high_density_patch_count,kde_array_path,hotspot_step_km,distance_to_main71_change_km
S1_01,Stage1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,0.0,0.5,68,ok,4.663023668488044,1.1468442529095952,-117.49243888348018,35.69432579954405,0.016021583171692624,12.849620539331875,1.1048480905816827,1.3725820256163122,1.0,,,
S1_02,Stage1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,0.5,1.0,70,ok,1.3580663472072345,5.023071485839218,-117.52894702517625,35.729271435077315,0.019337149300541916,7.7821420954654394,4.216314072555608,3.603027817242819,2.0,,5.093906208087548,-5.0674784438664355
S1_03,Stage1,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,1.0,1.5,65,ok,1.564626179787286,-3.2831297275814073,-117.52668001288798,35.654408992117546,0.021121917614557038,14.783659647789303,6.271141004172425,6.519764621677482,2.0,,8.308769196593786,7.001517552323864
S1_04,Stage1,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,1.5,2.0,65,ok,2.5974253426875364,-1.621889484897281,-117.5152694976607,35.66937931612706,0.010767642051983963,13.778121280986223,4.320836663835596,0.0,0.0,,1.9561168816818368,-1.00553836680308
S1_05,Stage1,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,2.0,2.5,75,ok,3.0105450078476395,-1.8987628586779692,-117.51070761727125,35.66688272805541,0.023910860584340193,14.228446470537708,4.411567428318257,9.665265097048197,2.0,,0.4973195379740237,0.45032518955148504
S1_06,Stage1,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,2.5,3.0,72,ok,3.217104840427691,-1.3450161111165961,-117.5084240186614,35.67187290367961,0.017863570067918777,13.87195137271946,3.8205607551237097,2.516400380296572,1.0,,0.591018125669846,-0.3564950978182484
S1_07,Stage1,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,3.0,3.5,67,ok,5.695822831388298,1.42371762669028,-117.48102608517137,35.69681577833009,0.021215035941540172,13.416001469955768,1.426476520552321,9.608074179314185,1.0,,3.716171334799006,-0.45594990276369174
S1_08,Stage1,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,3.5,4.0,68,ok,2.803985175267588,-1.0681427373359078,-117.51298611182591,35.67436957624626,0.013609766523902094,13.414728456379377,3.7336783990096976,0.0,0.0,,3.817341103852582,-0.00127301357639098
S2_01,Stage2,2019-07-04 21:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,0.0,2.0,270,ok,5.282703166228195,1.1468442529095952,-117.48559238047082,35.694322675253574,0.016045614290196755,13.294956136110157,1.3309877959030842,0.800672848276182,1.0,,,
S2_02,Stage2,2019-07-04 23:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,2.0,4.0,284,ok,4.043344170747893,-0.23752261599384283,-117.49929234262343,35.68185150574102,0.01030842597577845,13.465323680990949,2.527956995864181,0.0,0.0,,1.8580856673995017,0.17036754488079175
S2_03,Stage2,2019-07-05 01:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,4.0,6.0,291,ok,4.043344170747893,-0.23752261599384283,-117.49929234262343,35.68185150574102,0.012316088327383588,13.465323680990949,2.527956995864181,0.0,0.0,,0.0,0.0
S2_04,Stage2,2019-07-05 03:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,6.0,8.0,287,ok,4.663023668488044,0.31622413156753026,-117.49244369696257,35.68683958581042,0.013326141878820653,13.44987636706932,1.9319323964002952,0.0,0.0,,0.831046412876131,-0.015447313921628236
S2_05,Stage2,2019-07-05 05:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,8.0,10.0,280,ok,3.0105450078476395,-1.3450161111165961,-117.51070554728906,35.67187355548625,0.011875271681938217,13.75928789441909,3.8962901295424737,0.0,0.0,,2.343161297859181,0.30941152734976995
S2_06,Stage2,2019-07-05 07:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,10.0,12.0,283,ok,4.249904003327941,-0.23752261599384283,-117.4970105300731,35.68185063756518,0.013677556469795888,13.596126029270106,2.4965664275790838,0.0,0.0,,1.6620928257522667,-0.16316186514898412
S2_07,Stage2,2019-07-05 09:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,12.0,14.0,276,ok,-1.9468909740735754,7.238058476084724,-117.5654830235495,35.74923352644446,0.011477226151071659,3.8861057064225966,8.177744688153089,0.0,0.0,,9.71002475054473,-9.710020322847509
S2_08,Stage2,2019-07-05 11:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,14.0,16.0,306,ok,-2.153450806653627,7.791805223646094,-117.56776824316363,35.75422385583856,0.0257830862727606,3.3332294923360504,8.685123400947713,9.493692343846158,1.0,,0.5910181256698428,-0.5528762140865462
S2_09,Stage2,2019-07-05 13:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,16.0,18.0,283,ok,-1.7403311414935274,7.238058476084724,-117.56319928960451,35.74923391297158,0.016155460894873224,4.020800267878507,8.015179449128603,1.086627436946247,1.0,,0.6908714194238953,0.6875707755424569
S2_10,Stage2,2019-07-05 15:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,18.0,20.0,314,ok,-1.9468909740735754,7.238058476084724,-117.5654830235495,35.74923352644446,0.011812833301511616,3.8861057064225966,8.177744688153089,0.0,0.0,,0.20655983258004795,-0.13469456145591074
S2_11,Stage2,2019-07-05 17:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,20.0,22.0,287,ok,-1.533771308913476,7.238058476084724,-117.56091555563867,35.749234256191876,0.009714677837503141,4.161392309759378,7.854681976230603,0.0,0.0,,0.41311966516009946,0.2752866033367818
S2_12,Stage2,2019-07-05 19:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,22.0,24.0,283,ok,3.217104840427691,-1.3450161111165961,-117.5084240186614,35.67187290367961,0.011154605506226715,13.87195137271946,3.8205607551237097,0.0,0.0,,9.810198446302698,9.710559062960082
S2_13,Stage2,2019-07-05 21:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,24.0,26.0,279,ok,4.043344170747893,-0.23752261599384283,-117.49929234262343,35.68185150574102,0.008166465084833369,13.465323680990949,2.527956995864181,0.0,0.0,,1.3817428388478041,-0.4066276917285112
S2_14,Stage2,2019-07-05 23:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,26.0,28.0,229,ok,-0.9140918111733249,6.130564980961971,-117.55406309274306,35.73925349471476,0.013134225766262442,5.398470764431239,6.688078029963613,0.0,0.0,,8.070236127731931,-8.06685291655971
S2_15,Stage2,2019-07-06 01:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,28.0,29.767777777777777,214,ok,-0.9140918111733249,5.853691607181283,-117.55406277759958,35.73675810929755,0.010931052188146015,5.611826067793347,6.531047033548118,0.0,0.0,,0.2768733737806883,0.21335530336210784
