interval_id,start,end,elapsed_start_hr,elapsed_end_hr,event_count,convex_valid,alpha_valid,convex_area_km2,convex_perimeter_km,convex_centroid_x_km,convex_centroid_y_km,convex_centroid_distance_to_main71_km,alpha_area_km2,alpha_perimeter_km,alpha_centroid_x_km,alpha_centroid_y_km,alpha_centroid_distance_to_main71_km,alpha_component_count,status
M_01,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,0.0,1.0,138,True,True,582.4299523672615,91.49866695477755,-3.8062333982850105,1.8068189028959551,8.449947449747096,25.683000589166838,62.68421526047581,2.0973920782637006,0.052514919484502987,12.089937452277955,6,ok
M_02,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,1.0,2.0,130,True,True,590.7964913066131,100.15292036674363,-5.177164307775702,4.126855088290471,6.1540333013796715,27.099016356252704,65.50032042702325,2.6678397142195407,1.0193842553767254,11.626493486076946,6,ok
M_03,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,2.0,3.0,147,True,True,388.5426787524826,74.12100716138218,-2.699927388002909,-0.5979927962539776,10.968288883999286,27.063994488113003,61.4932504789405,1.701537454880984,-0.4003958464924078,12.271519006065267,6,ok
M_04,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,3.0,4.0,135,True,True,596.5368494888072,98.50682972055498,-4.412871264107418,2.2619322799033825,7.972402178087893,32.88540292819869,77.16788944941855,0.9477820295768494,-1.6391723581090238,13.03112796240306,7,ok
M_05,2019-07-04 21:33:49.040000+00:00,2019-07-04 22:33:49.040000+00:00,4.0,5.0,132,True,True,474.3250950640724,86.03741239759297,-3.5797069284755048,-1.1155835679128643,11.381094493718065,30.187154584912975,66.08435250762538,1.2835173040046752,-0.7566930698234602,12.3834940687177,5,ok
M_06,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,5.0,6.0,138,True,True,609.1389618352421,100.14825739021096,-5.687383696081002,3.9478360775216164,6.412660482332216,25.567438048771194,62.29167521331854,1.786816759649404,-0.033264127664372575,11.998662441012025,6,ok
M_07,2019-07-04 23:33:49.040000+00:00,2019-07-05 00:33:49.040000+00:00,6.0,7.0,137,True,True,710.6070385954378,110.66509820844499,-5.807103859886501,-1.5933675322246807,11.908570316849165,33.35450936020724,66.22740207932509,0.37129437514321684,0.14039950057039843,11.17404344181817,4,ok
M_08,2019-07-05 00:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,7.0,8.0,147,True,True,823.3604506479301,117.47426116584846,-3.4874568739267446,1.5896811508853386,8.694973746327818,28.06203821889582,76.61546262522099,1.3269151029316881,-0.1507642839232176,11.869944531908727,12,ok
M_09,2019-07-05 01:33:49.040000+00:00,2019-07-05 02:33:49.040000+00:00,8.0,9.0,139,True,True,823.6431737819133,123.9846838627369,-6.689764743960097,-2.242885208257415,12.681698243949764,32.723752445614,72.25990623788255,1.0385801282079987,-1.0028124827555656,12.493474803061869,5,ok
M_10,2019-07-05 02:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,9.0,10.0,152,True,True,417.9079137917364,84.2406457447897,-1.8772626919011226,-0.4943341739815106,11.026235617272677,26.724260062598496,80.86453340345992,0.834519219449389,-1.9887364577675903,13.305266528104253,10,ok
