bin_id,stage,start_time,end_time,end_inclusive,page,subplot_index,bin_event_count,prior_event_count,elapsed_hours_since_mainshock64
0,stage1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,False,1,0,68,0,0.0
1,stage1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,False,1,1,70,68,0.5
2,stage1,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,False,1,2,65,138,1.0
3,stage1,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,False,1,3,65,203,1.5
4,stage1,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,False,1,4,75,268,2.0
5,stage1,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,False,1,5,72,343,2.5
6,stage1,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,False,1,6,67,415,3.0
7,stage1,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,False,1,7,68,482,3.5
8,stage2,2019-07-04 21:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,False,2,0,270,550,4.0
9,stage2,2019-07-04 23:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,False,2,1,284,820,6.0
10,stage2,2019-07-05 01:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,False,2,2,291,1104,8.0
11,stage2,2019-07-05 03:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,False,2,3,287,1395,10.0
12,stage2,2019-07-05 05:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,False,2,4,280,1682,12.0
13,stage2,2019-07-05 07:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,False,2,5,283,1962,14.0
14,stage2,2019-07-05 09:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,False,2,6,276,2245,16.0
15,stage2,2019-07-05 11:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,False,2,7,306,2521,18.0
16,stage2,2019-07-05 13:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,False,3,0,283,2827,20.0
17,stage2,2019-07-05 15:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,False,3,1,314,3110,22.0
18,stage2,2019-07-05 17:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,False,3,2,287,3424,24.0
19,stage2,2019-07-05 19:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,False,3,3,283,3711,26.0
20,stage2,2019-07-05 21:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,False,3,4,279,3994,28.0
21,stage2,2019-07-05 23:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,False,3,5,229,4273,30.0
22,stage2,2019-07-06 01:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,True,3,6,214,4502,32.0
