fault_id,n_vertices,min_lon,max_lon,min_lat,max_lat,min_x_km,max_x_km,min_y_km,max_y_km,mean_strike_deg
0,4,-117.375788716276,-117.375770692064,35.575701521608,35.5757345303244,15.791246800766917,15.792887077584046,-18.215347988114235,-18.211688532848672,155.8567296875131
1,4,-117.375817091685,-117.375795998087,35.5756806879135,35.5756955087408,15.788682404075628,15.7905973284241,-18.217663577931553,-18.216022581844115,130.52442301148966
2,5,-117.375712416894,-117.375696154454,35.5756104328752,35.5756410125227,15.798181278748753,15.79966138811917,-18.225442395220703,-18.222052165736173,156.4293636899901
3,6,-117.375684349953,-117.375659858715,35.5755667456089,35.5755962991299,15.800734177824404,15.8029599809716,-18.230283706065336,-18.22700865079117,145.92085413432375
4,2,-117.375542637483,-117.37553858154,35.5755964664039,35.5756020368046,15.813578474246265,15.813947218584183,-18.226966632227988,-18.226349243198435,149.15164163377466
5,12,-117.375387586268,-117.375340043608,35.5754772792531,35.5755657329722,15.82764013096007,15.83196703135743,-18.2401585932271,-18.23035221882413,156.18916639593337
6,4,-117.375395117191,-117.375385042086,35.5755086296196,35.5755276358917,15.826964999592288,15.827881994968733,-18.23668748809564,-18.23458034498639,156.4997856098325
7,3,-117.375388128559,-117.375382935874,35.5754701323408,35.5754941631252,15.827605073117468,15.828080494631678,-18.240958463724944,-18.23829305878159,169.9133072610059
8,12,-117.375517380023,-117.375431139535,35.5754749913778,35.5755587443406,15.815876439901087,15.823710144475138,-18.240427115059106,-18.231148522611424,139.90806096865407
9,6,-117.375603062032,-117.37555652931,35.5756133008132,35.5756350572122,15.808094838226035,15.812317042964212,-18.2251017256268,-18.222695319523417,119.51819300134295
10,3,-117.375584682587,-117.375574104761,35.5756624847359,35.5756764799856,15.809752678838338,15.810714251202626,-18.21964754492807,-18.21809645933506,148.20377009834823
11,3,-117.375631586728,-117.375627005582,35.5756598874939,35.5756657411811,15.805503203095133,15.805919608922192,-18.21994422592409,-18.219295490124196,147.258188086198
12,3,-117.375614469932,-117.375609699928,35.5756683860872,35.5756768163321,15.807052562753952,15.807486594402754,-18.218998512721427,-18.218063935493397,155.12007140020953
13,5,-117.375607847324,-117.375600389247,35.575663118758,35.5756847096816,15.807651310854123,15.808331589970939,-18.219581430179545,-18.217187093919563,164.24337349737132
14,3,-117.375577546467,-117.375572920354,35.5756338611138,35.5756490200862,15.810404929860253,15.810827243137394,-18.22282317642502,-18.221142016533374,165.89940164746332
15,4,-117.375585943437,-117.375579911684,35.5756302611277,35.5756461314638,15.80964436136718,15.810194227665217,-18.22322372419644,-18.221463863948973,162.64940147291523
16,3,-117.375580326271,-117.375576764056,35.5756318457331,35.575643858877,15.810153972210339,15.810479230236906,-18.2230474038346,-18.2217151057879,166.2805584156917
17,8,-117.375550559611,-117.375513778238,35.5756125750603,35.5756478158941,15.812851369519736,15.81619232538013,-18.225175365523018,-18.221271278637683,139.3314641056382
18,3,-117.375533778261,-117.375527062124,35.5755681620411,35.575581024145,15.814385647639643,15.814996958748052,-18.230105177456547,-18.22867919435711,156.79647340369212
19,3,-117.375511824011,-117.3755070639,35.5756008586927,35.5756068553721,15.816370590717842,15.816803247936239,-18.22647422809928,-18.225809656492366,146.59324873215274
20,5,-117.375502324473,-117.37548524275,35.575580172487,35.5755990123845,15.817233213332345,15.818785282862834,-18.22876587108312,-18.226678314801088,143.48523749219976
21,6,-117.375480759629,-117.375462579834,35.5756045764901,35.5756331470521,15.81918122289195,15.820834742072481,-18.226054570150275,-18.222887563212684,152.61364674092925
22,3,-117.375477831437,-117.375470258246,35.5755978243802,35.5756062456318,15.819451942941027,15.820140067373401,-18.226804960873302,-18.22587183356952,143.59646415046745
23,5,-117.375456755825,-117.375441583362,35.5755727216039,35.5755952900906,15.821364483660178,15.822744224904778,-18.229585522378727,-18.22708396820776,151.12047101498908
24,4,-117.37544868351,-117.375437907833,35.5755737360391,35.5755924527296,15.822096751602167,15.823077190937699,-18.22947237758023,-18.227397476201762,154.70860878582045
25,4,-117.375416165823,-117.375404860446,35.5755878643885,35.5756075829237,15.825041314390907,15.826069965836362,-18.227899497493375,-18.225713526019668,154.7975053094682
26,5,-117.37540488113,-117.375390919156,35.5755665828316,35.5755921604499,15.826067244795304,15.827337856193894,-18.230258463060515,-18.227422848125098,155.82286377589628
