line_id,classification,eligible_for_propagation,n_activated_segments,activation_fraction,spearman_rho,slope_minutes_per_km,activation_span_km,activation_time_span_minutes
642,complex/indeterminate,False,2,1.0,,-471.2331688967853,0.7002902634646254,330.0
826,complex/indeterminate,False,2,1.0,,-103.63961112034563,0.5789292274584897,60.0
26,complex/indeterminate,False,1,1.0,,,0.0,0.0
51,complex/indeterminate,False,1,1.0,,,0.0,0.0
73,complex/indeterminate,False,1,1.0,,,0.0,0.0
194,complex/indeterminate,False,1,1.0,,,0.0,0.0
209,complex/indeterminate,False,1,1.0,,,0.0,0.0
247,complex/indeterminate,False,1,1.0,,,0.0,0.0
259,complex/indeterminate,False,1,1.0,,,0.0,0.0
284,complex/indeterminate,False,1,1.0,,,0.0,0.0
494,complex/indeterminate,False,1,1.0,,,0.0,0.0
567,complex/indeterminate,False,1,1.0,,,0.0,0.0
593,complex/indeterminate,False,1,1.0,,,0.0,0.0
601,complex/indeterminate,False,1,1.0,,,0.0,0.0
665,complex/indeterminate,False,1,1.0,,,0.0,0.0
678,complex/indeterminate,False,1,1.0,,,0.0,0.0
727,complex/indeterminate,False,1,1.0,,,0.0,0.0
766,complex/indeterminate,False,1,1.0,,,0.0,0.0
780,complex/indeterminate,False,1,1.0,,,0.0,0.0
824,complex/indeterminate,False,1,1.0,,,0.0,0.0
189,complex/indeterminate,False,1,0.5,,,0.0,0.0
614,complex/indeterminate,False,1,0.5,,,0.0,0.0
0,complex/indeterminate,False,0,0.0,,,0.0,
1,complex/indeterminate,False,0,0.0,,,0.0,
2,complex/indeterminate,False,0,0.0,,,0.0,
3,complex/indeterminate,False,0,0.0,,,0.0,
4,complex/indeterminate,False,0,0.0,,,0.0,
5,complex/indeterminate,False,0,0.0,,,0.0,
6,complex/indeterminate,False,0,0.0,,,0.0,
7,complex/indeterminate,False,0,0.0,,,0.0,
8,complex/indeterminate,False,0,0.0,,,0.0,
9,complex/indeterminate,False,0,0.0,,,0.0,
10,complex/indeterminate,False,0,0.0,,,0.0,
11,complex/indeterminate,False,0,0.0,,,0.0,
12,complex/indeterminate,False,0,0.0,,,0.0,
13,complex/indeterminate,False,0,0.0,,,0.0,
14,complex/indeterminate,False,0,0.0,,,0.0,
15,complex/indeterminate,False,0,0.0,,,0.0,
16,complex/indeterminate,False,0,0.0,,,0.0,
17,complex/indeterminate,False,0,0.0,,,0.0,
18,complex/indeterminate,False,0,0.0,,,0.0,
19,complex/indeterminate,False,0,0.0,,,0.0,
20,complex/indeterminate,False,0,0.0,,,0.0,
21,complex/indeterminate,False,0,0.0,,,0.0,
22,complex/indeterminate,False,0,0.0,,,0.0,
23,complex/indeterminate,False,0,0.0,,,0.0,
24,complex/indeterminate,False,0,0.0,,,0.0,
25,complex/indeterminate,False,0,0.0,,,0.0,
27,complex/indeterminate,False,0,0.0,,,0.0,
28,complex/indeterminate,False,0,0.0,,,0.0,
29,complex/indeterminate,False,0,0.0,,,0.0,
30,complex/indeterminate,False,0,0.0,,,0.0,
31,complex/indeterminate,False,0,0.0,,,0.0,
32,complex/indeterminate,False,0,0.0,,,0.0,
33,complex/indeterminate,False,0,0.0,,,0.0,
34,complex/indeterminate,False,0,0.0,,,0.0,
35,complex/indeterminate,False,0,0.0,,,0.0,
36,complex/indeterminate,False,0,0.0,,,0.0,
37,complex/indeterminate,False,0,0.0,,,0.0,
38,complex/indeterminate,False,0,0.0,,,0.0,
39,complex/indeterminate,False,0,0.0,,,0.0,
40,complex/indeterminate,False,0,0.0,,,0.0,
41,complex/indeterminate,False,0,0.0,,,0.0,
42,complex/indeterminate,False,0,0.0,,,0.0,
43,complex/indeterminate,False,0,0.0,,,0.0,
44,complex/indeterminate,False,0,0.0,,,0.0,
45,complex/indeterminate,False,0,0.0,,,0.0,
46,complex/indeterminate,False,0,0.0,,,0.0,
47,complex/indeterminate,False,0,0.0,,,0.0,
48,complex/indeterminate,False,0,0.0,,,0.0,
49,complex/indeterminate,False,0,0.0,,,0.0,
50,complex/indeterminate,False,0,0.0,,,0.0,
52,complex/indeterminate,False,0,0.0,,,0.0,
53,complex/indeterminate,False,0,0.0,,,0.0,
54,complex/indeterminate,False,0,0.0,,,0.0,
55,complex/indeterminate,False,0,0.0,,,0.0,
56,complex/indeterminate,False,0,0.0,,,0.0,
57,complex/indeterminate,False,0,0.0,,,0.0,
58,complex/indeterminate,False,0,0.0,,,0.0,
59,complex/indeterminate,False,0,0.0,,,0.0,
60,complex/indeterminate,False,0,0.0,,,0.0,
61,complex/indeterminate,False,0,0.0,,,0.0,
62,complex/indeterminate,False,0,0.0,,,0.0,
63,complex/indeterminate,False,0,0.0,,,0.0,
64,complex/indeterminate,False,0,0.0,,,0.0,
65,complex/indeterminate,False,0,0.0,,,0.0,
66,complex/indeterminate,False,0,0.0,,,0.0,
67,complex/indeterminate,False,0,0.0,,,0.0,
68,complex/indeterminate,False,0,0.0,,,0.0,
69,complex/indeterminate,False,0,0.0,,,0.0,
70,complex/indeterminate,False,0,0.0,,,0.0,
71,complex/indeterminate,False,0,0.0,,,0.0,
72,complex/indeterminate,False,0,0.0,,,0.0,
74,complex/indeterminate,False,0,0.0,,,0.0,
75,complex/indeterminate,False,0,0.0,,,0.0,
76,complex/indeterminate,False,0,0.0,,,0.0,
77,complex/indeterminate,False,0,0.0,,,0.0,
78,complex/indeterminate,False,0,0.0,,,0.0,
79,complex/indeterminate,False,0,0.0,,,0.0,
80,complex/indeterminate,False,0,0.0,,,0.0,
81,complex/indeterminate,False,0,0.0,,,0.0,
82,complex/indeterminate,False,0,0.0,,,0.0,
83,complex/indeterminate,False,0,0.0,,,0.0,
84,complex/indeterminate,False,0,0.0,,,0.0,
85,complex/indeterminate,False,0,0.0,,,0.0,
86,complex/indeterminate,False,0,0.0,,,0.0,
87,complex/indeterminate,False,0,0.0,,,0.0,
88,complex/indeterminate,False,0,0.0,,,0.0,
89,complex/indeterminate,False,0,0.0,,,0.0,
90,complex/indeterminate,False,0,0.0,,,0.0,
91,complex/indeterminate,False,0,0.0,,,0.0,
92,complex/indeterminate,False,0,0.0,,,0.0,
93,complex/indeterminate,False,0,0.0,,,0.0,
94,complex/indeterminate,False,0,0.0,,,0.0,
95,complex/indeterminate,False,0,0.0,,,0.0,
96,complex/indeterminate,False,0,0.0,,,0.0,
97,complex/indeterminate,False,0,0.0,,,0.0,
98,complex/indeterminate,False,0,0.0,,,0.0,
99,complex/indeterminate,False,0,0.0,,,0.0,
100,complex/indeterminate,False,0,0.0,,,0.0,
101,complex/indeterminate,False,0,0.0,,,0.0,
102,complex/indeterminate,False,0,0.0,,,0.0,
103,complex/indeterminate,False,0,0.0,,,0.0,
104,complex/indeterminate,False,0,0.0,,,0.0,
105,complex/indeterminate,False,0,0.0,,,0.0,
106,complex/indeterminate,False,0,0.0,,,0.0,
107,complex/indeterminate,False,0,0.0,,,0.0,
108,complex/indeterminate,False,0,0.0,,,0.0,
109,complex/indeterminate,False,0,0.0,,,0.0,
110,complex/indeterminate,False,0,0.0,,,0.0,
111,complex/indeterminate,False,0,0.0,,,0.0,
112,complex/indeterminate,False,0,0.0,,,0.0,
113,complex/indeterminate,False,0,0.0,,,0.0,
114,complex/indeterminate,False,0,0.0,,,0.0,
115,complex/indeterminate,False,0,0.0,,,0.0,
116,complex/indeterminate,False,0,0.0,,,0.0,
117,complex/indeterminate,False,0,0.0,,,0.0,
118,complex/indeterminate,False,0,0.0,,,0.0,
119,complex/indeterminate,False,0,0.0,,,0.0,
120,complex/indeterminate,False,0,0.0,,,0.0,
121,complex/indeterminate,False,0,0.0,,,0.0,
122,complex/indeterminate,False,0,0.0,,,0.0,
123,complex/indeterminate,False,0,0.0,,,0.0,
124,complex/indeterminate,False,0,0.0,,,0.0,
125,complex/indeterminate,False,0,0.0,,,0.0,
126,complex/indeterminate,False,0,0.0,,,0.0,
127,complex/indeterminate,False,0,0.0,,,0.0,
128,complex/indeterminate,False,0,0.0,,,0.0,
129,complex/indeterminate,False,0,0.0,,,0.0,
130,complex/indeterminate,False,0,0.0,,,0.0,
