line_id,n_total_segments,n_activated_segments,activation_fraction,eligible_for_propagation,spearman_rho,spearman_pvalue,slope_minutes_per_km,intercept_minutes,r2_linear,activation_span_km,activation_time_span_minutes,median_activation_minutes,iqr_activation_minutes,n_early_jump_pairs,bend_fraction_activated,late_residual_fraction,classification
642,2,2,1.0,False,,,-471.2331688967853,495.0000000000001,1.0,0.7002902634646254,330.0,165.0,165.0,0,0.0,0.0,complex/indeterminate
826,2,2,1.0,False,,,-103.63961112034563,120.00000000000006,1.0,0.5789292274584897,60.0,60.0,30.0,0,0.0,0.0,complex/indeterminate
26,1,1,1.0,False,,,,,,0.0,0.0,480.0,0.0,0,0.0,,complex/indeterminate
51,1,1,1.0,False,,,,,,0.0,0.0,1200.0,0.0,0,0.0,,complex/indeterminate
73,1,1,1.0,False,,,,,,0.0,0.0,120.0,0.0,0,0.0,,complex/indeterminate
194,1,1,1.0,False,,,,,,0.0,0.0,30.0,0.0,0,0.0,,complex/indeterminate
209,1,1,1.0,False,,,,,,0.0,0.0,510.0,0.0,0,0.0,,complex/indeterminate
247,1,1,1.0,False,,,,,,0.0,0.0,1050.0,0.0,0,0.0,,complex/indeterminate
259,1,1,1.0,False,,,,,,0.0,0.0,1620.0,0.0,0,0.0,,complex/indeterminate
284,1,1,1.0,False,,,,,,0.0,0.0,1530.0,0.0,0,0.0,,complex/indeterminate
494,1,1,1.0,False,,,,,,0.0,0.0,1650.0,0.0,0,0.0,,complex/indeterminate
567,1,1,1.0,False,,,,,,0.0,0.0,300.0,0.0,0,0.0,,complex/indeterminate
593,1,1,1.0,False,,,,,,0.0,0.0,570.0,0.0,0,0.0,,complex/indeterminate
601,1,1,1.0,False,,,,,,0.0,0.0,1560.0,0.0,0,0.0,,complex/indeterminate
665,1,1,1.0,False,,,,,,0.0,0.0,30.0,0.0,0,0.0,,complex/indeterminate
678,1,1,1.0,False,,,,,,0.0,0.0,870.0,0.0,0,0.0,,complex/indeterminate
727,1,1,1.0,False,,,,,,0.0,0.0,1050.0,0.0,0,0.0,,complex/indeterminate
766,1,1,1.0,False,,,,,,0.0,0.0,1470.0,0.0,0,0.0,,complex/indeterminate
780,1,1,1.0,False,,,,,,0.0,0.0,1050.0,0.0,0,0.0,,complex/indeterminate
824,1,1,1.0,False,,,,,,0.0,0.0,1050.0,0.0,0,0.0,,complex/indeterminate
189,2,1,0.5,False,,,,,,0.0,0.0,450.0,0.0,0,0.0,,complex/indeterminate
614,2,1,0.5,False,,,,,,0.0,0.0,840.0,0.0,0,0.0,,complex/indeterminate
0,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
1,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
2,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
3,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
