stage,interval_index,interval_label,start_time,end_time,event_count_actual,peak_density,hotspot_x_m,hotspot_y_m,hotspot_longitude,hotspot_latitude,step_distance_m,cumulative_path_length_m,distance_to_mainshock71_m,nearest_fault_distance_m,fault_points_within_3km
stage1,1,stage1_01,2019-07-04T17:33:49.040000+00:00,2019-07-04T18:03:49.040000+00:00,68,8.674815405529503e-09,454955.06995913363,3949635.120105588,-117.49784485125075,35.689595504484245,,0.0,12890.39737823354,349.2041185348085,370
stage1,2,stage1_02,2019-07-04T18:03:49.040000+00:00,2019-07-04T18:33:49.040000+00:00,70,8.37699524047989e-09,454557.80956201046,3948645.1371886483,-117.50217935580245,35.68065151217169,1066.7155192245855,1066.7155192245855,13402.812605188365,253.03159063072803,506
stage1,3,stage1_03,2019-07-04T18:33:49.040000+00:00,2019-07-04T19:03:49.040000+00:00,65,1.0425930746607064e-08,453366.02837064094,3947160.162813239,-117.51526313566872,35.667207228391796,1904.0722947737836,2970.787813998369,13981.205699067505,117.36579374596315,629
stage1,4,stage1_04,2019-07-04T19:03:49.040000+00:00,2019-07-04T19:33:49.040000+00:00,65,6.189832609092854e-09,454359.1793634489,3949882.6158348224,-117.50444456661745,35.69179952538191,2897.947437281278,5868.735251279647,12313.49660599468,937.9691082888687,495
stage1,5,stage1_05,2019-07-04T19:33:49.040000+00:00,2019-07-04T20:03:49.040000+00:00,75,1.1561622798957772e-08,454160.5491648873,3948150.1457301783,-117.50654110225865,35.67617024154794,1743.8195489402187,7612.554800219866,13568.688097439102,182.23335463671907,548
stage1,6,stage1_06,2019-07-04T20:03:49.040000+00:00,2019-07-04T20:33:49.040000+00:00,72,8.614197343175465e-09,454557.80956201046,3948645.1371886483,-117.50217935580245,35.68065151217169,634.6907649247155,8247.245565144582,13402.812605188365,253.03159063072803,506
stage1,7,stage1_07,2019-07-04T20:33:49.040000+00:00,2019-07-04T21:03:49.040000+00:00,67,1.192107157965242e-08,455352.3303562568,3949387.624376353,-117.49344065996117,35.68738214051203,1087.4513857617897,9334.696950906371,13339.628981138292,362.3749313894733,275
stage1,8,stage1_08,2019-07-04T21:03:49.040000+00:00,2019-07-04T21:33:49.040000+00:00,68,6.982562173998391e-09,453961.9189663257,3948645.1371886483,-117.50876428177897,35.6806238658839,1576.2395303872886,10910.93648129366,13049.418468190916,220.3543624443662,561
stage2,1,stage2_01,2019-07-04T21:33:49.040000+00:00,2019-07-04T23:33:49.040000+00:00,270,1.0536380168463769e-08,455550.96055481833,3949882.6158348224,-117.49127286019565,35.69185399990442,,0.0,13113.938826771122,298.2559197464559,189
stage2,2,stage2_02,2019-07-04T23:33:49.040000+00:00,2019-07-05T01:33:49.040000+00:00,284,7.1267884998632334e-09,454756.43976057204,3948892.632917883,-117.49999830008063,35.68289208846081,1269.3815298490315,1269.3815298490315,13330.43714689138,128.7110742681406,466
