stage,interval_index,interval_label,start_time,end_time,duration_hours,is_final_interval,event_count_expected,event_count_actual,event_count_match_reference,status,peak_density,hotspot_x_m,hotspot_y_m,hotspot_longitude,hotspot_latitude,kde_array_relpath
stage2,1,stage2_01,2019-07-04T21:33:49.040000+00:00,2019-07-04T23:33:49.040000+00:00,2.0,False,270,270,True,ok,1.0536380168463769e-08,455550.96055481833,3949882.6158348224,-117.49127286019565,35.69185399990442,kde_arrays/stage2_01_density.npy
stage2,2,stage2_02,2019-07-04T23:33:49.040000+00:00,2019-07-05T01:33:49.040000+00:00,2.0,False,284,284,True,ok,7.1267884998632334e-09,454756.43976057204,3948892.632917883,-117.49999830008063,35.68289208846081,kde_arrays/stage2_02_density.npy
stage2,3,stage2_03,2019-07-05T01:33:49.040000+00:00,2019-07-05T03:33:49.040000+00:00,2.0,False,291,291,True,ok,8.772259693925203e-09,454756.43976057204,3948645.1371886483,-117.49998437849133,35.68066064757233,kde_arrays/stage2_03_density.npy
stage2,4,stage2_04,2019-07-05T03:33:49.040000+00:00,2019-07-05T05:33:49.040000+00:00,2.0,False,287,287,True,ok,8.693363009853723e-09,455153.7001576952,3949140.128647118,-117.49562202116826,35.68514168224005,kde_arrays/stage2_04_density.npy
stage2,5,stage2_05,2019-07-05T05:33:49.040000+00:00,2019-07-05T07:33:49.040000+00:00,2.0,False,280,280,True,ok,8.656859834169803e-09,454557.80956201046,3948645.1371886483,-117.50217935580245,35.68065151217169,kde_arrays/stage2_05_density.npy
stage2,6,stage2_06,2019-07-05T07:33:49.040000+00:00,2019-07-05T09:33:49.040000+00:00,2.0,False,283,283,True,ok,9.26205859263472e-09,454756.43976057204,3948645.1371886483,-117.49998437849133,35.68066064757233,kde_arrays/stage2_06_density.npy
stage2,7,stage2_07,2019-07-05T09:33:49.040000+00:00,2019-07-05T11:33:49.040000+00:00,2.0,False,276,276,True,ok,7.005870636749462e-09,449393.4243994093,3955822.5133364596,-117.55970067612239,35.74511077593693,kde_arrays/stage2_07_density.npy
stage2,8,stage2_08,2019-07-05T11:33:49.040000+00:00,2019-07-05T13:33:49.040000+00:00,2.0,False,306,306,True,ok,1.529500068877522e-08,448797.53380372457,3956812.496253399,-117.56635407562874,35.75400550203722,kde_arrays/stage2_08_density.npy
stage2,9,stage2_09,2019-07-05T13:33:49.040000+00:00,2019-07-05T15:33:49.040000+00:00,2.0,False,283,283,True,ok,9.674101095113343e-09,449194.79420084774,3956317.5047949296,-117.56192876688559,35.749563324179725,kde_arrays/stage2_09_density.npy
stage2,10,stage2_10,2019-07-05T15:33:49.040000+00:00,2019-07-05T17:33:49.040000+00:00,2.0,False,314,314,True,ok,7.733875484961514e-09,449393.4243994093,3955822.5133364596,-117.55970067612239,35.74511077593693,kde_arrays/stage2_10_density.npy
stage2,11,stage2_11,2019-07-05T17:33:49.040000+00:00,2019-07-05T19:33:49.040000+00:00,2.0,False,287,287,True,ok,6.359331391897521e-09,449989.3149950941,3955575.0176072246,-117.55309506210052,35.74290985657384,kde_arrays/stage2_11_density.npy
stage2,12,stage2_12,2019-07-05T19:33:49.040000+00:00,2019-07-05T21:33:49.040000+00:00,2.0,False,283,283,True,ok,6.917149703274092e-09,454160.5491648873,3948150.1457301783,-117.50654110225865,35.67617024154794,kde_arrays/stage2_12_density.npy
stage2,13,stage2_13,2019-07-05T21:33:49.040000+00:00,2019-07-05T23:33:49.040000+00:00,2.0,False,279,279,True,ok,5.48504073556965e-09,454756.43976057204,3948892.632917883,-117.49999830008063,35.68289208846081,kde_arrays/stage2_13_density.npy
stage2,14,stage2_14,2019-07-05T23:33:49.040000+00:00,2019-07-06T01:33:49.040000+00:00,2.0,False,229,229,True,ok,8.520830093484892e-09,449790.6847965325,3955575.0176072246,-117.55529172802599,35.7428997377304,kde_arrays/stage2_14_density.npy
stage2,15,stage2_15,2019-07-06T01:33:49.040000+00:00,2019-07-06T03:19:53.040000+00:00,1.7677777777777777,True,214,214,True,ok,6.318294183728927e-09,449989.3149950941,3954832.53041952,-117.55304876532225,35.736215655477366,kde_arrays/stage2_15_density.npy
