interval_label,geometry_type,component_index,ring_type,point_order,x_m,y_m,longitude,latitude
morphology_1h_01,alpha_shape,0,exterior,0,445525.4339904786,3943912.748366015,-117.60167101483177,35.637526795185046
morphology_1h_01,alpha_shape,0,exterior,1,445465.7370517116,3943549.759472401,-117.60230577918658,35.63425079518506
morphology_1h_01,alpha_shape,0,exterior,2,445089.89698285545,3943775.4503340567,-117.60647192405062,35.63626479518505
morphology_1h_01,alpha_shape,0,exterior,3,445525.4339904786,3943912.748366015,-117.60167101483177,35.637526795185046
morphology_1h_01,alpha_shape,1,exterior,0,451709.7357221957,3945156.990278431,-117.53344284521651,35.64906679518506
morphology_1h_01,alpha_shape,1,exterior,1,451418.5234832454,3945663.56239116,-117.53669017296733,35.65361979518506
morphology_1h_01,alpha_shape,1,exterior,2,451847.1154178266,3945622.413034735,-117.53195314776973,35.65326979518504
morphology_1h_01,alpha_shape,1,exterior,3,451709.7357221957,3945156.990278431,-117.53344284521651,35.64906679518506
morphology_1h_01,alpha_shape,2,exterior,0,453383.8514408547,3953158.221205777,-117.5154140527161,35.721286795185044
morphology_1h_01,alpha_shape,2,exterior,1,453130.63368657953,3952593.228072251,-117.51818068393226,35.71618079518503
morphology_1h_01,alpha_shape,2,exterior,2,452847.2281415661,3953141.202265408,-117.52134603978611,35.72110779518504
morphology_1h_01,alpha_shape,2,exterior,3,452894.24328905006,3953137.847022324,-117.5208260377636,35.72107979518505
morphology_1h_01,alpha_shape,2,exterior,4,453383.8514408547,3953158.221205777,-117.5154140527161,35.721286795185044
morphology_1h_01,alpha_shape,3,exterior,0,453070.60532141215,3953914.087747736,-117.5189215439944,35.72808679518504
morphology_1h_01,alpha_shape,3,exterior,1,452473.8394254511,3953530.062415116,-117.52549729176022,35.72459579518505
morphology_1h_01,alpha_shape,3,exterior,2,452436.9774044777,3954066.308486114,-117.52593664096915,35.72942879518504
morphology_1h_01,alpha_shape,3,exterior,3,452565.97539759753,3954106.767127108,-117.52451266777923,35.729799795185045
morphology_1h_01,alpha_shape,3,exterior,4,453235.2530404133,3954304.967259925,-117.51712379923524,35.73161879518504
morphology_1h_01,alpha_shape,3,exterior,5,453070.60532141215,3953914.087747736,-117.5189215439944,35.72808679518504
morphology_1h_01,alpha_shape,4,exterior,0,452021.4244817676,3954119.122746181,-117.53053467392176,35.72988479518505
morphology_1h_01,alpha_shape,4,exterior,1,451356.84473495855,3953994.635039562,-117.53787559045767,35.72872979518504
morphology_1h_01,alpha_shape,4,exterior,2,451372.6441822059,3953505.748432476,-117.53767127203706,35.724322795185046
morphology_1h_01,alpha_shape,4,exterior,3,451275.4281598809,3954040.667614287,-117.53877862015732,35.72914079518505
morphology_1h_01,alpha_shape,4,exterior,4,451582.29989477,3954445.156665778,-117.5354098848073,35.732802795185044
morphology_1h_01,alpha_shape,4,exterior,5,451971.7921923558,3954612.295037626,-117.53111299510425,35.734328795185064
morphology_1h_01,alpha_shape,4,exterior,6,452021.4244817676,3954119.122746181,-117.53053467392176,35.72988479518505
morphology_1h_01,alpha_shape,5,exterior,0,451785.9719581469,3955910.782300239,-117.53324584089412,35.74602679518505
morphology_1h_01,alpha_shape,5,exterior,1,451619.178852284,3955681.986307394,-117.53507669112088,35.74395579518505
morphology_1h_01,alpha_shape,5,exterior,2,451837.6900690131,3955136.0950918896,-117.53262733602214,35.73904479518505
morphology_1h_01,alpha_shape,5,exterior,3,451404.432200158,3955566.256314231,-117.53744461490224,35.74290179518505
morphology_1h_01,alpha_shape,5,exterior,4,450977.9492864832,3955640.3654243406,-117.54216566168876,35.74354879518504
morphology_1h_01,alpha_shape,5,exterior,5,451505.157260206,3955698.8026485946,-117.536338701679,35.74410179518506
morphology_1h_01,alpha_shape,5,exterior,6,451785.9719581469,3955910.782300239,-117.53324584089412,35.74602679518505
morphology_1h_01,alpha_shape,6,exterior,0,453883.7340795701,3946718.6439707777,-117.50951786650415,35.66325079518505
morphology_1h_01,alpha_shape,6,exterior,1,453691.46849102434,3946574.790774352,-117.5116337724386,35.66194479518505
morphology_1h_01,alpha_shape,6,exterior,2,453275.450027117,3946885.6369827297,-117.5162479728934,35.66472779518505
