stage,interval_index,interval_label,start_time,end_time,duration_hours,event_count_actual,area_m2,perimeter_m,centroid_x_m,centroid_y_m,centroid_distance_to_mainshock71_m,nearest_fault_distance_m,fault_points_within_3km,compactness,major_axis_m,minor_axis_m,orientation_deg,component_count,geometry_status,centroid_longitude,centroid_latitude,accepted_triangle_count,hours_since_mainshock64_start,hours_since_mainshock64_end
morphology_1h,1,morphology_1h_01,2019-07-04T17:33:49.040000+00:00,2019-07-04T18:33:49.040000+00:00,1.0,138,2284326.6452808334,26119.79502870415,453381.3781549482,3950628.2295388156,11116.192246526804,539.4131791492138,564,0.042075427814267305,13882.092758762452,7677.860416557172,63.606752144996335,12,ok,-117.51529455797596,35.69847623607005,47,0.0,1.0
morphology_1h,2,morphology_1h_02,2019-07-04T18:33:49.040000+00:00,2019-07-04T19:33:49.040000+00:00,1.0,130,1634892.0160689359,19792.782661412326,451764.12181162543,3947279.449133734,13148.912697804382,914.3181652564049,640,0.05244272200064283,15546.29024457312,8296.7279973401,162.9088312928132,9,ok,-117.53296922626008,35.668205684178474,42,1.0,2.0
morphology_1h,3,morphology_1h_03,2019-07-04T19:33:49.040000+00:00,2019-07-04T20:33:49.040000+00:00,1.0,147,2005056.6407855204,21985.16584334337,451407.76595938305,3946946.5800325875,13316.045129394965,1002.3105605904639,633,0.05212871475780882,16461.143596928603,7930.970155859706,63.20470319439431,9,ok,-117.53688643452483,35.66518702868904,66,2.0,3.0
morphology_1h,4,morphology_1h_04,2019-07-04T20:33:49.040000+00:00,2019-07-04T21:33:49.040000+00:00,1.0,135,1836896.403710789,18766.69259976571,453412.5075534011,3949069.0561948474,12387.528111929276,176.58223892275993,545,0.06554190307010704,17330.566227285286,7078.706170958307,73.89803358990497,10,ok,-117.51486013320931,35.684420134614065,36,3.0,4.0
morphology_1h,5,morphology_1h_05,2019-07-04T21:33:49.040000+00:00,2019-07-04T22:33:49.040000+00:00,1.0,132,2489500.8457438387,26866.653119863142,453856.1230925425,3949848.372954777,12022.028854998589,571.5465882535201,558,0.04334060864635034,15426.207357699785,9420.099538770924,155.0717016966163,11,ok,-117.51000242778002,35.69146736339976,50,4.0,5.0
morphology_1h,6,morphology_1h_06,2019-07-04T22:33:49.040000+00:00,2019-07-04T23:33:49.040000+00:00,1.0,138,1972887.8164124493,19499.861341565284,453218.1105528538,3948643.23810731,12635.494092683168,387.62315701646094,536,0.06520024210997011,21083.465568925254,7500.374670202545,74.571722485995,9,ok,-117.51698365964563,35.68057172942439,52,5.0,6.0
morphology_1h,7,morphology_1h_07,2019-07-04T23:33:49.040000+00:00,2019-07-05T00:33:49.040000+00:00,1.0,137,3315728.4134855694,28162.717204151635,452059.2790121271,3951385.3059473764,9713.67727742071,652.7081077937479,548,0.05253390767036197,16291.640402580917,8869.864398752452,79.3186387697267,12,ok,-117.52995287322757,35.705238596865364,42,6.0,7.0
morphology_1h,8,morphology_1h_08,2019-07-05T00:33:49.040000+00:00,2019-07-05T01:33:49.040000+00:00,1.0,147,1683752.0102480669,19835.175011873944,452206.8203965425,3948016.0513509093,12675.614651534032,384.1002896442596,599,0.05377939568483185,20772.495524293317,8894.22469996696,69.26718233789006,11,ok,-117.52812168196184,35.67486847987753,35,7.0,8.0
morphology_1h,9,morphology_1h_09,2019-07-05T01:33:49.040000+00:00,2019-07-05T02:33:49.040000+00:00,1.0,139,1905123.865900097,28958.61485509415,451874.5462668509,3947135.588685102,13325.316382640149,921.899072195455,644,0.028548119879259558,18184.287756346694,8032.52279761572,70.7442353048794,13,ok,-117.53174056682415,35.66691402454214,44,8.0,9.0
morphology_1h,10,morphology_1h_10,2019-07-05T02:33:49.040000+00:00,2019-07-05T03:33:49.040000+00:00,1.0,152,2376496.6471639522,23455.023724508443,452182.9671279963,3947200.74732755,13395.756328349642,682.1368082806233,630,0.05428443435153375,17221.369599921567,7384.615999986247,154.63527173261082,11,ok,-117.52833681014522,35.667516498341286,58,9.0,10.0
