interval_label,geometry_type,component_index,ring_type,point_order,x_m,y_m,longitude,latitude
morphology_1h_01,convex_hull,0,exterior,0,443848.7936507012,3936778.872564018,-117.61969238854012,35.57311379518505
morphology_1h_01,convex_hull,0,exterior,1,442679.75872319104,3936979.072611709,-117.63260751317426,35.57485179518504
morphology_1h_01,convex_hull,0,exterior,2,430285.2536536583,3947072.734375021,-117.77025999666458,35.66505779518504
morphology_1h_01,convex_hull,0,exterior,3,431260.25388180494,3949144.864555373,-117.75966534793554,35.68380779518505
morphology_1h_01,convex_hull,0,exterior,4,441050.35386665777,3962332.1218636977,-117.6524479914484,35.803334795185044
morphology_1h_01,convex_hull,0,exterior,5,452961.6151581429,3966231.021662173,-117.52085058988035,35.83912979518505
morphology_1h_01,convex_hull,0,exterior,6,462851.2050388475,3950167.499768053,-117.4106021352759,35.69472479518504
morphology_1h_01,convex_hull,0,exterior,7,453667.7250087147,3939669.075517342,-117.51149929486151,35.59968079518506
morphology_1h_01,convex_hull,0,exterior,8,443848.7936507012,3936778.872564018,-117.61969238854012,35.57311379518505
morphology_1h_02,convex_hull,0,exterior,0,442661.5212567286,3938625.5924688336,-117.63292557809214,35.589695795185044
morphology_1h_02,convex_hull,0,exterior,1,439201.9765638443,3940238.912706725,-117.67123260752236,35.60403479518505
morphology_1h_02,convex_hull,0,exterior,2,431908.8778861436,3948830.6311925016,-117.75247114693136,35.68101979518505
morphology_1h_02,convex_hull,0,exterior,3,441776.0120999288,3975127.491264912,-117.64535138513266,35.91873579518504
morphology_1h_02,convex_hull,0,exterior,4,458164.9924341937,3953087.0376236127,-117.46254902187222,35.72085979518505
morphology_1h_02,convex_hull,0,exterior,5,462422.5624824869,3946267.322595042,-117.41515759952075,35.659543795185044
morphology_1h_02,convex_hull,0,exterior,6,451007.6296996392,3940405.335307423,-117.54090976236962,35.60619079518505
morphology_1h_02,convex_hull,0,exterior,7,446747.9164690053,3938933.771798405,-117.58784079391133,35.592702795185055
morphology_1h_02,convex_hull,0,exterior,8,442661.5212567286,3938625.5924688336,-117.63292557809214,35.589695795185044
morphology_1h_03,convex_hull,0,exterior,0,445042.0496897569,3935698.251249561,-117.60645069485736,35.563437795185045
morphology_1h_03,convex_hull,0,exterior,1,442560.4160321345,3936182.815603706,-117.63386799792642,35.56766579518505
morphology_1h_03,convex_hull,0,exterior,2,439351.6033561744,3941431.5605632886,-117.66967038063024,35.61479679518506
morphology_1h_03,convex_hull,0,exterior,3,440064.8850895464,3959458.307412208,-117.66313910917825,35.77736579518505
morphology_1h_03,convex_hull,0,exterior,4,442328.11871727393,3960811.7818234833,-117.63819700315315,35.789703795185055
morphology_1h_03,convex_hull,0,exterior,5,452903.8289138706,3960004.5206776825,-117.52112351660908,35.78298979518505
morphology_1h_03,convex_hull,0,exterior,6,457874.5045249532,3952050.82006495,-117.46570634628698,35.71150479518505
morphology_1h_03,convex_hull,0,exterior,7,458267.2074498491,3950535.7827793793,-117.46128636159666,35.69786179518505
morphology_1h_03,convex_hull,0,exterior,8,458783.0511039953,3947742.044219065,-117.45544154689524,35.67269479518505
morphology_1h_03,convex_hull,0,exterior,9,457021.30275658384,3944185.5600790144,-117.4747182326001,35.640553795185035
morphology_1h_03,convex_hull,0,exterior,10,452481.368188034,3936545.06127164,-117.5244122697962,35.57145779518504
morphology_1h_03,convex_hull,0,exterior,11,445042.0496897569,3935698.251249561,-117.60645069485736,35.563437795185045
morphology_1h_04,convex_hull,0,exterior,0,446635.2235465385,3934726.4208606,-117.58880707321902,35.55476279518505
morphology_1h_04,convex_hull,0,exterior,1,442482.3614164717,3935738.333626512,-117.63469771033901,35.56365379518505
