stage,interval_index,interval_label,start_time,end_time,duration_hours,event_count_actual,area_m2,perimeter_m,centroid_x_m,centroid_y_m,centroid_distance_to_mainshock71_m,nearest_fault_distance_m,fault_points_within_3km,compactness,major_axis_m,minor_axis_m,orientation_deg,component_count,geometry_status,centroid_longitude,centroid_latitude,hull_vertex_count,hours_since_mainshock64_start,hours_since_mainshock64_end
morphology_1h,1,morphology_1h_01,2019-07-04T17:33:49.040000+00:00,2019-07-04T18:33:49.040000+00:00,1.0,138,582005073.472655,91465.29276318467,446984.3938120252,3950863.888961013,8446.878978193505,2344.173618762194,294,0.8742265201354975,29349.93463350757,24418.013163517182,48.82223978768124,1,ok,-117.58601545739285,35.70027747399409,8,0.0,1.0
morphology_1h,2,morphology_1h_02,2019-07-04T18:33:49.040000+00:00,2019-07-04T19:33:49.040000+00:00,1.0,130,590367047.8189632,100116.52973798796,445626.90102414833,3953190.6985221314,6151.761166495617,2224.4114085875253,351,0.7401511147658071,35479.053668973465,23609.37946007655,126.63398843160167,1,ok,-117.60117748063526,35.721181727854265,8,1.0,2.0
morphology_1h,3,morphology_1h_03,2019-07-04T19:33:49.040000+00:00,2019-07-04T20:33:49.040000+00:00,1.0,147,388257345.27869123,74093.84587073082,448077.0409630778,3948453.891137158,10964.274364457155,1398.6913482417003,59,0.8887206462031038,24986.59368523432,19166.756636105485,87.73410447879769,1,ok,-117.57378264351273,35.67860722857176,11,2.0,3.0
morphology_1h,4,morphology_1h_04,2019-07-04T20:33:49.040000+00:00,2019-07-04T21:33:49.040000+00:00,1.0,135,596099157.1672021,98471.01257955615,446380.61862655426,3951322.2166142976,7969.490871220018,2578.555125002874,294,0.7725232594168118,36102.27997849465,23968.25609381227,86.61938324958521,1,ok,-117.59271963759404,35.704377038082676,8,3.0,4.0
morphology_1h,5,morphology_1h_05,2019-07-04T21:33:49.040000+00:00,2019-07-04T22:33:49.040000+00:00,1.0,132,473978468.7902095,86006.01149493337,447194.6851728129,3947941.3957365556,11376.906270192778,1362.3996664248216,57,0.8052131558894816,26375.115007264834,24654.339658891564,79.16878588277092,1,ok,-117.58349916632332,35.67393972807661,7,4.0,5.0
morphology_1h,6,morphology_1h_06,2019-07-04T22:33:49.040000+00:00,2019-07-04T23:33:49.040000+00:00,1.0,138,608694781.5196556,100111.99312694444,445115.94110092794,3953014.5659700413,6410.296418038055,2763.0014598699254,54,0.7631980056994343,37505.783915319,24587.37171790941,86.84362770762084,1,ok,-117.60681459754878,35.719565387424176,8,5.0,6.0
morphology_1h,7,morphology_1h_07,2019-07-04T23:33:49.040000+00:00,2019-07-05T00:33:49.040000+00:00,1.0,137,710088235.2858456,110625.05710799567,444965.5485845795,3947476.088088026,11904.245670157714,3271.601850118253,0,0.7291471213501655,37575.18071113979,27069.221577384902,177.63467949049232,1,ok,-117.60809810550452,35.669622663226505,9,6.0,7.0
morphology_1h,8,morphology_1h_08,2019-07-05T00:33:49.040000+00:00,2019-07-05T01:33:49.040000+00:00,1.0,147,822759880.425119,117431.33321726514,447301.9330625215,3950645.0863587586,8691.801358557206,2275.4622383363458,289,0.7497474327750467,44503.150550268256,24084.41905938142,87.0324453216266,1,ok,-117.58249130783739,35.69832180179741,7,7.0,8.0
morphology_1h,9,morphology_1h_09,2019-07-05T01:33:49.040000+00:00,2019-07-05T02:33:49.040000+00:00,1.0,139,823042969.7889668,123940.02435616343,444079.6240258709,3946831.6755244513,12677.125057438589,3455.254695759659,0,0.6733009377595006,42645.48128735716,33946.66871395788,78.05422810964097,1,ok,-117.61784177341055,35.663762859577275,6,8.0,9.0
morphology_1h,10,morphology_1h_10,2019-07-05T02:33:49.040000+00:00,2019-07-05T03:33:49.040000+00:00,1.0,152,417600558.3118324,84209.76776887436,448899.9374069267,3948552.8854312478,11022.254974989262,1270.0694499375631,194,0.7400243247339741,33091.81133309889,18584.503016923885,36.6898733780109,1,ok,-117.56469578680094,35.679542751963034,10,9.0,10.0
