interval_label,stage,interval_index,start_time,end_time,event_count_expected,event_count_actual,event_count_match_reference,convex_status,alpha_status
morphology_1h_01,morphology_1h,1,2019-07-04T17:33:49.040000+00:00,2019-07-04T18:33:49.040000+00:00,138,138,True,ok,ok
morphology_1h_02,morphology_1h,2,2019-07-04T18:33:49.040000+00:00,2019-07-04T19:33:49.040000+00:00,130,130,True,ok,ok
morphology_1h_03,morphology_1h,3,2019-07-04T19:33:49.040000+00:00,2019-07-04T20:33:49.040000+00:00,147,147,True,ok,ok
morphology_1h_04,morphology_1h,4,2019-07-04T20:33:49.040000+00:00,2019-07-04T21:33:49.040000+00:00,135,135,True,ok,ok
morphology_1h_05,morphology_1h,5,2019-07-04T21:33:49.040000+00:00,2019-07-04T22:33:49.040000+00:00,132,132,True,ok,ok
morphology_1h_06,morphology_1h,6,2019-07-04T22:33:49.040000+00:00,2019-07-04T23:33:49.040000+00:00,138,138,True,ok,ok
morphology_1h_07,morphology_1h,7,2019-07-04T23:33:49.040000+00:00,2019-07-05T00:33:49.040000+00:00,137,137,True,ok,ok
morphology_1h_08,morphology_1h,8,2019-07-05T00:33:49.040000+00:00,2019-07-05T01:33:49.040000+00:00,147,147,True,ok,ok
morphology_1h_09,morphology_1h,9,2019-07-05T01:33:49.040000+00:00,2019-07-05T02:33:49.040000+00:00,139,139,True,ok,ok
morphology_1h_10,morphology_1h,10,2019-07-05T02:33:49.040000+00:00,2019-07-05T03:33:49.040000+00:00,152,152,True,ok,ok
morphology_1h_11,morphology_1h,11,2019-07-05T03:33:49.040000+00:00,2019-07-05T04:33:49.040000+00:00,138,138,True,ok,ok
morphology_1h_12,morphology_1h,12,2019-07-05T04:33:49.040000+00:00,2019-07-05T05:33:49.040000+00:00,149,149,True,ok,ok
morphology_1h_13,morphology_1h,13,2019-07-05T05:33:49.040000+00:00,2019-07-05T06:33:49.040000+00:00,131,131,True,ok,ok
morphology_1h_14,morphology_1h,14,2019-07-05T06:33:49.040000+00:00,2019-07-05T07:33:49.040000+00:00,149,149,True,ok,ok
morphology_1h_15,morphology_1h,15,2019-07-05T07:33:49.040000+00:00,2019-07-05T08:33:49.040000+00:00,142,142,True,ok,ok
morphology_1h_16,morphology_1h,16,2019-07-05T08:33:49.040000+00:00,2019-07-05T09:33:49.040000+00:00,141,141,True,ok,ok
morphology_1h_17,morphology_1h,17,2019-07-05T09:33:49.040000+00:00,2019-07-05T10:33:49.040000+00:00,139,139,True,ok,ok
morphology_1h_18,morphology_1h,18,2019-07-05T10:33:49.040000+00:00,2019-07-05T11:33:49.040000+00:00,137,137,True,ok,ok
morphology_1h_19,morphology_1h,19,2019-07-05T11:33:49.040000+00:00,2019-07-05T12:33:49.040000+00:00,157,157,True,ok,ok
morphology_1h_20,morphology_1h,20,2019-07-05T12:33:49.040000+00:00,2019-07-05T13:33:49.040000+00:00,149,149,True,ok,ok
morphology_1h_21,morphology_1h,21,2019-07-05T13:33:49.040000+00:00,2019-07-05T14:33:49.040000+00:00,135,135,True,ok,ok
morphology_1h_22,morphology_1h,22,2019-07-05T14:33:49.040000+00:00,2019-07-05T15:33:49.040000+00:00,148,148,True,ok,ok
morphology_1h_23,morphology_1h,23,2019-07-05T15:33:49.040000+00:00,2019-07-05T16:33:49.040000+00:00,162,162,True,ok,ok
morphology_1h_24,morphology_1h,24,2019-07-05T16:33:49.040000+00:00,2019-07-05T17:33:49.040000+00:00,152,152,True,ok,ok
morphology_1h_25,morphology_1h,25,2019-07-05T17:33:49.040000+00:00,2019-07-05T18:33:49.040000+00:00,146,146,True,ok,ok
morphology_1h_26,morphology_1h,26,2019-07-05T18:33:49.040000+00:00,2019-07-05T19:33:49.040000+00:00,141,141,True,ok,ok
morphology_1h_27,morphology_1h,27,2019-07-05T19:33:49.040000+00:00,2019-07-05T20:33:49.040000+00:00,142,142,True,ok,ok
morphology_1h_28,morphology_1h,28,2019-07-05T20:33:49.040000+00:00,2019-07-05T21:33:49.040000+00:00,141,141,True,ok,ok
morphology_1h_29,morphology_1h,29,2019-07-05T21:33:49.040000+00:00,2019-07-05T22:33:49.040000+00:00,144,144,True,ok,ok
morphology_1h_30,morphology_1h,30,2019-07-05T22:33:49.040000+00:00,2019-07-05T23:33:49.040000+00:00,135,135,True,ok,ok
morphology_1h_31,morphology_1h,31,2019-07-05T23:33:49.040000+00:00,2019-07-06T00:33:49.040000+00:00,116,116,True,ok,ok
morphology_1h_32,morphology_1h,32,2019-07-06T00:33:49.040000+00:00,2019-07-06T01:33:49.040000+00:00,113,113,True,ok,ok
morphology_1h_33,morphology_1h,33,2019-07-06T01:33:49.040000+00:00,2019-07-06T02:33:49.040000+00:00,118,118,True,ok,ok
morphology_1h_34,morphology_1h,34,2019-07-06T02:33:49.040000+00:00,2019-07-06T03:19:53.040000+00:00,96,96,True,ok,ok
