interval_index,interval_label,hours_since_mainshock64_start,event_count_actual,convex_status,alpha_status,process_flag,near_complex_fault_zone,convex_area_change_m2,alpha_area_change_m2,convex_distance_change_to_mainshock71_m,alpha_distance_change_to_mainshock71_m,hotspot_distance_change_to_mainshock71_m,alpha_component_count_change
1,morphology_1h_01,0.0,138,ok,ok,bifurcation,True,,,,,,
2,morphology_1h_02,1.0,130,ok,ok,bifurcation,True,8361974.346308112,-649434.6292118975,-2295.117811697888,2032.7204512775788,,-3.0
3,morphology_1h_03,2.0,147,ok,ok,defocusing;bifurcation,True,-202109702.54027194,370164.62471658457,4812.513197961538,167.1324315905822,,0.0
4,morphology_1h_04,3.0,135,ok,ok,bifurcation,True,207841811.88851088,-168160.23707473138,-2994.783493237137,-928.5170174656887,,1.0
5,morphology_1h_05,4.0,132,ok,ok,defocusing;bifurcation,True,-122120688.37699264,652604.4420330497,3407.41539897276,-365.4992569306869,,1.0
6,morphology_1h_06,5.0,138,ok,ok,bifurcation,True,134716312.7294461,-516613.02933138935,-4966.609852154723,613.4652376845788,,-2.0
7,morphology_1h_07,6.0,137,ok,ok,defocusing;bifurcation,True,101393453.76619005,1342840.59707312,5493.949252119659,-2921.8168152624585,,3.0
8,morphology_1h_08,7.0,147,ok,ok,bifurcation,True,112671645.1392734,-1631976.4032375026,-3212.4443116005077,2961.937374113322,,-1.0
9,morphology_1h_09,8.0,139,ok,ok,defocusing;bifurcation,True,283089.36384773254,221371.8556520301,3985.3236988813824,649.7017311061172,,2.0
10,morphology_1h_10,9.0,152,ok,ok,focusing;defocusing;bifurcation,True,-405442411.47713435,471372.7812638553,-1654.8700824493262,70.43994570949326,,-2.0
11,morphology_1h_11,10.0,138,ok,ok,bifurcation,True,438818069.6732888,-888747.4748469433,-1137.642147269511,-1524.1371678952419,,-3.0
12,morphology_1h_12,11.0,149,ok,ok,defocusing;bifurcation,True,-378981529.0627545,1676342.1035908437,4217.6819170480285,-41.25917207740895,,0.0
13,morphology_1h_13,12.0,131,ok,ok,bifurcation,True,95911129.25173521,-1959631.059410373,-3352.775028652133,954.2155190618687,,0.0
14,morphology_1h_14,13.0,149,ok,ok,defocusing;bifurcation,True,175523481.02402353,337692.49048200017,-2052.353179580541,892.0536339797563,,2.0
15,morphology_1h_15,14.0,142,ok,ok,bifurcation,True,-359748665.6630793,217404.91272991174,3287.8488223902004,-929.979982695937,,0.0
16,morphology_1h_16,15.0,141,ok,ok,bifurcation,True,445525265.6407295,-439152.93607768486,-4348.565463406017,220.4686187441057,,1.0
17,morphology_1h_17,16.0,139,ok,ok,defocusing;bifurcation,True,-249291844.21895635,614691.7092974703,1765.4566921308524,-725.5753506723522,,-1.0
18,morphology_1h_18,17.0,137,ok,ok,defocusing;bifurcation,True,129412294.10097945,752739.4161320648,-1901.3296086957507,-8067.6957585140235,,-3.0
19,morphology_1h_19,18.0,157,ok,ok,defocusing;bifurcation,True,-72386166.21534073,1542518.616182841,3359.1684113832926,-142.14426653691044,,1.0
20,morphology_1h_20,19.0,149,ok,ok,bifurcation,True,-341350460.60126024,-390914.92567105684,125.42246869107112,-47.54383852989122,,-2.0
21,morphology_1h_21,20.0,135,ok,ok,defocusing;bifurcation,False,222397894.32788354,-1374191.1195746441,2834.088961710424,5069.0854064022105,,1.0
22,morphology_1h_22,21.0,148,ok,ok,focusing;bifurcation,True,-180212106.9029541,-334599.9799228241,-4308.335670397706,-1846.8720487409055,,3.0
23,morphology_1h_23,22.0,162,ok,ok,bifurcation,True,-19596338.733920634,-462713.36646075686,1647.9689982162163,3770.5991482194486,,1.0
24,morphology_1h_24,23.0,152,ok,ok,defocusing;bifurcation,True,139063724.8183145,2158372.7800335223,-1129.7759701893265,-5155.471712392029,,-2.0
25,morphology_1h_25,24.0,146,ok,ok,bifurcation,False,294041791.22807336,-1943075.5752958439,-142.41667130939277,3004.848420290986,,0.0
26,morphology_1h_26,25.0,141,ok,ok,focusing;bifurcation,False,-396665989.70705044,-549575.4699163223,-1784.0829732471975,578.49259260283,,-2.0
27,morphology_1h_27,26.0,142,ok,ok,defocusing;bifurcation,True,278409260.42818666,1304001.299522904,3331.788978503044,1385.4846575405027,,1.0
28,morphology_1h_28,27.0,141,ok,ok,bifurcation,True,-140112770.94529986,-1068870.080043615,408.9093029680298,2655.7923763930485,,-1.0
29,morphology_1h_29,28.0,144,ok,ok,defocusing;bifurcation,True,188150671.39321876,-95197.37193574081,51.69507156046711,-1611.5816129805607,,1.0
30,morphology_1h_30,29.0,135,ok,ok,bifurcation,True,-200386590.13313824,-95825.12831776962,1323.881458655429,-250.21024697487337,,2.0
31,morphology_1h_31,30.0,116,ok,ok,focusing;bifurcation,False,-53707262.37611592,-178838.48090995871,-2646.009704372962,-2348.0854766931334,,-2.0
32,morphology_1h_32,31.0,113,ok,ok,bifurcation,True,154113537.03207117,-147650.9033962509,-6860.821968746098,-2479.5071999660195,,-2.0
33,morphology_1h_33,32.0,118,ok,ok,bifurcation,False,-132121513.71093482,-270895.4404340192,10998.146852517668,3214.395574849117,,0.0
34,morphology_1h_34,33.0,96,ok,ok,defocusing;bifurcation,True,134008344.26908094,152387.4231065173,4063.3085939574485,425.6545137705525,,-2.0
