interval_id,start_time,end_time
0,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00
1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00
2,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00
3,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00
4,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00
5,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00
6,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00
7,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00
8,2019-07-04 21:33:49.040000+00:00,2019-07-04 22:03:49.040000+00:00
9,2019-07-04 22:03:49.040000+00:00,2019-07-04 22:33:49.040000+00:00
10,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:03:49.040000+00:00
11,2019-07-04 23:03:49.040000+00:00,2019-07-04 23:33:49.040000+00:00
12,2019-07-04 23:33:49.040000+00:00,2019-07-05 00:03:49.040000+00:00
13,2019-07-05 00:03:49.040000+00:00,2019-07-05 00:33:49.040000+00:00
14,2019-07-05 00:33:49.040000+00:00,2019-07-05 01:03:49.040000+00:00
15,2019-07-05 01:03:49.040000+00:00,2019-07-05 01:33:49.040000+00:00
16,2019-07-05 01:33:49.040000+00:00,2019-07-05 02:03:49.040000+00:00
17,2019-07-05 02:03:49.040000+00:00,2019-07-05 02:33:49.040000+00:00
18,2019-07-05 02:33:49.040000+00:00,2019-07-05 03:03:49.040000+00:00
19,2019-07-05 03:03:49.040000+00:00,2019-07-05 03:33:49.040000+00:00
20,2019-07-05 03:33:49.040000+00:00,2019-07-05 04:03:49.040000+00:00
21,2019-07-05 04:03:49.040000+00:00,2019-07-05 04:33:49.040000+00:00
22,2019-07-05 04:33:49.040000+00:00,2019-07-05 05:03:49.040000+00:00
23,2019-07-05 05:03:49.040000+00:00,2019-07-05 05:33:49.040000+00:00
