figure_group,window_rank,window_start,window_end,interval_id,window_label
whole_window_4h,1,2019-07-04 17:33:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,,whole_window_4h_w1
whole_window_4h,2,2019-07-04 23:14:41.040000+00:00,2019-07-05 03:14:41.040000+00:00,,whole_window_4h_w2
whole_window_4h,3,2019-07-05 04:55:33.040000+00:00,2019-07-05 08:55:33.040000+00:00,,whole_window_4h_w3
whole_window_4h,4,2019-07-05 10:36:25.040000+00:00,2019-07-05 14:36:25.040000+00:00,,whole_window_4h_w4
whole_window_4h,5,2019-07-05 16:17:17.040000+00:00,2019-07-05 20:17:17.040000+00:00,,whole_window_4h_w5
whole_window_4h,6,2019-07-05 21:58:09.040000+00:00,2019-07-06 01:58:09.040000+00:00,,whole_window_4h_w6
whole_window_4h,7,2019-07-06 03:39:01.040000+00:00,2019-07-06 07:39:01.040000+00:00,,whole_window_4h_w7
whole_window_4h,8,2019-07-06 09:19:53.040000+00:00,2019-07-06 13:19:53.040000+00:00,,whole_window_4h_w8
near_mainshock64_30m,1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,0.0,near_mainshock64_30m_w1
near_mainshock64_30m,2,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:03:49.040000+00:00,10.0,near_mainshock64_30m_w2
near_mainshock64_30m,3,2019-07-05 03:03:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,19.0,near_mainshock64_30m_w3
near_mainshock64_30m,4,2019-07-05 08:03:49.040000+00:00,2019-07-05 08:33:49.040000+00:00,29.0,near_mainshock64_30m_w4
near_mainshock64_30m,5,2019-07-05 12:33:49.040000+00:00,2019-07-05 13:03:49.040000+00:00,38.0,near_mainshock64_30m_w5
near_mainshock64_30m,6,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:03:49.040000+00:00,48.0,near_mainshock64_30m_w6
near_mainshock64_30m,7,2019-07-05 22:03:49.040000+00:00,2019-07-05 22:33:49.040000+00:00,57.0,near_mainshock64_30m_w7
near_mainshock64_30m,8,2019-07-06 03:03:49.040000+00:00,2019-07-06 03:33:49.040000+00:00,67.0,near_mainshock64_30m_w8
near_mainshock71_30m,1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,0.0,near_mainshock71_30m_w1
near_mainshock71_30m,2,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:03:49.040000+00:00,10.0,near_mainshock71_30m_w2
near_mainshock71_30m,3,2019-07-05 03:03:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,19.0,near_mainshock71_30m_w3
near_mainshock71_30m,4,2019-07-05 08:03:49.040000+00:00,2019-07-05 08:33:49.040000+00:00,29.0,near_mainshock71_30m_w4
near_mainshock71_30m,5,2019-07-05 12:33:49.040000+00:00,2019-07-05 13:03:49.040000+00:00,38.0,near_mainshock71_30m_w5
near_mainshock71_30m,6,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:03:49.040000+00:00,48.0,near_mainshock71_30m_w6
near_mainshock71_30m,7,2019-07-05 22:03:49.040000+00:00,2019-07-05 22:33:49.040000+00:00,57.0,near_mainshock71_30m_w7
near_mainshock71_30m,8,2019-07-06 03:03:49.040000+00:00,2019-07-06 03:33:49.040000+00:00,67.0,near_mainshock71_30m_w8
