domain,resolution,observable,cp_index,cp_start_time,cp_center_time,hours_since_main64,posterior_probability,support_score,pre_level,post_level,delta_level
All_region,1h,energy_joule,48,2019-07-06 00:00:00+00:00,2019-07-06 00:30:00+00:00,30.93637777777778,0.9230216863359662,1.8019845992069847,5638068333744.95,705107485673435.4,699469417339690.4
All_region,1h,rate_per_hour,17,2019-07-04 17:00:00+00:00,2019-07-04 17:30:00+00:00,-0.06362222222222222,0.9974224892463852,2.0568500068281366,0.8235294117647058,135.45714285714286,134.63361344537816
Mw64_neighborhood,1h,energy_joule,18,2019-07-04 18:00:00+00:00,2019-07-04 18:30:00+00:00,0.9363777777777778,0.8475960804686727,-0.3907511519743508,14107285480751.127,490756783185.6597,-13616528697565.467
Mw64_neighborhood,1h,rate_per_hour,17,2019-07-04 17:00:00+00:00,2019-07-04 17:30:00+00:00,-0.06362222222222222,0.9999787703769089,2.0555207161579196,0.4117647058823529,97.62857142857143,97.21680672268909
Mw71_neighborhood,1h,energy_joule,48,2019-07-06 00:00:00+00:00,2019-07-06 00:30:00+00:00,30.93637777777778,0.9234245807523477,1.8199720952959613,231807020226.51807,705105713383616.6,704873906363390.1
Mw71_neighborhood,1h,rate_per_hour,17,2019-07-04 17:00:00+00:00,2019-07-04 17:30:00+00:00,-0.06362222222222222,0.5570527914667943,1.7475748695445015,0.058823529411764705,46.8,46.74117647058823
Mw71_neighborhood,1h,rate_per_hour,18,2019-07-04 18:00:00+00:00,2019-07-04 18:30:00+00:00,0.9363777777777778,0.43014186375035207,1.7451556241927537,1.0,47.6764705882353,46.6764705882353
Region_A,1h,energy_joule,18,2019-07-04 18:00:00+00:00,2019-07-04 18:30:00+00:00,0.9363777777777778,0.8505438516657299,-0.39974269736084594,14084819787330.51,171651664336.2508,-13913168122994.26
Region_A,1h,rate_per_hour,17,2019-07-04 17:00:00+00:00,2019-07-04 17:30:00+00:00,-0.06362222222222222,0.9991178331729376,1.9680298103514302,0.35294117647058826,86.62857142857143,86.27563025210084
Region_B,1h,energy_joule,48,2019-07-06 00:00:00+00:00,2019-07-06 00:30:00+00:00,30.93637777777778,0.9230239691835942,1.8021157763468507,5582688363142.247,705106821422053.4,699524133058911.1
Region_B,1h,rate_per_hour,17,2019-07-04 17:00:00+00:00,2019-07-04 17:30:00+00:00,-0.06362222222222222,0.9991703231827732,2.0361715060085244,0.35294117647058826,90.71428571428571,90.36134453781511
All_region,30min,energy_joule,98,2019-07-06 01:30:00+00:00,2019-07-06 01:45:00+00:00,32.18637777777778,0.9401888175902395,2.5196375999015,2762620183026.108,705080111194235.1,702317491011209.0
All_region,30min,rate_per_hour,34,2019-07-04 17:30:00+00:00,2019-07-04 17:45:00+00:00,0.18637777777777778,0.9999964840609855,2.0856033320218295,2.0588235294117645,138.8235294117647,136.76470588235293
Mw64_neighborhood,30min,energy_joule,35,2019-07-04 18:00:00+00:00,2019-07-04 18:15:00+00:00,0.6863777777777778,0.8545842785476218,-0.2805256994351949,7255175390100.579,249040755646.45416,-7006134634454.125
Mw64_neighborhood,30min,rate_per_hour,34,2019-07-04 17:30:00+00:00,2019-07-04 17:45:00+00:00,0.18637777777777778,0.9885673808745853,2.0632623035033477,1.588235294117647,99.91176470588235,98.3235294117647
Mw71_neighborhood,30min,energy_joule,98,2019-07-06 01:30:00+00:00,2019-07-06 01:45:00+00:00,32.18637777777778,0.9403905787578387,2.5370271853973643,114616116870.51903,705079302763007.1,704964686646136.6
Mw71_neighborhood,30min,rate_per_hour,34,2019-07-04 17:30:00+00:00,2019-07-04 17:45:00+00:00,0.18637777777777778,0.9785168847983872,1.7579495102239078,0.11764705882352941,48.14705882352941,48.029411764705884
Region_A,30min,energy_joule,35,2019-07-04 18:00:00+00:00,2019-07-04 18:15:00+00:00,0.6863777777777778,0.8558576009490692,-0.2870073406083842,7243621604912.833,87106814737.7989,-7156514790175.034
Region_A,30min,rate_per_hour,33,2019-07-04 17:00:00+00:00,2019-07-04 17:15:00+00:00,-0.31362222222222225,0.6847147189577955,1.9758324462613857,0.36363636363636365,87.8840579710145,87.52042160737814
Region_A,30min,rate_per_hour,34,2019-07-04 17:30:00+00:00,2019-07-04 17:45:00+00:00,0.18637777777777778,0.31516294783450016,1.9693955012011914,1.411764705882353,88.6470588235294,87.23529411764706
Region_B,30min,energy_joule,98,2019-07-06 01:30:00+00:00,2019-07-06 01:45:00+00:00,32.18637777777778,0.9401891651426668,2.519743337712199,2735491973252.919,705079528435063.8,702344036461810.9
Region_B,30min,rate_per_hour,34,2019-07-04 17:30:00+00:00,2019-07-04 17:45:00+00:00,0.18637777777777778,0.9983063331779741,2.0515421330257166,1.2352941176470589,92.94117647058823,91.70588235294117
