domain,resolution,bin_start,bin_end,bin_center,hours_since_main64_bin_center,count,rate_per_hour,energy_joule,cumulative_count,cumulative_energy_joule,normalized_cumulative_count_fraction,normalized_cumulative_energy_fraction,rate_change_per_hour,energy_change_joule,rate_change_z,energy_change_z
All_region,1h,2019-07-04 00:00:00+00:00,2019-07-04 01:00:00+00:00,2019-07-04 00:30:00+00:00,-17.06362222222222,1,1.0,616595.0018614822,1,616595.0018614822,,,,,,
All_region,1h,2019-07-04 01:00:00+00:00,2019-07-04 02:00:00+00:00,2019-07-04 01:30:00+00:00,-16.06362222222222,0,0.0,0.0,1,616595.0018614822,,,-1.0,-616595.0018614822,-0.22483025315886507,-1.3107021225180193e-05
All_region,1h,2019-07-04 02:00:00+00:00,2019-07-04 03:00:00+00:00,2019-07-04 02:30:00+00:00,-15.063622222222222,1,1.0,278612.1168629772,2,895207.1187244593,,,1.0,278612.1168629772,0.22483025315886507,5.922485453645952e-06
All_region,1h,2019-07-04 03:00:00+00:00,2019-07-04 04:00:00+00:00,2019-07-04 03:30:00+00:00,-14.063622222222222,1,1.0,1318256.7385564074,3,2213463.8572808667,,,0.0,1039644.6216934302,0.0,2.2099829032090406e-05
All_region,1h,2019-07-04 04:00:00+00:00,2019-07-04 05:00:00+00:00,2019-07-04 04:30:00+00:00,-13.063622222222222,0,0.0,0.0,3,2213463.8572808667,,,-1.0,-1318256.7385564074,-0.22483025315886507,-2.8022314485736356e-05
All_region,1h,2019-07-04 05:00:00+00:00,2019-07-04 06:00:00+00:00,2019-07-04 05:30:00+00:00,-12.063622222222222,2,2.0,1950569.9569075955,5,4164033.814188462,,,2.0,1950569.9569075955,0.44966050631773014,4.146345940074632e-05
All_region,1h,2019-07-04 06:00:00+00:00,2019-07-04 07:00:00+00:00,2019-07-04 06:30:00+00:00,-11.063622222222222,1,1.0,149623.5656094433,6,4313657.379797906,,,-1.0,-1800946.3912981523,-0.22483025315886507,-3.828289639859815e-05
All_region,1h,2019-07-04 07:00:00+00:00,2019-07-04 08:00:00+00:00,2019-07-04 07:30:00+00:00,-10.063622222222222,0,0.0,0.0,6,4313657.379797906,,,-1.0,-149623.5656094433,-0.22483025315886507,-3.1805630021481735e-06
All_region,1h,2019-07-04 08:00:00+00:00,2019-07-04 09:00:00+00:00,2019-07-04 08:30:00+00:00,-9.063622222222222,0,0.0,0.0,6,4313657.379797906,,,0.0,0.0,0.0,0.0
All_region,1h,2019-07-04 09:00:00+00:00,2019-07-04 10:00:00+00:00,2019-07-04 09:30:00+00:00,-8.063622222222222,0,0.0,0.0,6,4313657.379797906,,,0.0,0.0,0.0,0.0
All_region,1h,2019-07-04 10:00:00+00:00,2019-07-04 11:00:00+00:00,2019-07-04 10:30:00+00:00,-7.0636222222222225,0,0.0,0.0,6,4313657.379797906,,,0.0,0.0,0.0,0.0
All_region,1h,2019-07-04 11:00:00+00:00,2019-07-04 12:00:00+00:00,2019-07-04 11:30:00+00:00,-6.0636222222222225,2,2.0,1071976.2515075407,8,5385633.631305447,,,2.0,1071976.2515075407,0.44966050631773014,2.2787105699820215e-05
All_region,1h,2019-07-04 12:00:00+00:00,2019-07-04 13:00:00+00:00,2019-07-04 12:30:00+00:00,-5.0636222222222225,0,0.0,0.0,8,5385633.631305447,,,-2.0,-1071976.2515075407,-0.44966050631773014,-2.2787105699820215e-05
All_region,1h,2019-07-04 13:00:00+00:00,2019-07-04 14:00:00+00:00,2019-07-04 13:30:00+00:00,-4.0636222222222225,0,0.0,0.0,8,5385633.631305447,,,0.0,0.0,0.0,0.0
All_region,1h,2019-07-04 14:00:00+00:00,2019-07-04 15:00:00+00:00,2019-07-04 14:30:00+00:00,-3.063622222222222,0,0.0,0.0,8,5385633.631305447,,,0.0,0.0,0.0,0.0
All_region,1h,2019-07-04 15:00:00+00:00,2019-07-04 16:00:00+00:00,2019-07-04 15:30:00+00:00,-2.063622222222222,2,2.0,1210433.5194041051,10,6596067.150709552,,,2.0,1210433.5194041051,0.44966050631773014,2.573030560189859e-05
All_region,1h,2019-07-04 16:00:00+00:00,2019-07-04 17:00:00+00:00,2019-07-04 16:30:00+00:00,-1.0636222222222222,4,4.0,24433616.01951705,14,31029683.1702266,,,2.0,23223182.500112943,0.44966050631773014,0.0004936574980761747
All_region,1h,2019-07-04 17:00:00+00:00,2019-07-04 18:00:00+00:00,2019-07-04 17:30:00+00:00,-0.06362222222222222,83,83.0,253944663082959.12,97,253944694112642.28,0.017506855093862055,0.08215463103244164,79.0,253944638649343.1,17.76158999955034,5398.12641806881
All_region,1h,2019-07-04 18:00:00+00:00,2019-07-04 19:00:00+00:00,2019-07-04 18:30:00+00:00,0.9363777777777778,135,135.0,5018780331023.824,232,258963474443666.1,0.04598186036701118,0.08377827628382241,52.0,-248925882751935.3,11.691173164260983,-5291.442225247378
All_region,1h,2019-07-04 19:00:00+00:00,2019-07-04 20:00:00+00:00,2019-07-04 19:30:00+00:00,1.9363777777777778,140,140.0,1172516342505.234,372,260135990786171.3,0.07551149546509175,0.08415760163104011,5.0,-3846263988518.5903,1.1241512657943253,-81.76041580448079
