region,along_bin_center_km,event_count,first_activation_hours,peak_rate_time_30m_hours,cumulative_energy
Region_B,0.25,2,15.369394444444444,15.25,1010072.7897755848
Region_B,1.25,1,13.653941666666668,13.75,1462177.1744567184
Region_B,1.75,1,5.8194,5.75,5248074.602497723
Region_B,3.25,3,7.235680555555556,7.25,2946936.5482862894
Region_B,3.75,1,3.842133333333333,3.75,1621810.09735893
Region_B,4.25,4,8.126222222222223,8.25,2655836.6238742727
Region_B,4.75,1,6.192783333333334,6.25,21627185.2372702
Region_B,8.75,1,24.856544444444445,24.75,1071519.3052376048
Region_B,9.75,4,27.80588333333333,28.75,137723317.31807512
Region_B,10.25,1,4.566944444444444,4.75,2290867.65276777
Region_B,10.75,1,28.95597777777778,28.75,211348.90398366432
Region_B,11.25,2,15.28582777777778,15.25,437843.8973204195
Region_B,11.75,4,10.177130555555555,10.25,4597336.3623366235
Region_B,12.25,1,23.261588888888888,23.25,683911.6472814293
Region_B,12.75,3,0.3662444444444444,0.25,155609412.9888517
Region_B,13.25,4,1.9599444444444445,1.75,6462542.282943297
Region_B,13.75,4,7.119308333333333,7.25,3372322.048098647
Region_B,14.25,9,16.038708333333332,16.25,44150168.5499443
Region_B,14.75,9,2.5856944444444445,2.75,15056889.767186379
Region_B,15.25,3,19.881611111111116,19.75,3838027.3702661656
Region_B,15.75,4,13.793338888888888,13.75,16029049.648527212
Region_B,16.25,11,5.786433333333333,20.25,22678930448.791534
Region_B,16.75,9,11.189347222222224,21.75,69413015.59790362
Region_B,17.25,14,12.500666666666667,12.75,377091474.61925167
Region_B,17.75,26,0.8444,9.75,76220910351.36597
Region_B,18.25,28,10.22176111111111,13.25,10740910699.025936
Region_B,18.75,24,5.249477777777778,31.75,2818386819600036.5
Region_B,19.25,10,6.285572222222223,30.75,7129412418.10354
Region_B,19.75,11,1.032238888888889,31.75,994153026.3189079
Region_B,20.25,17,7.616172222222223,18.75,62670824.30166345
Region_B,20.75,53,0.2630444444444444,18.25,274604449568.44968
Region_B,21.25,101,0.0528666666666666,18.25,67591722012.89518
Region_B,21.75,107,10.861308333333334,18.25,7213677780768.328
Region_B,22.25,81,5.654372222222222,17.75,95505812045.54468
Region_B,22.75,79,4.694722222222223,17.75,81116517093.5452
Region_B,23.25,87,1.6267999999999998,20.25,1106915948454.9756
Region_B,23.75,79,1.206388888888889,21.75,87867827424.55312
Region_B,24.25,65,0.0683888888888888,19.25,655710886887.8859
Region_B,24.75,136,0.1035888888888889,30.75,134847400315.07393
Region_B,25.25,148,0.1255444444444444,2.25,60388553224.77517
Region_B,25.75,124,0.4798111111111111,6.25,48898386208.96417
Region_B,26.25,86,0.5217666666666666,7.75,3128048251364.884
Region_B,26.75,74,0.1943666666666667,0.75,35757794670.689
Region_B,27.25,52,0.5351777777777778,15.75,5892158049.065372
Region_B,27.75,73,0.31455,6.75,17229997057.545506
Region_B,28.25,52,0.1929333333333333,5.25,6114601697.249705
Region_B,28.75,24,0.51075,2.25,1145960616.1026773
Region_B,29.25,30,1.1635333333333333,2.75,398578689.04367805
Region_B,29.75,43,0.0,5.75,251193885301474.66
Region_B,30.25,51,0.1080444444444444,13.25,632839645884.3843
Region_B,30.75,81,0.4692277777777778,7.25,24535203136.75086
Region_B,31.25,149,0.0341111111111111,9.75,926986961458.1923
Region_B,31.75,267,0.1787611111111111,4.25,330962878228.5132
Region_B,32.25,342,0.0571222222222222,14.75,460144222209.88586
Region_B,32.75,228,0.0960833333333333,26.25,334163166907.75964
Region_B,33.25,147,0.2735,8.25,27678566667.944675
Region_B,33.75,58,0.8188666666666666,9.75,58895615067.37834
Region_B,34.25,25,1.2214277777777778,13.25,1370873499779.1792
Region_B,34.75,19,1.7952,1.75,933723313240.2723
Region_B,35.25,37,1.2360444444444445,33.25,25304862105.440006
Region_B,35.75,10,0.0600888888888888,0.25,139886526608.2745
Region_B,36.25,12,1.9867277777777776,12.25,182940545.32045668
Region_B,36.75,6,2.445511111111111,2.25,34380382.305906884
Region_B,37.25,2,1.4867,1.25,96980219.75629593
Region_B,37.75,2,22.094294444444447,22.25,3457439.4894255972
Region_B,38.25,2,14.701066666666666,14.75,5372135.929686194
Region_B,38.75,2,3.688055555555556,3.75,14552611.70848342
Region_B,39.25,3,1.9675,1.75,11436149.298581129
Region_B,40.25,1,20.36378333333333,20.25,380189396.3205612
Region_B,41.75,1,29.976044444444444,29.75,1927524.913190937
Region_B,42.75,1,4.130077777777778,4.25,251188643.1509572
Region_B,43.75,1,28.630133333333333,28.75,2371373.7056616554
Region_B,44.25,1,24.12071111111111,24.25,901571.137605957
Region_B,47.25,1,15.467208333333332,15.25,1109174.8152624008
Region_B,48.75,1,26.773394444444445,26.75,1412537.5446227554
Region_B,49.25,1,15.030316666666666,15.25,2065380.155810527
