catalog_name,window,domain,radius_km,assignment_mode,mc_mode,total_events,mc_used,mc_auto_maxc,mc_conservative,n_ge_mc,b_value,a_value,magnitude_min_all,magnitude_max_all,magnitude_min_ge_mc,magnitude_max_ge_mc,magnitude_mean_ge_mc,reliability,estimable,delta_m,subset_id,bootstrap_replicates,bootstrap_seed,bootstrap_b_median,bootstrap_b_p16,bootstrap_b_p84,bootstrap_b_std
background,full,background_region,,none,auto_maxc,1536,0.81,0.81,0.81,855,0.7993924328635431,3.5794739853476427,-0.74,3.98,0.81,3.98,1.3482807017543863,robust,True,0.01,subset_0002,2000,20240721,0.7996248294901248,0.777775692065143,0.823247751393498,0.022768929265332916
background,full,background_region,,none,conservative_maxc,1536,0.81,0.81,0.81,855,0.7993924328635431,3.5794739853476427,-0.74,3.98,0.81,3.98,1.3482807017543863,robust,True,0.01,subset_0003,2000,20240722,0.7989882129153092,0.7778956159631208,0.8227581588576413,0.022941505390997624
background,full,background_region,,none,fixed_1p5,1536,1.5,0.81,0.81,265,1.0658767094638737,4.0220609381326184,-0.74,3.98,1.5,3.98,1.9024528301886792,robust,True,0.01,subset_0001,2000,20240720,1.0649890131343334,1.0041867700159866,1.130697427954627,0.06516329413397891
interevent,early,full_region,,none,auto_maxc,2460,1.3,1.3,1.3,1380,0.6199137196562725,3.945766921954391,0.23,4.89,1.3,4.89,1.9955724637681158,robust,True,0.01,subset_0008,2000,20240727,0.6200163300235144,0.6041813453078666,0.6355321441578454,0.01565682882845378
interevent,early,full_region,,none,conservative_maxc,2460,1.3,1.3,1.3,1380,0.6199137196562725,3.945766921954391,0.23,4.89,1.3,4.89,1.9955724637681158,robust,True,0.01,subset_0009,2000,20240728,0.6198496055296827,0.6048689242931289,0.636180040635221,0.016041315911699522
interevent,early,full_region,,none,fixed_1p5,2460,1.5,1.3,1.3,1067,0.6419286056322351,3.9910573278728223,0.23,4.89,1.5,4.89,2.1715463917525772,robust,True,0.01,subset_0007,2000,20240726,0.6422577975076674,0.6244493021543401,0.661462539819079,0.018772798758794312
interevent,full,full_region,,none,auto_maxc,4713,1.23,1.23,1.23,2363,0.6740323609883416,4.202523525648029,0.16,4.97,1.23,4.97,1.8693228946254756,robust,True,0.01,subset_0005,2000,20240724,0.6740589243925054,0.661632459000056,0.6869278104528881,0.012947834920761172
interevent,full,full_region,,none,conservative_maxc,4713,1.23,1.23,1.23,2363,0.6740323609883416,4.202523525648029,0.16,4.97,1.23,4.97,1.8693228946254756,robust,True,0.01,subset_0006,2000,20240725,0.6748789877434507,0.6618500788825292,0.6882090050000916,0.013290779930451206
interevent,full,full_region,,none,fixed_1p5,4713,1.5,1.23,1.23,1594,0.6974825738058512,4.24871217776887,0.16,4.97,1.5,4.97,2.117659974905897,robust,True,0.01,subset_0004,2000,20240723,0.6965772171983323,0.6806582752925034,0.7150736804538516,0.017430194757665933
interevent,late,full_region,,none,auto_maxc,2253,1.23,1.23,1.23,867,0.8278095564743038,3.956224851939604,0.16,4.97,1.23,4.97,1.7496309111880044,robust,True,0.01,subset_0011,2000,20240730,0.8274548208312388,0.7998845137625352,0.8580191970713507,0.02865240107650566
