contrast_name,window,radius_km,component_a_subset_id,component_b_subset_id,component_a_domain,component_b_domain,point_difference_b,bootstrap_median_difference_b,bootstrap_p16_difference_b,bootstrap_p84_difference_b,bootstrap_std_difference_b,direction_label,component_a_n_ge_mc,component_b_n_ge_mc,contrast_reliability,difference_bootstrap_status,mc_mode
mw71_minus_mw64,full,4.0,subset_0016,subset_0013,m71_core,m64_core,-0.05456809919087291,-0.055118758187082284,-0.10641363489873888,0.004392615195089685,0.055350527199628574,indistinguishable_within_interval,153,487,robust,ok,fixed_1p5
mw71_minus_full_region,full,4.0,subset_0016,subset_0004,m71_core,full_region,-0.07023892693562384,-0.07088984174691387,-0.11745493012986537,-0.0170257988237349,0.05004504126764822,lower_than_reference,153,1594,robust,ok,fixed_1p5
mw71_minus_mw64,early,4.0,subset_0025,subset_0019,m71_core,m64_core,-0.1433191152965524,-0.14365727019965643,-0.2163523281486375,-0.04916432532268836,0.09072290418051694,lower_than_reference,25,372,highly_unreliable,ok,fixed_1p5
mw71_minus_full_region,early,4.0,subset_0025,subset_0007,m71_core,full_region,-0.1670822444871971,-0.16881249565363213,-0.2370920753445177,-0.07748227707717013,0.0878604209474723,lower_than_reference,25,1067,highly_unreliable,ok,fixed_1p5
mw71_minus_mw64,late,4.0,subset_0028,subset_0022,m71_core,m64_core,-0.3530967289691086,-0.3618263319510944,-0.46429679021025716,-0.2466492709626687,0.11062213108506572,lower_than_reference,128,115,robust,ok,fixed_1p5
mw71_minus_full_region,late,4.0,subset_0028,subset_0010,m71_core,full_region,-0.1764673373620318,-0.17496844433974323,-0.2376192968282214,-0.10801085861614647,0.06489127080380845,lower_than_reference,128,527,robust,ok,fixed_1p5
late_minus_early,late_vs_early,4.0,subset_0022,subset_0019,m64_core,m64_core,0.4041222201887228,0.4066892686873035,0.3179112076732572,0.5123458266362219,0.09961031605766889,late_higher_than_early,115,372,robust,ok,fixed_1p5
late_minus_early,late_vs_early,4.0,subset_0028,subset_0025,m71_core,m71_core,0.19434460651616658,0.19033625704887125,0.09167642648372179,0.28017495529846764,0.10076714064595316,late_higher_than_early,128,25,highly_unreliable,ok,fixed_1p5
mw71_minus_mw64,full,5.0,subset_0034,subset_0031,m71_core,m64_core,-0.049825027678929046,-0.04661750246002738,-0.09333846922903824,0.0020680875636372993,0.04780030973579761,indistinguishable_within_interval,215,649,robust,ok,fixed_1p5
mw71_minus_full_region,full,5.0,subset_0034,subset_0004,m71_core,full_region,-0.07301634000415136,-0.07036449418586377,-0.11232890937577432,-0.022451448743588544,0.04499904796539731,lower_than_reference,215,1594,robust,ok,fixed_1p5
mw71_minus_mw64,early,5.0,subset_0043,subset_0037,m71_core,m64_core,-0.11747009838745781,-0.11645189557079169,-0.17809090607673395,-0.03632832697334712,0.07338627458639513,lower_than_reference,49,498,exploratory,ok,fixed_1p5
mw71_minus_full_region,early,5.0,subset_0043,subset_0007,m71_core,full_region,-0.14068188290795425,-0.13740980460993674,-0.2003788146946367,-0.06445744560249371,0.07163184195252217,lower_than_reference,49,1067,exploratory,ok,fixed_1p5
mw71_minus_mw64,late,5.0,subset_0046,subset_0040,m71_core,m64_core,-0.2847943944376581,-0.28263429869799955,-0.37210857373270234,-0.18905236067528944,0.09297865262960985,lower_than_reference,166,151,robust,ok,fixed_1p5
mw71_minus_full_region,late,5.0,subset_0046,subset_0010,m71_core,full_region,-0.17233352687866,-0.1704020504227185,-0.2307420750836071,-0.1029021072735801,0.06336446939996926,lower_than_reference,166,527,robust,ok,fixed_1p5
late_minus_early,late_vs_early,5.0,subset_0040,subset_0037,m64_core,m64_core,0.3394023514704958,0.34188850661498565,0.2628901295244463,0.42264593584356874,0.08234397415197925,late_higher_than_early,151,498,robust,ok,fixed_1p5
late_minus_early,late_vs_early,5.0,subset_0046,subset_0043,m71_core,m71_core,0.17207805542029553,0.1712281870801186,0.08619314353595144,0.2516691453513286,0.08450367747658238,late_higher_than_early,166,49,exploratory,ok,fixed_1p5
mw71_minus_mw64,full,6.0,subset_0052,subset_0049,m71_core,m64_core,-0.03760005405643163,-0.03709605661081572,-0.0827523728462827,0.010282658043698763,0.045765201119106494,indistinguishable_within_interval,259,852,robust,ok,fixed_1p5
mw71_minus_full_region,full,6.0,subset_0052,subset_0004,m71_core,full_region,-0.06326154359558245,-0.06185109842828962,-0.10357201764975682,-0.018067138680410225,0.04293099771497416,lower_than_reference,259,1594,robust,ok,fixed_1p5
mw71_minus_mw64,early,6.0,subset_0061,subset_0055,m71_core,m64_core,-0.0848948099791047,-0.08281188724002797,-0.144625109130178,-0.014786906595963227,0.06683940191348456,lower_than_reference,70,643,usable_moderately_uncertain,ok,fixed_1p5
mw71_minus_full_region,early,6.0,subset_0061,subset_0007,m71_core,full_region,-0.11459792509055922,-0.11244149771092371,-0.1753981462464817,-0.04476209686420405,0.06590867781269588,lower_than_reference,70,1067,usable_moderately_uncertain,ok,fixed_1p5
mw71_minus_mw64,late,6.0,subset_0064,subset_0058,m71_core,m64_core,-0.27333212298433385,-0.27193793225559826,-0.3608480578361443,-0.19357440419397567,0.08422490753105484,lower_than_reference,189,209,robust,ok,fixed_1p5
mw71_minus_full_region,late,6.0,subset_0064,subset_0010,m71_core,full_region,-0.15995881812031154,-0.15945220351974054,-0.21851287665257524,-0.09939928282764494,0.059994093416921426,lower_than_reference,189,527,robust,ok,fixed_1p5
late_minus_early,late_vs_early,6.0,subset_0058,subset_0055,m64_core,m64_core,0.3468061193664781,0.345639301610904,0.276495187048155,0.4297000874598463,0.07487583938933556,late_higher_than_early,209,643,robust,ok,fixed_1p5
late_minus_early,late_vs_early,6.0,subset_0064,subset_0061,m71_core,m71_core,0.15836880636124895,0.15711090701236516,0.08006055370252481,0.23239613465702216,0.07927785322996712,late_higher_than_early,189,70,usable_moderately_uncertain,ok,fixed_1p5
mw71_minus_mw64,full,7.0,subset_0070,subset_0067,m71_core,m64_core,-0.049210049496295816,-0.046909939615157714,-0.08995671258027864,-0.0047141059501382325,0.04259786721840968,lower_than_reference,268,901,robust,ok,fixed_1p5
mw71_minus_full_region,full,7.0,subset_0070,subset_0004,m71_core,full_region,-0.07310125762071329,-0.07157577652880825,-0.10857928411585568,-0.030034157100686406,0.04047208447811796,lower_than_reference,268,1594,robust,ok,fixed_1p5
mw71_minus_mw64,early,7.0,subset_0079,subset_0073,m71_core,m64_core,-0.09682263201300989,-0.09550402906631356,-0.15070410031709724,-0.03078823372758928,0.061612632169038214,lower_than_reference,76,685,usable_moderately_uncertain,ok,fixed_1p5
mw71_minus_full_region,early,7.0,subset_0079,subset_0007,m71_core,full_region,-0.12418145857894691,-0.1214046429840932,-0.17824867043837408,-0.06080091030549357,0.06082041034543981,lower_than_reference,76,1067,usable_moderately_uncertain,ok,fixed_1p5
mw71_minus_mw64,late,7.0,subset_0082,subset_0076,m71_core,m64_core,-0.2887843356759675,-0.2934956620860464,-0.3770692985335208,-0.20981285675631442,0.08620957335483652,lower_than_reference,192,216,robust,ok,fixed_1p5
mw71_minus_full_region,late,7.0,subset_0082,subset_0010,m71_core,full_region,-0.16585608322783196,-0.16596532706113487,-0.22456682821640167,-0.10170126672159281,0.06143132762228533,lower_than_reference,192,527,robust,ok,fixed_1p5
late_minus_early,late_vs_early,7.0,subset_0076,subset_0073,m64_core,m64_core,0.35401677840507384,0.3533672368546231,0.28485437295633514,0.4309284223590853,0.07484812967732149,late_higher_than_early,216,685,robust,ok,fixed_1p5
late_minus_early,late_vs_early,7.0,subset_0082,subset_0079,m71_core,m71_core,0.16205507474211622,0.15885340202542425,0.08528516012327589,0.23299613707285016,0.07475075537999648,late_higher_than_early,192,76,usable_moderately_uncertain,ok,fixed_1p5
