core_label,radius_km,window_label,mc_mode,bootstrap_samples,max_workers,n_windows
mw64,4,primary_N100_step20,fixed,1000,64,61
mw64,4,primary_N100_step20,dynamic,1000,64,61
mw64,4,exploratory_N50_step10,fixed,1000,64,127
mw64,4,exploratory_N50_step10,dynamic,1000,64,127
mw71,4,primary_N100_step20,fixed,1000,64,21
mw71,4,primary_N100_step20,dynamic,1000,64,21
mw71,4,exploratory_N50_step10,fixed,1000,64,46
mw71,4,exploratory_N50_step10,dynamic,1000,64,46
mw64,5,primary_N100_step20,fixed,1000,64,83
mw64,5,primary_N100_step20,dynamic,1000,64,83
mw64,5,exploratory_N50_step10,fixed,1000,64,170
mw64,5,exploratory_N50_step10,dynamic,1000,64,170
mw71,5,primary_N100_step20,fixed,1000,64,31
mw71,5,primary_N100_step20,dynamic,1000,64,31
mw71,5,exploratory_N50_step10,fixed,1000,64,66
mw71,5,exploratory_N50_step10,dynamic,1000,64,66
mw64,6,primary_N100_step20,fixed,1000,64,109
mw64,6,primary_N100_step20,dynamic,1000,64,109
mw64,6,exploratory_N50_step10,fixed,1000,64,223
mw64,6,exploratory_N50_step10,dynamic,1000,64,223
mw71,6,primary_N100_step20,fixed,1000,64,38
mw71,6,primary_N100_step20,dynamic,1000,64,38
mw71,6,exploratory_N50_step10,fixed,1000,64,81
mw71,6,exploratory_N50_step10,dynamic,1000,64,81
mw64,7,primary_N100_step20,fixed,1000,64,116
mw64,7,primary_N100_step20,dynamic,1000,64,116
mw64,7,exploratory_N50_step10,fixed,1000,64,236
mw64,7,exploratory_N50_step10,dynamic,1000,64,236
mw71,7,primary_N100_step20,fixed,1000,64,40
mw71,7,primary_N100_step20,dynamic,1000,64,40
mw71,7,exploratory_N50_step10,fixed,1000,64,84
mw71,7,exploratory_N50_step10,dynamic,1000,64,84
