series_label,window_label,radius_km,mc_mode,exploratory,matched_center_time,hours_since_mw64,time_mismatch_hours,delta_b,delta_b_ci_low,delta_b_ci_high,delta_b_ci_width,joint_reliability_label,mw71_b,mw64_b,mw71_n_ge_mc,mw64_n_ge_mc,mw71_center_time,mw64_center_time
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 02:11:59.960000+00:00,8.636366666666666,0.052344444444445415,-0.3836332493645869,-0.9856363019794088,-0.06982958224415026,0.9158067197352585,usable_but_moderately_uncertain,0.47845327681518685,0.8620865261797738,70,66,2019-07-05 02:11:59.960000+00:00,2019-07-05 02:15:08.400000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 04:11:33.170000+00:00,10.628924999999999,0.10046111111110889,-0.09909495650522604,-0.9962958350000722,0.21912955422092018,1.2154253892209925,usable_but_moderately_uncertain,0.5536897076788131,0.6527846641840391,64,65,2019-07-05 04:11:33.170000+00:00,2019-07-05 04:05:31.510000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 08:28:32.230000+00:00,14.911997222222222,0.049069444444445054,-0.3258408356496493,-0.7077932904290236,0.41913951671831107,1.1269328071473348,usable_but_moderately_uncertain,0.4512021198891162,0.7770429555387655,69,51,2019-07-05 08:28:32.230000+00:00,2019-07-05 08:25:35.580000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 11:08:39.870000+00:00,17.580786111111113,0.07311111111111401,-0.3548249336823874,-0.7850646239494086,0.32229907940092084,1.1073637033503294,exploratory,0.48441757184758355,0.8392425055299709,78,36,2019-07-05 11:08:39.870000+00:00,2019-07-05 11:04:16.670000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 11:44:25.770000+00:00,18.176869444444446,0.03594166666666254,0.16136964402406084,-0.5188299590061349,0.766801158670734,1.2856311176768689,highly_unreliable,0.7936566730621494,0.6322870290380885,72,16,2019-07-05 11:44:25.770000+00:00,2019-07-05 11:46:35.160000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 12:13:37.790000+00:00,18.663541666666667,0.0803611111111131,-0.0573446901311353,-0.744230936113303,0.6960339066618721,1.4402648427751752,exploratory,0.8082180975708426,0.8655627877019779,55,34,2019-07-05 12:13:37.790000+00:00,2019-07-05 12:18:27.090000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 12:53:40.550000+00:00,19.330975,0.04028333333333123,-0.14174716332497217,-0.7939987709002125,0.6264904369576136,1.4204892078578262,exploratory,0.7800110566353733,0.9217582199603455,39,34,2019-07-05 12:53:40.550000+00:00,2019-07-05 12:51:15.530000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 13:34:37.830000+00:00,20.013552777777775,0.02466111111111502,-0.1870710693024582,-0.8898109733038785,0.46019198468632905,1.3500029579902075,usable_but_moderately_uncertain,0.7555664996119068,0.942637568914365,52,54,2019-07-05 13:34:37.830000+00:00,2019-07-05 13:36:06.610000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 14:00:24.720000+00:00,20.443244444444442,0.05818055555555901,-0.1004868652222225,-0.7634957179677251,0.5095228413400671,1.273018559307792,usable_but_moderately_uncertain,0.8079393532487879,0.9084262184710103,51,55,2019-07-05 14:00:24.720000+00:00,2019-07-05 14:03:54.170000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 16:08:35.330000+00:00,22.579524999999997,0.01883055555555302,0.039650108440368204,-0.5623120631467375,0.5800320086772298,1.1423440718239672,exploratory,0.8974321672548131,0.8577820588144449,57,38,2019-07-05 16:08:35.330000+00:00,2019-07-05 16:07:27.540000+00:00
5km_dynamic,primary_N100_step20,5,dynamic,False,2019-07-05 16:44:31.810000+00:00,23.178547222222225,0.06086666666666929,-0.16338300958451135,-0.7237030260962576,0.4711100999837622,1.1948131260800197,exploratory,0.84005420264314,1.0034372122276514,60,46,2019-07-05 16:44:31.810000+00:00,2019-07-05 16:40:52.690000+00:00
