core_label,radius_km,window_label,window_n,window_step,exploratory,mc_mode,delta_m,fixed_mc,bootstrap_samples,window_index,start_idx,end_idx_exclusive,start_time,end_time,center_time,median_time,hours_since_mw64,event_count,magnitude_min,magnitude_max,seed,b_value,mc,n_ge_mc,status,bootstrap_valid_count,bootstrap_mean,bootstrap_median,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_width,bootstrap_mc_median,bootstrap_n_ge_mc_median,reliability_label
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,0,0,50,2019-07-04 17:35:51.840000+00:00,2019-07-04 18:17:15.040000+00:00,2019-07-04 18:00:12.420000+00:00,2019-07-04 18:00:12.420000+00:00,0.4398277777777778,50,1.8,4.68,20750706,0.3241502448659458,1.5,50,ok,1000,0.3250542424519439,0.32313726598952497,0.023808946335837036,0.28106044042800005,0.37363396942742283,0.09257352899942278,1.5,50.0,usable_but_moderately_uncertain
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,1,10,60,2019-07-04 17:50:46.620000+00:00,2019-07-04 18:23:34.620000+00:00,2019-07-04 18:06:15.960000+00:00,2019-07-04 18:06:15.960000+00:00,0.5408111111111111,50,1.8,4.04,20750723,0.417915543864588,1.5,50,ok,1000,0.42061821291937657,0.4192064227019615,0.028666994334726553,0.3659935191800966,0.47967892186486055,0.11368540268476396,1.5,50.0,usable_but_moderately_uncertain
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,2,20,70,2019-07-04 17:57:31.260000+00:00,2019-07-04 18:31:34.440000+00:00,2019-07-04 18:14:34.560000+00:00,2019-07-04 18:14:34.560000+00:00,0.6793111111111111,50,1.58,4.04,20750740,0.4468089635771403,1.5,50,ok,1000,0.4508735410390346,0.4484236912387549,0.03569172173971273,0.3843305081501759,0.5232590008093864,0.13892849265921048,1.5,50.0,usable_but_moderately_uncertain
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,3,30,80,2019-07-04 18:03:40.060000+00:00,2019-07-04 18:41:43.960000+00:00,2019-07-04 18:21:50.320000+00:00,2019-07-04 18:21:50.320000+00:00,0.8003555555555556,50,1.58,4.04,20750757,0.4657857624405739,1.5,50,ok,1000,0.4696069997037348,0.4676415238217065,0.036692898814953356,0.40153066592309516,0.544994297324118,0.1434636314010228,1.5,50.0,usable_but_moderately_uncertain
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,4,40,90,2019-07-04 18:09:21.200000+00:00,2019-07-04 18:49:19.760000+00:00,2019-07-04 18:29:32.400000+00:00,2019-07-04 18:29:32.400000+00:00,0.9287111111111112,50,1.58,4.89,20750774,0.4950971104980946,1.5,50,ok,1000,0.50076172152503,0.4978212256183185,0.04732685619594002,0.4126268081584315,0.5961174669096195,0.18349065875118803,1.5,50.0,usable_but_moderately_uncertain
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,5,50,100,2019-07-04 18:17:55.680000+00:00,2019-07-04 18:59:54.400000+00:00,2019-07-04 18:38:19.800000+00:00,2019-07-04 18:38:19.800000+00:00,1.0752111111111111,50,1.58,4.89,20750791,0.4551440545490882,1.5,50,ok,1000,0.459062914169144,0.4565795849085225,0.04027030582459163,0.38783130121008125,0.5423362113268873,0.154504910116806,1.5,50.0,usable_but_moderately_uncertain
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,6,60,110,2019-07-04 18:25:05.460000+00:00,2019-07-04 19:07:36.760000+00:00,2019-07-04 18:47:06.180000+00:00,2019-07-04 18:47:06.180000+00:00,1.2214277777777778,50,1.55,4.89,20750808,0.44819229757847373,1.5,50,ok,1000,0.45305499982220887,0.45117224862614846,0.042618667371704784,0.3735295883215533,0.5413930723521151,0.16786348403056178,1.5,50.0,usable_but_moderately_uncertain
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,7,70,120,2019-07-04 18:32:42.960000+00:00,2019-07-04 19:17:51.180000+00:00,2019-07-04 18:57:15.960000+00:00,2019-07-04 18:57:15.960000+00:00,1.3908111111111112,50,1.11,4.89,20750825,0.44420023148959986,1.5,48,ok,1000,0.4440797360225274,0.44269170315427214,0.04181136871576352,0.3666848631569447,0.5331949279545878,0.16651006479764308,1.5,48.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,8,80,130,2019-07-04 18:42:02.420000+00:00,2019-07-04 19:30:29.040000+00:00,2019-07-04 19:03:57.960000+00:00,2019-07-04 19:03:57.960000+00:00,1.5024777777777778,50,1.11,4.89,20750842,0.4121775467790636,1.5,45,ok,1000,0.41411995419317643,0.4115329933363054,0.04305876540478827,0.33862539604094316,0.5020140516715849,0.1633886556306417,1.5,45.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,fixed,0.01,1.5,1000,9,90,140,2019-07-04 18:50:15.620000+00:00,2019-07-04 19:38:22.560000+00:00,2019-07-04 19:14:00.400000+00:00,2019-07-04 19:14:00.400000+00:00,1.669822222222222,50,1.11,4.78,20750859,0.4677481087583761,1.5,43,ok,1000,0.475543541671473,0.471052567721808,0.05293633338419706,0.38546500695870417,0.5859961679563324,0.2005311609976282,1.5,43.0,exploratory
