window_name,radius_km,batch_idx,batch_size,cumulative_done
full_interevent,4.0,4,196,196
full_interevent,4.0,2,196,392
full_interevent,4.0,1,196,588
full_interevent,4.0,0,196,784
full_interevent,4.0,3,196,980
full_interevent,4.0,17,196,1176
full_interevent,4.0,16,196,1372
full_interevent,4.0,15,196,1568
full_interevent,4.0,14,196,1764
full_interevent,4.0,18,196,1960
full_interevent,4.0,19,196,2156
full_interevent,4.0,13,196,2352
full_interevent,4.0,5,196,2548
full_interevent,4.0,7,196,2744
full_interevent,4.0,6,196,2940
full_interevent,4.0,12,196,3136
full_interevent,4.0,8,196,3332
full_interevent,4.0,10,196,3528
full_interevent,4.0,9,196,3724
full_interevent,4.0,11,196,3920
full_interevent,5.0,0,196,196
full_interevent,5.0,1,196,392
full_interevent,5.0,3,196,588
full_interevent,5.0,2,196,784
full_interevent,5.0,16,196,980
full_interevent,5.0,17,196,1176
full_interevent,5.0,14,196,1372
full_interevent,5.0,18,196,1568
full_interevent,5.0,15,196,1764
full_interevent,5.0,19,196,1960
full_interevent,5.0,4,196,2156
full_interevent,5.0,5,196,2352
full_interevent,5.0,13,196,2548
full_interevent,5.0,6,196,2744
full_interevent,5.0,7,196,2940
full_interevent,5.0,12,196,3136
full_interevent,5.0,8,196,3332
full_interevent,5.0,10,196,3528
full_interevent,5.0,11,196,3724
full_interevent,5.0,9,196,3920
full_interevent,6.0,0,196,196
full_interevent,6.0,1,196,392
full_interevent,6.0,2,196,588
full_interevent,6.0,3,196,784
full_interevent,6.0,17,196,980
full_interevent,6.0,19,196,1176
full_interevent,6.0,18,196,1372
full_interevent,6.0,16,196,1568
full_interevent,6.0,15,196,1764
full_interevent,6.0,14,196,1960
full_interevent,6.0,4,196,2156
full_interevent,6.0,5,196,2352
full_interevent,6.0,13,196,2548
full_interevent,6.0,6,196,2744
full_interevent,6.0,7,196,2940
full_interevent,6.0,12,196,3136
full_interevent,6.0,10,196,3332
full_interevent,6.0,8,196,3528
full_interevent,6.0,9,196,3724
full_interevent,6.0,11,196,3920
full_interevent,7.0,2,196,196
full_interevent,7.0,0,196,392
full_interevent,7.0,3,196,588
full_interevent,7.0,1,196,784
full_interevent,7.0,19,196,980
full_interevent,7.0,18,196,1176
full_interevent,7.0,17,196,1372
full_interevent,7.0,16,196,1568
full_interevent,7.0,15,196,1764
full_interevent,7.0,14,196,1960
full_interevent,7.0,4,196,2156
full_interevent,7.0,5,196,2352
full_interevent,7.0,13,196,2548
full_interevent,7.0,6,196,2744
full_interevent,7.0,7,196,2940
full_interevent,7.0,12,196,3136
full_interevent,7.0,10,196,3332
full_interevent,7.0,8,196,3528
full_interevent,7.0,11,196,3724
full_interevent,7.0,9,196,3920
pre_separator,4.0,3,196,196
pre_separator,4.0,0,196,392
pre_separator,4.0,1,196,588
pre_separator,4.0,4,196,784
pre_separator,4.0,2,196,980
pre_separator,4.0,13,196,1176
pre_separator,4.0,14,196,1372
pre_separator,4.0,17,196,1568
pre_separator,4.0,16,196,1764
pre_separator,4.0,18,196,1960
pre_separator,4.0,15,196,2156
pre_separator,4.0,19,196,2352
pre_separator,4.0,5,196,2548
pre_separator,4.0,12,196,2744
pre_separator,4.0,7,196,2940
pre_separator,4.0,6,196,3136
pre_separator,4.0,8,196,3332
pre_separator,4.0,10,196,3528
pre_separator,4.0,11,196,3724
pre_separator,4.0,9,196,3920
pre_separator,5.0,3,196,196
pre_separator,5.0,0,196,392
pre_separator,5.0,1,196,588
pre_separator,5.0,2,196,784
pre_separator,5.0,17,196,980
pre_separator,5.0,16,196,1176
pre_separator,5.0,14,196,1372
pre_separator,5.0,18,196,1568
pre_separator,5.0,15,196,1764
pre_separator,5.0,19,196,1960
pre_separator,5.0,4,196,2156
pre_separator,5.0,13,196,2352
pre_separator,5.0,5,196,2548
pre_separator,5.0,12,196,2744
pre_separator,5.0,6,196,2940
pre_separator,5.0,7,196,3136
pre_separator,5.0,8,196,3332
pre_separator,5.0,10,196,3528
pre_separator,5.0,11,196,3724
pre_separator,5.0,9,196,3920
pre_separator,6.0,3,196,196
pre_separator,6.0,2,196,392
pre_separator,6.0,0,196,588
pre_separator,6.0,1,196,784
pre_separator,6.0,14,196,980
pre_separator,6.0,19,196,1176
pre_separator,6.0,18,196,1372
pre_separator,6.0,15,196,1568
pre_separator,6.0,17,196,1764
pre_separator,6.0,16,196,1960
pre_separator,6.0,4,196,2156
pre_separator,6.0,13,196,2352
pre_separator,6.0,5,196,2548
pre_separator,6.0,12,196,2744
pre_separator,6.0,6,196,2940
pre_separator,6.0,7,196,3136
pre_separator,6.0,10,196,3332
pre_separator,6.0,8,196,3528
pre_separator,6.0,11,196,3724
pre_separator,6.0,9,196,3920
pre_separator,7.0,0,196,196
pre_separator,7.0,3,196,392
pre_separator,7.0,2,196,588
pre_separator,7.0,1,196,784
pre_separator,7.0,19,196,980
pre_separator,7.0,18,196,1176
pre_separator,7.0,17,196,1372
pre_separator,7.0,14,196,1568
pre_separator,7.0,16,196,1764
pre_separator,7.0,15,196,1960
pre_separator,7.0,4,196,2156
pre_separator,7.0,13,196,2352
pre_separator,7.0,5,196,2548
pre_separator,7.0,12,196,2744
pre_separator,7.0,6,196,2940
pre_separator,7.0,7,196,3136
pre_separator,7.0,10,196,3332
pre_separator,7.0,8,196,3528
pre_separator,7.0,11,196,3724
pre_separator,7.0,9,196,3920
post_separator,4.0,4,196,196
post_separator,4.0,3,196,392
post_separator,4.0,1,196,588
post_separator,4.0,2,196,784
post_separator,4.0,0,196,980
post_separator,4.0,15,196,1176
post_separator,4.0,16,196,1372
post_separator,4.0,17,196,1568
post_separator,4.0,14,196,1764
post_separator,4.0,18,196,1960
post_separator,4.0,19,196,2156
post_separator,4.0,13,196,2352
post_separator,4.0,5,196,2548
post_separator,4.0,7,196,2744
post_separator,4.0,6,196,2940
post_separator,4.0,12,196,3136
post_separator,4.0,8,196,3332
post_separator,4.0,10,196,3528
post_separator,4.0,9,196,3724
post_separator,4.0,11,196,3920
post_separator,5.0,2,196,196
post_separator,5.0,3,196,392
post_separator,5.0,0,196,588
post_separator,5.0,1,196,784
post_separator,5.0,15,196,980
post_separator,5.0,16,196,1176
post_separator,5.0,14,196,1372
post_separator,5.0,17,196,1568
post_separator,5.0,19,196,1764
post_separator,5.0,18,196,1960
post_separator,5.0,4,196,2156
post_separator,5.0,5,196,2352
post_separator,5.0,13,196,2548
post_separator,5.0,6,196,2744
post_separator,5.0,7,196,2940
post_separator,5.0,12,196,3136
post_separator,5.0,8,196,3332
post_separator,5.0,10,196,3528
post_separator,5.0,9,196,3724
post_separator,5.0,11,196,3920
post_separator,6.0,1,196,196
post_separator,6.0,3,196,392
post_separator,6.0,2,196,588
post_separator,6.0,0,196,784
post_separator,6.0,15,196,980
post_separator,6.0,16,196,1176
post_separator,6.0,17,196,1372
post_separator,6.0,18,196,1568
post_separator,6.0,19,196,1764
post_separator,6.0,14,196,1960
post_separator,6.0,4,196,2156
post_separator,6.0,5,196,2352
post_separator,6.0,13,196,2548
post_separator,6.0,6,196,2744
post_separator,6.0,7,196,2940
post_separator,6.0,12,196,3136
post_separator,6.0,8,196,3332
post_separator,6.0,10,196,3528
post_separator,6.0,9,196,3724
post_separator,6.0,11,196,3920
post_separator,7.0,2,196,196
post_separator,7.0,3,196,392
post_separator,7.0,1,196,588
post_separator,7.0,0,196,784
post_separator,7.0,16,196,980
post_separator,7.0,15,196,1176
post_separator,7.0,17,196,1372
post_separator,7.0,19,196,1568
post_separator,7.0,18,196,1764
post_separator,7.0,14,196,1960
post_separator,7.0,4,196,2156
post_separator,7.0,5,196,2352
post_separator,7.0,13,196,2548
post_separator,7.0,6,196,2744
post_separator,7.0,7,196,2940
post_separator,7.0,12,196,3136
post_separator,7.0,8,196,3332
post_separator,7.0,10,196,3528
post_separator,7.0,9,196,3724
post_separator,7.0,11,196,3920
