time,latitude,longitude,depth_km,magnitude
2019-01-04 07:13:44.847000+00:00,35.46101,-118.46871,3.168,1.25
2019-01-04 18:39:53.314000+00:00,36.46344,-117.96927,3.683,0.96
2019-01-05 07:55:57.805000+00:00,36.06686,-117.99501,6.619,1.85
2019-01-05 12:25:14.512000+00:00,36.03472,-117.77643,2.801,-0.09
2019-01-05 16:20:25.508000+00:00,36.03852,-117.80894,1.841,0.16
2019-01-05 22:28:16.411000+00:00,36.00729,-117.80833,1.872,1.1
2019-01-06 03:41:32.314000+00:00,35.74605,-117.64965,9.619,0.92
2019-01-06 20:11:33.004000+00:00,36.11469,-117.6467,3.758,1.6
2019-01-06 23:17:14.569000+00:00,35.30512,-117.18638,1.559,2.36
2019-01-07 02:33:43.831000+00:00,35.48962,-118.28206,4.917,1.21
2019-01-07 12:17:29.340000+00:00,35.76359,-118.48543,5.479,2.08
2019-01-07 19:30:06.888000+00:00,35.48962,-118.28206,4.88,1.35
2019-01-08 02:33:39.784000+00:00,36.02299,-117.77291,2.3,0.23
2019-01-08 15:50:13.668000+00:00,36.01629,-117.40075,4.582,0.5
2019-01-08 16:17:16.143000+00:00,35.99416,-117.69531,3.939,1.03
2019-01-08 19:48:30.290000+00:00,35.92433,-117.62167,2.93,-0.71
2019-01-09 00:02:30.112000+00:00,35.82034,-118.45433,8.722,1.89
2019-01-09 08:24:22.051000+00:00,36.09375,-117.87867,6.396,0.75
2019-01-09 10:18:54.111000+00:00,36.12246,-117.64214,3.226,0.68
2019-01-09 17:53:43.858000+00:00,35.3988,-117.81906,8.697,2.11
2019-01-10 18:38:04.167000+00:00,36.09344,-117.87942,6.012,0.5
2019-01-11 02:39:44.714000+00:00,36.00729,-117.91307,2.973,0.31
2019-01-12 20:54:42.875000+00:00,36.0036,-117.90807,8.134,1.29
2019-01-13 01:58:56.763000+00:00,36.09325,-117.87958,6.012,0.73
2019-01-14 06:12:24.789000+00:00,36.11296,-117.86314,0.313,0.99
2019-01-14 07:37:35.811000+00:00,35.90632,-117.66845,2.689,0.53
2019-01-14 12:22:37.079000+00:00,36.00624,-117.80617,1.882,1.33
2019-01-16 00:27:05.474000+00:00,35.94784,-117.67848,2.911,0.61
2019-01-16 07:08:23.412000+00:00,36.05916,-117.65524,2.824,0.91
2019-01-17 00:08:12.973000+00:00,35.8421,-117.5748,8.997,1.23
2019-01-17 01:21:25.503000+00:00,36.0159,-117.80977,1.89,0.32
2019-01-18 03:57:20.391000+00:00,36.00538,-117.78828,1.683,0.39
2019-01-18 16:45:47.139000+00:00,36.05897,-117.65501,2.762,0.58
2019-01-18 17:47:13.892000+00:00,36.01866,-117.80853,1.986,0.33
2019-01-18 18:02:26.110000+00:00,36.01889,-117.80876,1.91,0.6
2019-01-18 18:41:17.329000+00:00,36.10859,-117.58557,2.209,1.15
2019-01-19 03:55:50.593000+00:00,36.09839,-117.61638,7.38,0.7
2019-01-19 04:04:12.022000+00:00,36.05892,-117.59445,2.427,1.42
2019-01-19 04:49:34.131000+00:00,36.03264,-117.81964,2.081,0.78
2019-01-19 12:43:28.172000+00:00,35.95631,-117.97637,4.186,0.1
2019-01-20 17:04:13.301000+00:00,35.52714,-118.40548,3.614,0.92
2019-01-20 17:04:35.464000+00:00,35.52704,-118.40548,3.625,0.75
2019-01-20 18:25:27.007000+00:00,35.98354,-117.90184,3.795,0.99
2019-01-20 18:45:49.788000+00:00,36.06592,-117.99493,6.561,0.59
2019-01-21 05:16:58.153000+00:00,36.03696,-117.80526,1.875,0.61
2019-01-21 08:43:12.061000+00:00,36.00584,-117.80136,2.065,0.54
2019-01-21 14:24:38.804000+00:00,36.08381,-117.62613,4.078,1.9
2019-01-21 19:28:10.484000+00:00,35.87549,-118.07363,9.938,1.26
2019-01-21 19:54:53.409000+00:00,35.88508,-118.35342,3.814,1.6
2019-01-22 04:36:00.734000+00:00,36.08567,-117.6145,3.987,1.91
2019-01-22 19:24:18.969000+00:00,35.56798,-118.337,7.487,1.43
2019-01-22 20:58:56.065000+00:00,36.03756,-117.77515,2.227,0.53
2019-01-23 02:56:51.650000+00:00,35.85591,-117.76792,7.963,0.77
2019-01-23 04:16:38.366000+00:00,36.03777,-117.77509,2.204,0.85
2019-01-23 07:00:30.498000+00:00,35.5829,-118.3578,7.495,1.22
2019-01-23 12:31:19.564000+00:00,36.02726,-117.79339,1.948,0.22
