domain_label,domain_flag_column,split_latitude_deg,period_days,event_count,success_flag,failure_reason,p_fit,c_fit,k_fit,log_likelihood,t_min_used_days,t_max_used_days,sum_log_t,low_count_open_circle
Entire area,in_entire_corridor,,0.3,70,True,,0.8262732213471345,0.0017212726426608465,27.35182881769538,345.6574529343508,0.0014212962962962,0.3,-222.73820645741588,False
Entire area,in_entire_corridor,,0.5,81,True,,0.8418641392193955,0.0019492571965117444,26.12737434544332,378.6319086746838,0.0014212962962962,0.5,-232.02109315441186,False
Entire area,in_entire_corridor,,0.68,89,True,,0.8285364712323507,0.001719962580259772,27.049562574923474,401.03184373961386,0.0014212962962962,0.68,-237.21241770483854,False
Entire area,in_entire_corridor,,0.732,92,True,,0.804140126277654,0.001299856270104702,28.7574646982424,409.90120070050597,0.0014212962962962,0.732,-239.86197912183374,False
Entire area,in_entire_corridor,,0.85,105,True,,0.6936455319919865,9.999999999999997e-06,39.37438175022076,453.6853381193023,0.0014212962962962,0.85,-249.4187789275829,False
Entire area,in_entire_corridor,,1.0,107,True,,0.7322695412740456,0.0003038688804503024,35.02007868294346,455.15978325363676,0.0014212962962962,1.0,-248.10013885927668,False
Entire area,in_entire_corridor,,1.1,108,True,,0.7622202118964881,0.0007360079223979237,32.47455770700909,455.4133282431528,0.0014212962962962,1.1,-246.02336106460123,False
Entire area,in_entire_corridor,,1.22,109,True,,0.7950174038233468,0.0012922576790321179,30.029747049575192,455.3677567179841,0.0014212962962962,1.22,-243.427645468812,False
Entire area,in_entire_corridor,,1.404,115,True,,0.7763156641369061,0.0009609721296987734,31.36894382300939,470.1538308170418,0.0014212962962962,1.404,-243.30917037761202,False
Northern area,north_35p72,35.72,0.3,19,True,,0.9937289092068967,9.999999999999997e-06,3.959658888967378,75.98897171259603,0.0022027777777777,0.3,-69.27641060761226,True
Northern area,north_35p72,35.72,0.5,24,True,,0.8683195429756161,9.999999999999997e-06,6.786264362772232,86.21920015655408,0.0022027777777777,0.5,-74.00683968466707,False
Northern area,north_35p72,35.72,0.68,27,True,,0.8336091696854758,9.999999999999997e-06,7.796152043157787,91.50040213482501,0.0022027777777777,0.68,-75.63782496064685,False
Northern area,north_35p72,35.72,0.732,29,True,,0.7870314940621752,9.999999999999997e-06,9.305125961892815,95.71465615506146,0.0022027777777777,0.732,-76.27173654998377,False
Northern area,north_35p72,35.72,0.85,39,True,,0.5875791211323897,9.999999999999997e-06,18.816071385820056,121.92265645006933,0.0022027777777777,0.85,-79.08537168948665,False
Northern area,north_35p72,35.72,1.0,40,True,,0.6252409845420339,9.999999999999997e-06,16.677307254747724,122.0900154898984,0.0022027777777777,1.0,-79.21434899681782,False
Northern area,north_35p72,35.72,1.1,41,True,,0.6372048281379943,9.999999999999997e-06,16.05714062526741,123.2866062773088,0.0022027777777777,1.1,-79.19636578873042,False
Northern area,north_35p72,35.72,1.22,42,True,,0.6504379249453337,9.999999999999997e-06,15.389780302223205,124.20307292735066,0.0022027777777777,1.22,-79.0044933054893,False
Northern area,north_35p72,35.72,1.404,47,True,,0.608567133705574,9.999999999999997e-06,17.50963412835056,134.86792890791583,0.0022027777777777,1.404,-77.75414984965245,False
Southern area,south_35p72,35.72,0.3,51,True,,1.5230739884137205,0.042469288604180006,7.895571556865848,231.43432905569358,0.0014212962962962,0.3,-116.24709394870769,False
Southern area,south_35p72,35.72,0.5,57,True,,1.3662929916108952,0.032261370356599775,9.478522299463867,245.5943833429684,0.0014212962962962,0.5,-127.64448327511397,False
Southern area,south_35p72,35.72,0.68,62,True,,1.1541774331495034,0.019947673978426977,12.698726651824954,257.07754534739206,0.0014212962962962,0.68,-139.9303380667894,False
Southern area,south_35p72,35.72,0.732,63,True,,1.1507484115576763,0.019768357175394963,12.766501978385511,259.04805088604047,0.0014212962962962,0.732,-140.42869204606848,False
Southern area,south_35p72,35.72,0.85,66,True,,1.062201030346052,0.014946620881458341,14.535742107057237,265.6073946380924,0.0014212962962962,0.85,-145.8773728511153,False
Southern area,south_35p72,35.72,1.0,67,True,,1.1636424674343002,0.02070778913799352,12.616620556045557,266.10767995136086,0.0014212962962962,1.0,-140.30226386275905,False
Southern area,south_35p72,35.72,1.1,67,True,,1.2729563682547247,0.027721474026016393,11.035548785591695,265.02615920103483,0.0014212962962962,1.1,-134.45158442997518,False
Southern area,south_35p72,35.72,1.22,67,True,,1.3928953036898304,0.03627952286988039,9.709885447179818,264.04290216232596,0.0014212962962962,1.22,-128.32423313183253,False
Southern area,south_35p72,35.72,1.404,68,True,,1.414814845833784,0.03795555829765177,9.508348345266876,264.72916281819914,0.0014212962962962,1.404,-126.9293934156771,False
