domain_label,domain_flag_column,split_latitude_deg,period_days,event_count,success_flag,failure_reason,p_fit,c_fit,k_fit,log_likelihood,t_min_used_days,t_max_used_days,sum_log_t,low_count_open_circle,base_domain
Northern area @ 35.70,north_35p70,35.7,0.3,36,True,,0.8827715662520206,9.999999999999997e-06,11.105888423544934,159.50028039993438,0.0022027777777777,0.3,-123.28349500018527,False,Northern area
Northern area @ 35.70,north_35p70,35.7,0.5,42,True,,0.8606066900695313,9.999999999999997e-06,12.160937482383794,173.71994947695936,0.0022027777777777,0.5,-128.73979955165174,False,Northern area
Northern area @ 35.70,north_35p70,35.7,0.68,46,True,,0.8497915547310576,9.999999999999997e-06,12.689288555113697,182.0433830414584,0.0022027777777777,0.68,-130.81855715447674,False,Northern area
Northern area @ 35.70,north_35p70,35.7,0.732,48,True,,0.8281754444571576,9.999999999999997e-06,13.791278091714986,186.81945248753942,0.0022027777777777,0.732,-131.45246874381365,False,Northern area
Northern area @ 35.70,north_35p70,35.7,0.85,60,True,,0.6801160016270568,9.999999999999997e-06,23.75767713656039,221.7460049602676,0.0022027777777777,0.85,-134.78827313989066,False,Northern area
Northern area @ 35.70,north_35p70,35.7,1.0,61,True,,0.7152870709058674,9.999999999999997e-06,21.062051807925247,221.40041354003745,0.0022027777777777,1.0,-134.91725044722182,False,Northern area
Northern area @ 35.70,north_35p70,35.7,1.1,62,True,,0.7285667266815183,9.999999999999997e-06,20.131204552109253,222.42392430812185,0.0022027777777777,1.1,-134.89926723913442,False,Northern area
Northern area @ 35.70,north_35p70,35.7,1.22,63,True,,0.7426669616182275,9.999999999999997e-06,19.18291719938623,223.14600125970867,0.0022027777777777,1.22,-134.7073947558933,False,Northern area
Northern area @ 35.70,north_35p70,35.7,1.404,68,True,,0.7193373647425813,9.999999999999997e-06,20.742225318853144,234.18830511498476,0.0022027777777777,1.404,-133.4570513000564,False,Northern area
Southern area @ 35.70,south_35p70,35.7,0.3,34,True,,0.679355797114189,9.999999999999997e-06,19.56256354609625,139.8171312975985,0.0014212962962962,0.3,-107.0339419198475,False,Southern area
Southern area @ 35.70,south_35p70,35.7,0.5,39,True,,0.7243858676827137,9.999999999999997e-06,16.24601666294751,150.6854799459051,0.0014212962962962,0.5,-111.76283427984308,False,Southern area
Southern area @ 35.70,south_35p70,35.7,0.68,43,True,,0.7308684953661138,9.999999999999997e-06,15.856978165111517,159.18319780998888,0.0014212962962962,0.68,-114.03964282359019,False,Southern area
Southern area @ 35.70,south_35p70,35.7,0.732,44,True,,0.7321241574304317,9.999999999999997e-06,15.782455078081979,161.14766995542865,0.0014212962962962,0.732,-114.401523522827,False,Southern area
Southern area @ 35.70,south_35p70,35.7,0.85,45,True,,0.9137818158912839,0.006806260704773753,11.91307969133666,162.0055277457422,0.0014212962962962,0.85,-104.52371039127141,False,Southern area
Southern area @ 35.70,south_35p70,35.7,1.0,46,True,,1.0292195623483684,0.013090572586878934,10.17996148860762,162.7078985626618,0.0014212962962962,1.0,-99.07363385004498,False,Southern area
Southern area @ 35.70,south_35p70,35.7,1.1,46,True,,1.1630049381936771,0.021706725632982128,8.65505304873829,161.83515168263182,0.0014212962962962,1.1,-93.34488229197736,False,Southern area
Southern area @ 35.70,south_35p70,35.7,1.22,46,True,,1.304450580553932,0.032204801570160015,7.4684029090061035,161.054507649107,0.0014212962962962,1.22,-87.82484770105238,False,Southern area
Southern area @ 35.70,south_35p70,35.7,1.404,47,True,,1.2942638952212226,0.03140123612975216,7.541597382613529,161.75085832593857,0.0014212962962962,1.404,-87.91905583259226,False,Southern area
Northern area @ 35.72,north_35p72,35.72,0.3,19,True,,0.9937289092068967,9.999999999999997e-06,3.959658888967378,75.98897171259603,0.0022027777777777,0.3,-69.27641060761226,True,Northern area
Northern area @ 35.72,north_35p72,35.72,0.5,24,True,,0.8683195429756161,9.999999999999997e-06,6.786264362772232,86.21920015655408,0.0022027777777777,0.5,-74.00683968466707,False,Northern area
Northern area @ 35.72,north_35p72,35.72,0.68,27,True,,0.8336091696854758,9.999999999999997e-06,7.796152043157787,91.50040213482501,0.0022027777777777,0.68,-75.63782496064685,False,Northern area
Northern area @ 35.72,north_35p72,35.72,0.732,29,True,,0.7870314940621752,9.999999999999997e-06,9.305125961892815,95.71465615506146,0.0022027777777777,0.732,-76.27173654998377,False,Northern area
Northern area @ 35.72,north_35p72,35.72,0.85,39,True,,0.5875791211323897,9.999999999999997e-06,18.816071385820056,121.92265645006933,0.0022027777777777,0.85,-79.08537168948665,False,Northern area
Northern area @ 35.72,north_35p72,35.72,1.0,40,True,,0.6252409845420339,9.999999999999997e-06,16.677307254747724,122.0900154898984,0.0022027777777777,1.0,-79.21434899681782,False,Northern area
Northern area @ 35.72,north_35p72,35.72,1.1,41,True,,0.6372048281379943,9.999999999999997e-06,16.05714062526741,123.2866062773088,0.0022027777777777,1.1,-79.19636578873042,False,Northern area
Northern area @ 35.72,north_35p72,35.72,1.22,42,True,,0.6504379249453337,9.999999999999997e-06,15.389780302223205,124.20307292735066,0.0022027777777777,1.22,-79.0044933054893,False,Northern area
Northern area @ 35.72,north_35p72,35.72,1.404,47,True,,0.608567133705574,9.999999999999997e-06,17.50963412835056,134.86792890791583,0.0022027777777777,1.404,-77.75414984965245,False,Northern area
Southern area @ 35.72,south_35p72,35.72,0.3,51,True,,1.5230739884137205,0.042469288604180006,7.895571556865848,231.43432905569358,0.0014212962962962,0.3,-116.24709394870769,False,Southern area
Southern area @ 35.72,south_35p72,35.72,0.5,57,True,,1.3662929916108952,0.032261370356599775,9.478522299463867,245.5943833429684,0.0014212962962962,0.5,-127.64448327511397,False,Southern area
Southern area @ 35.72,south_35p72,35.72,0.68,62,True,,1.1541774331495034,0.019947673978426977,12.698726651824954,257.07754534739206,0.0014212962962962,0.68,-139.9303380667894,False,Southern area
Southern area @ 35.72,south_35p72,35.72,0.732,63,True,,1.1507484115576763,0.019768357175394963,12.766501978385511,259.04805088604047,0.0014212962962962,0.732,-140.42869204606848,False,Southern area
Southern area @ 35.72,south_35p72,35.72,0.85,66,True,,1.062201030346052,0.014946620881458341,14.535742107057237,265.6073946380924,0.0014212962962962,0.85,-145.8773728511153,False,Southern area
Southern area @ 35.72,south_35p72,35.72,1.0,67,True,,1.1636424674343002,0.02070778913799352,12.616620556045557,266.10767995136086,0.0014212962962962,1.0,-140.30226386275905,False,Southern area
Southern area @ 35.72,south_35p72,35.72,1.1,67,True,,1.2729563682547247,0.027721474026016393,11.035548785591695,265.02615920103483,0.0014212962962962,1.1,-134.45158442997518,False,Southern area
Southern area @ 35.72,south_35p72,35.72,1.22,67,True,,1.3928953036898304,0.03627952286988039,9.709885447179818,264.04290216232596,0.0014212962962962,1.22,-128.32423313183253,False,Southern area
Southern area @ 35.72,south_35p72,35.72,1.404,68,True,,1.414814845833784,0.03795555829765177,9.508348345266876,264.72916281819914,0.0014212962962962,1.404,-126.9293934156771,False,Southern area
Northern area @ 35.74,north_35p74,35.74,0.3,9,True,,0.8709784723199241,9.999999999999997e-06,2.8905008566131705,27.214844321804534,0.0022027777777777,0.3,-30.61152143718657,True,Northern area
Northern area @ 35.74,north_35p74,35.74,0.5,12,True,,0.7375005644112058,9.999999999999997e-06,4.978530657047748,31.876231825637674,0.0022027777777777,0.5,-33.37572258090806,True,Northern area
Northern area @ 35.74,north_35p74,35.74,0.68,14,True,,0.6966937931711081,9.999999999999997e-06,5.7926735947945405,34.579184828131545,0.0022027777777777,0.68,-34.429572679611276,True,Northern area
Northern area @ 35.74,north_35p74,35.74,0.732,15,True,,0.6601675511043654,9.999999999999997e-06,6.5843929032492365,36.20577587795178,0.0022027777777777,0.732,-34.74154975312495,True,Northern area
Northern area @ 35.74,north_35p74,35.74,0.85,24,True,,0.33781315253543764,9.999999999999997e-06,18.04886651745576,58.03877745094465,0.0022027777777777,0.85,-37.31289943145951,False,Northern area
Northern area @ 35.74,north_35p74,35.74,1.0,25,True,,0.39498984031270556,9.999999999999997e-06,15.509085326665721,58.32481097190771,0.0022027777777777,1.0,-37.441876738790654,False,Northern area
Northern area @ 35.74,north_35p74,35.74,1.1,26,True,,0.41176365477157034,9.999999999999997e-06,14.845169446250454,59.549336761393135,0.0022027777777777,1.1,-37.42389353070325,False,Northern area
Northern area @ 35.74,north_35p74,35.74,1.22,27,True,,0.4305792368326368,9.999999999999997e-06,14.116279376473027,60.50921002986448,0.0022027777777777,1.22,-37.23202104746214,False,Northern area
Northern area @ 35.74,north_35p74,35.74,1.404,31,True,,0.38840129002921897,9.999999999999997e-06,15.7097791396522,68.4531602764168,0.0022027777777777,1.404,-36.22638605092914,False,Northern area
Southern area @ 35.74,south_35p74,35.74,0.3,61,True,,1.1972428881310895,0.015806931365896625,12.370770754919214,292.9233515038708,0.0014212962962962,0.3,-167.45793808983703,False,Southern area
Southern area @ 35.74,south_35p74,35.74,0.5,69,True,,1.1108656127784573,0.012230738330367788,14.360173991413983,314.32810149050806,0.0014212962962962,0.5,-179.5720834995393,False,Southern area
Southern area @ 35.74,south_35p74,35.74,0.68,75,True,,1.0280541578343356,0.00910970363131879,16.73080435298658,329.34337886921213,0.0014212962962962,0.68,-187.78145876243158,False,Southern area
Southern area @ 35.74,south_35p74,35.74,0.732,77,True,,0.9870493730763903,0.00764240147124209,18.066248549984273,334.45178972006335,0.0014212962962962,0.732,-191.08495803019468,False,Southern area
Southern area @ 35.74,south_35p74,35.74,0.85,81,True,,0.9362340693840672,0.0059696601767648275,19.955194366702287,344.363766876867,0.0014212962962962,0.85,-195.3476433753035,False,Southern area
Southern area @ 35.74,south_35p74,35.74,1.0,82,True,,1.0179385311026092,0.008859442220545835,17.1566405491066,344.37526921441236,0.0014212962962962,1.0,-189.89326809729005,False,Southern area
Southern area @ 35.74,south_35p74,35.74,1.1,82,True,,1.0940210374926231,0.012075882234528447,15.149180945510773,342.859256841739,0.0014212962962962,1.1,-184.62866762634053,False,Southern area
