station_key,status,network,station,xml_path,latitude,longitude,elevation_m,family,location_code,components,channels,sample_rate,gain_1,gain_2,gain_3,gain_mean,reason
CI.CCA,selected,CI,CCA,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.CCA.xml,35.15252,-118.01649,710.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,626838832.1559094,626910814.5186613,626910814.5186613,626886820.3977439,
CI.CCC,selected,CI,CCC,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.CCC.xml,35.52495,-117.36453,670.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,627368612.8122232,627368612.8122232,627368612.8122232,627368612.8122232,
CI.CGO,selected,CI,CGO,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.CGO.xml,36.5504,-117.80295,2795.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,630701000.0,629865000.0,629028000.0,629864666.6666666,
CI.CLC,selected,CI,CLC,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.CLC.xml,35.81574,-117.59751,775.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,627369000.0,627369000.0,627369000.0,627369000.0,
CI.CWC,selected,CI,CWC,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.CWC.xml,36.439047,-118.080495,1569.5,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865000.0,629865000.0,629865000.0,629865000.0,
CI.DAW,selected,CI,DAW,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.DAW.xml,36.27148,-117.59214,1477.4,HH,,Z/N/E,HHZ/HHN/HHE,100.0,314768000.0,314768000.0,314768000.0,314768000.0,
CI.DTP,selected,CI,DTP,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.DTP.xml,35.26742,-117.84581,908.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,627368612.8122232,627368612.8122232,627368612.8122232,627368612.8122232,
CI.GSC,selected,CI,GSC,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.GSC.xml,35.30177,-116.80574,1000.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,3853100000.0,3916930000.0,2759650000.0,3509893333.3333335,
CI.HAR,selected,CI,HAR,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.HAR.xml,35.0114,-117.29909,620.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865078.5149846,629865078.5149846,629865078.5149846,629865078.5149846,
CI.ISA,selected,CI,ISA,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.ISA.xml,35.66278,-118.47403,873.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,5447580000.0,3368350000.0,3340980000.0,4052303333.3333335,
CI.JRC2,selected,CI,JRC2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.JRC2.xml,35.98249,-117.80885,1469.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,790478659.4249868,784866741.964566,784866741.964566,786737381.1180396,
CI.LMR2,selected,CI,LMR2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.LMR2.xml,34.93439,-117.69629,964.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,627369000.0,627369000.0,627369000.0,627369000.0,
CI.LRL,selected,CI,LRL,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.LRL.xml,35.47954,-117.68212,1340.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,628185000.0,630705000.0,629025000.0,629305000.0,
CI.MPM,selected,CI,MPM,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.MPM.xml,36.05799,-117.48901,1839.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,627368612.8122232,627368612.8122232,627368612.8122232,627368612.8122232,
CI.SLA,selected,CI,SLA,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.SLA.xml,35.89095,-117.28332,1174.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,616481000.0,618991000.0,622336000.0,619269333.3333334,
CI.SRT,selected,CI,SRT,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.SRT.xml,35.69235,-117.75051,667.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865000.0,629865000.0,629865000.0,629865000.0,
CI.TEH,selected,CI,TEH,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.TEH.xml,35.2913,-118.42079,846.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,624238000.0,624238000.0,624238000.0,624238000.0,
CI.TOW2,selected,CI,TOW2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.TOW2.xml,35.80856,-117.76488,685.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,626839000.0,626911000.0,626911000.0,626887000.0,
CI.WAS2,selected,CI,WAS2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WAS2.xml,35.7377,-118.55743,1828.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,624238000.0,624238000.0,624238000.0,624238000.0,
CI.WBM,selected,CI,WBM,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WBM.xml,35.60839,-117.89049,892.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,314768000.0,314768000.0,314768000.0,314768000.0,
CI.WBP,selected,CI,WBP,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WBP.xml,35.87841,-118.07414,2494.59,HH,,Z/N/E,HHZ/HHN/HHE,100.0,314768280.21817356,314768280.21817356,314768280.21817356,314768280.21817356,
CI.WBS,selected,CI,WBS,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WBS.xml,35.53664,-118.14035,1927.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865000.0,634047000.0,634047000.0,632653000.0,
CI.WCS2,selected,CI,WCS2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WCS2.xml,36.02521,-117.76526,1143.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,626839000.0,626911000.0,626911000.0,626887000.0,
CI.WHF,selected,CI,WHF,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WHF.xml,35.69513,-118.35183,859.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865000.0,629865000.0,629865000.0,629865000.0,
CI.WMF,selected,CI,WMF,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WMF.xml,36.11758,-117.85486,1537.4,HH,,Z/N/E,HHZ/HHN/HHE,100.0,626506000.0,628185000.0,626506000.0,627065666.6666666,
CI.WNM,excluded,CI,WNM,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WNM.xml,,,,,,,,,,,,,no_valid_HH_or_EH_triplet
CI.WOR,selected,CI,WOR,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WOR.xml,35.69563,-118.24246,795.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,637088000.0,637507000.0,640951000.0,638515333.3333334,
CI.WRC2,selected,CI,WRC2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WRC2.xml,35.9479,-117.65038,943.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865000.0,629865000.0,629865000.0,629865000.0,
CI.WRV2,excluded,CI,WRV2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WRV2.xml,,,,,,,,,,,,,no_valid_HH_or_EH_triplet
CI.WVP2,excluded,CI,WVP2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WVP2.xml,,,,,,,,,,,,,no_valid_HH_or_EH_triplet
GS.CA01,selected,GS,CA01,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA01.xml,35.66512,-117.42368,570.4,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
GS.CA02,selected,GS,CA02,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA02.xml,35.82915,-117.35542,541.6,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
