id,latitude,longitude,elevation_m,x(km),y(km),z(km)
CI.CCC,35.52495,-117.36453,670.0,21.230929746693793,-20.506378477763665,-0.67
CI.CLC,35.81574,-117.59751,775.0,0.09895845161054882,11.732341126210182,-0.775
CI.DTP,35.26742,-117.84581,908.0,-22.493425796322565,-49.07583174547478,-0.908
CI.JRC2,35.98249,-117.80885,1469.0,-18.960710770656725,30.254792192530466,-1.469
CI.LRL,35.47954,-117.68212,1340.0,-7.579205521374377,-25.56666621279613,-1.34
CI.MPM,36.05799,-117.48901,1839.0,9.874308266743375,38.617402883433364,-1.839
CI.SLA,35.89095,-117.28332,1174.0,28.466341629229973,20.12314485487337,-1.174
CI.SRT,35.69235,-117.75051,667.0,-13.74930859322904,-1.9476918506664793,-0.667
CI.TOW2,35.80856,-117.76488,685.0,-15.028117568212057,10.948417961286383,-0.685
CI.WBM,35.60839,-117.89049,892.0,-26.446899726455225,-11.23461589680557,-0.892
CI.WCS2,36.02521,-117.76526,1143.0,-15.021513661023114,34.987397766707765,-1.143
CI.WMF,36.11758,-117.85486,1537.4,-23.07071667506806,45.25423171871325,-1.5374
CI.WRC2,35.9479,-117.65038,943.0,-4.671306698796207,26.397627083992525,-0.943
GS.CA01,35.66512,-117.42368,570.4,15.838286517730326,-4.965473736889316,-0.5704
GS.CA02,35.82915,-117.35542,541.6,21.973646321808225,13.247501412074493,-0.5416
GS.CA03,35.62204,-117.56911,762.2,2.6720106224681013,-9.759009052532267,-0.7622000000000001
GS.CA04,35.47833,-117.5602,1005.4,3.4854072401892204,-25.7034525336051,-1.0054
GS.CA06,35.59962,-117.49268,796.4,9.598634327045945,-12.241775406994574,-0.7964
PB.B916,36.1925,-117.6685,1859.9,-6.286713120956001,53.53952983948107,-1.8599
PB.B917,35.4053,-117.2588,1192.0,30.86652802254748,-33.75342262951775,-1.192
PB.B918,35.9357,-117.6017,1042.6,-0.2792836889872552,25.042710551539788,-1.0426
PB.B921,35.5865,-117.4622,694.5,12.36266610774615,-13.694052075287193,-0.6945
ZY.SV01,35.6455,-117.4776,602.0,10.958875954420819,-7.1497199849857545,-0.602
ZY.SV02,35.8855,-117.7048,688.0,-9.58876772274458,19.477841526716492,-0.688
ZY.SV03,35.7705,-117.5997,671.0,-0.09901452057175826,6.712729222947988,-0.671
ZY.SV04,35.9023,-117.7018,707.0,-9.31592044883805,21.341630027910885,-0.707
ZY.SV05,35.7224,-117.5719,664.0,2.4162315122863505,1.3761551805104446,-0.664
ZY.SV06,35.6012,-117.3811,597.9,19.709309303531835,-12.049829681282931,-0.5979
ZY.SV07,35.6976,-117.6032,664.0,-0.41587806299526026,-1.3758139077090665,-0.664
ZY.SV08,35.5761,-117.4187,604.0,16.30726720297862,-14.84159886057702,-0.604
