batch_index,batch_label,batch_code,batch_dir,days,n_phase_events,n_selected_events,n_hypodd_original_events,n_hypodd_relocated_events,n_matched_relocated_events
1,day_20190704,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch001,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190704,20190704,1255,1255,939,918,918
2,day_20190705,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch002,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190705,20190705,4616,4616,3541,3444,3444
3,day_20190706,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch003,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190706,20190706,6135,6135,3978,3724,3724
4,day_20190707,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch004,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190707,20190707,6286,6286,3995,3760,3760
5,day_20190708,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch005,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190708,20190708,6649,6649,4230,3984,3984
6,day_20190709,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch006,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190709,20190709,6296,6296,3826,3573,3573
7,day_20190710,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch007,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190710,20190710,6869,6869,4308,4036,4036
8,day_20190711,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch008,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190711,20190711,6940,6940,4332,4029,4029
9,day_20190712,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch009,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190712,20190712,7172,7172,4771,4386,4386
10,day_20190713,ridgecrest_gamma_p03s03_noamp_eps5_os10_hypodd_H24_gradualvel_minlink6_minobs6_maxsep8_maxngh20_batch010,<CASE_ROOT>/catalog_construction/01_step4_relocation_HypoDD/exp_run/outputs/01_hypodd_relocation_analysis/day_20190713,20190713,7317,7317,4797,4468,4468
