ot,lat,lon,dep,mag,source_day,ot_utc
2019-07-04T00:41:51.455000Z,36.11543,-117.63631,0.94,0.06,20190704,2019-07-04T00:41:51.455000Z
2019-07-04T00:46:47.562000Z,36.09489,-117.83215,12.65,0.52,20190704,2019-07-04T00:46:47.562000Z
2019-07-04T00:55:32.600000Z,35.37289,-117.78192,5.3,0.68,20190704,2019-07-04T00:55:32.600000Z
2019-07-04T00:56:37.590000Z,36.09368,-117.82208,12.86,0.66,20190704,2019-07-04T00:56:37.590000Z
2019-07-04T02:08:13.956000Z,35.66543,-117.31219,7.65,0.62,20190704,2019-07-04T02:08:13.956000Z
2019-07-04T02:34:31.217000Z,36.12422,-117.63778,4.7,0.43,20190704,2019-07-04T02:34:31.217000Z
2019-07-04T03:07:55.665000Z,36.10836,-117.64888,0.74,0.21,20190704,2019-07-04T03:07:55.665000Z
2019-07-04T03:20:28.461000Z,36.11583,-117.61374,2.59,0.88,20190704,2019-07-04T03:20:28.461000Z
2019-07-04T04:03:01.332000Z,36.02113,-117.7962,3.95,0.33,20190704,2019-07-04T04:03:01.332000Z
2019-07-04T04:15:14.419000Z,36.04681,-117.58111,5.24,0.18,20190704,2019-07-04T04:15:14.419000Z
2019-07-04T05:04:01.204000Z,35.93864,-117.66045,5.71,0.57,20190704,2019-07-04T05:04:01.204000Z
2019-07-04T05:16:47.599000Z,36.0931,-117.82894,11.1,0.75,20190704,2019-07-04T05:16:47.599000Z
2019-07-04T05:20:57.326000Z,36.11602,-117.63951,4.11,0.83,20190704,2019-07-04T05:20:57.326000Z
2019-07-04T05:45:33.616000Z,35.91455,-117.65348,0.0,-0.09,20190704,2019-07-04T05:45:33.616000Z
2019-07-04T06:11:15.903000Z,36.08898,-117.64428,0.95,0.01,20190704,2019-07-04T06:11:15.903000Z
2019-07-04T06:16:14.450000Z,35.79411,-118.01378,30.0,0.98,20190704,2019-07-04T06:16:14.450000Z
2019-07-04T06:18:24.980000Z,35.64616,-118.01302,30.0,1.06,20190704,2019-07-04T06:18:24.980000Z
2019-07-04T06:18:29.398000Z,35.97118,-117.59033,3.75,0.39,20190704,2019-07-04T06:18:29.398000Z
2019-07-04T06:33:14.460000Z,36.11552,-117.6458,4.55,0.25,20190704,2019-07-04T06:33:14.460000Z
2019-07-04T06:57:32.834000Z,36.07583,-117.85793,1.63,0.14,20190704,2019-07-04T06:57:32.834000Z
2019-07-04T07:19:20.075000Z,36.11865,-117.55088,0.54,0.01,20190704,2019-07-04T07:19:20.075000Z
2019-07-04T08:00:13.776000Z,36.11456,-117.62993,0.95,0.06,20190704,2019-07-04T08:00:13.776000Z
2019-07-04T08:24:42.076000Z,36.12108,-117.63075,0.85,0.05,20190704,2019-07-04T08:24:42.076000Z
2019-07-04T08:41:33.861000Z,35.99277,-117.38067,7.26,0.27,20190704,2019-07-04T08:41:33.861000Z
2019-07-04T08:45:38.070000Z,36.06884,-117.64544,5.01,0.07,20190704,2019-07-04T08:45:38.070000Z
2019-07-04T09:53:15.203000Z,36.09334,-117.6306,5.66,-0.01,20190704,2019-07-04T09:53:15.203000Z
2019-07-04T11:51:07.485000Z,36.11897,-117.59082,1.23,0.79,20190704,2019-07-04T11:51:07.485000Z
2019-07-04T11:52:15.879000Z,35.74366,-117.51913,2.41,0.15,20190704,2019-07-04T11:52:15.879000Z
2019-07-04T15:21:18.170000Z,35.95132,-117.65899,2.8,-0.25,20190704,2019-07-04T15:21:18.170000Z
2019-07-04T15:26:18.867000Z,35.97795,-117.55729,3.4,-0.0,20190704,2019-07-04T15:26:18.867000Z
2019-07-04T15:35:29.791000Z,35.72479,-117.48301,7.99,0.57,20190704,2019-07-04T15:35:29.791000Z
2019-07-04T15:42:47.907000Z,35.71838,-117.4802,12.04,0.72,20190704,2019-07-04T15:42:47.907000Z
2019-07-04T16:07:19.967000Z,35.71755,-117.48098,11.98,0.71,20190704,2019-07-04T16:07:19.967000Z
2019-07-04T16:11:51.634000Z,35.68016,-118.01319,30.0,0.8,20190704,2019-07-04T16:11:51.634000Z
2019-07-04T16:11:56.552000Z,35.74447,-118.01353,25.85,1.34,20190704,2019-07-04T16:11:56.552000Z
2019-07-04T16:13:11.412000Z,35.73406,-117.44615,5.6,0.31,20190704,2019-07-04T16:13:11.412000Z
2019-07-04T16:13:42.780000Z,35.71152,-117.48852,14.79,1.71,20190704,2019-07-04T16:13:42.780000Z
2019-07-04T16:16:07.445000Z,35.72214,-117.47622,7.14,0.49,20190704,2019-07-04T16:16:07.445000Z
2019-07-04T17:02:54.794000Z,35.71216,-117.49095,14.6,4.54,20190704,2019-07-04T17:02:54.794000Z
2019-07-04T17:04:02.243000Z,35.71543,-117.48261,9.85,2.02,20190704,2019-07-04T17:04:02.243000Z
2019-07-04T17:05:01.489000Z,35.67299,-117.58835,3.38,1.22,20190704,2019-07-04T17:05:01.489000Z
2019-07-04T17:05:04.399000Z,35.78141,-117.33859,8.46,1.42,20190704,2019-07-04T17:05:04.399000Z
