event_id,event_seq,source_day,original_ot_str,original_lat,original_lon,original_dep,original_mag,phase_file,batch_index,batch_label,original_ot,was_selected,hypodd_original_ot_str,hypodd_original_lat,hypodd_original_lon,hypodd_original_dep,hypodd_original_mag,hypodd_original_time_abs_diff_s,reloc_ot_str,reloc_lat,reloc_lon,reloc_dep,reloc_mag,reloc_time_abs_diff_s,was_relocated,horizontal_shift_km,depth_change_km,day
0,0,20190704,2019-07-04T00:41:51.455000Z,36.11543,-117.63631,0.94,0.06,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T00:41:51.455000Z,True,,,,,,,,,,,,,False,,,
1,1,20190704,2019-07-04T00:46:47.562000Z,36.09489,-117.83215,12.65,0.52,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T00:46:47.562000Z,True,,,,,,,,,,,,,False,,,
2,2,20190704,2019-07-04T00:55:32.600000Z,35.37289,-117.78192,5.3,0.68,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T00:55:32.600000Z,True,,,,,,,,,,,,,False,,,
4,4,20190704,2019-07-04T02:08:13.956000Z,35.66543,-117.31219,7.65,0.62,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T02:08:13.956000Z,True,,,,,,,,,,,,,False,,,
6,6,20190704,2019-07-04T03:07:55.665000Z,36.10836,-117.64888,0.74,0.21,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T03:07:55.665000Z,True,,,,,,,,,,,,,False,,,
8,8,20190704,2019-07-04T04:03:01.332000Z,36.02113,-117.7962,3.95,0.33,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T04:03:01.332000Z,True,,,,,,,,,,,,,False,,,
9,9,20190704,2019-07-04T04:15:14.419000Z,36.04681,-117.58111,5.24,0.18,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T04:15:14.419000Z,True,,,,,,,,,,,,,False,,,
10,10,20190704,2019-07-04T05:04:01.204000Z,35.93864,-117.66045,5.71,0.57,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T05:04:01.204000Z,True,,,,,,,,,,,,,False,,,
13,13,20190704,2019-07-04T05:45:33.616000Z,35.91455,-117.65348,0.0,-0.09,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T05:45:33.616000Z,True,,,,,,,,,,,,,False,,,
14,14,20190704,2019-07-04T06:11:15.903000Z,36.08898,-117.64428,0.95,0.01,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T06:11:15.903000Z,True,,,,,,,,,,,,,False,,,
15,15,20190704,2019-07-04T06:16:14.450000Z,35.79411,-118.01378,30.0,0.98,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T06:16:14.450000Z,True,,,,,,,,,,,,,False,,,
