,latitude,longitude,depth_km,magnitude
count,25646.0,25646.0,25646.0,25646.0
min,38.50304,141.000635,0.0,-0.5
p01,38.6312517,141.13618055,2.9845,0.1
p05,38.86044725,141.69899924999999,6.4325,0.6
median,39.917163,142.974414,16.49,1.5
p95,41.189227,143.6324505,52.135,3.0
p99,41.59674355,143.8367613,68.64,4.0
max,42.382633,144.49847,125.3,7.7
mean,40.09827225454262,142.83691101376434,22.490364969195976,1.5682250643375184
std,0.7843080892683021,0.6092040234969879,15.166661481763047,0.7500047859709814
