event_code,origin_time,latitude,longitude,depth_km,mag_1,mag_2,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_hypo_stations,n_mech_stations,has_geometry,has_mechanism_core
J2025100111563882,2025-10-01 02:56:38.820000+00:00,41.81333333333333,142.66816666666668,56.44,3.5,,116.0,29.0,208.0,3.0,303.0,61.0,256.0,68.0,-161.0,158.0,72.0,-24.0,98.0,40,65.0,True,True
J2025100123500609,2025-10-01 14:50:06.090000+00:00,38.69883333333333,141.97583333333333,58.73,4.6,4.5,303.0,24.0,158.0,61.0,40.0,15.0,5.0,25.0,52.0,225.0,71.0,106.0,96.0,40,225.0,True,True
J2025100317451495,2025-10-03 08:45:14.950000+00:00,38.345333333333336,141.6795,52.98,3.3,,102.0,20.0,237.0,63.0,5.0,18.0,219.0,29.0,128.0,358.0,67.0,71.0,94.0,35,117.0,True,True
J2025100423151668,2025-10-04 14:15:16.680000+00:00,39.65383333333333,142.26833333333337,32.97,4.4,4.6,,,,,,,,,,,,,,40,,False,False
J2025100515304777,2025-10-05 06:30:47.770000+00:00,42.55266666666667,141.87,13025.0,4.0,3.9,339.0,82.0,157.0,8.0,67.0,0.0,247.0,37.0,-90.0,67.0,53.0,-90.0,93.0,38,230.0,True,True
J2025100611310731,2025-10-06 02:31:07.310000+00:00,39.759166666666665,141.8375,58.62,3.7,,102.0,22.0,323.0,62.0,199.0,17.0,164.0,27.0,52.0,26.0,69.0,108.0,99.0,40,91.0,True,True
J2025100816163326,2025-10-08 07:16:33.260000+00:00,41.0095,143.1265,23.13,3.7,,,,,,,,,,,,,,,35,,False,False
J2025101107063590,2025-10-10 22:06:35.900000+00:00,41.7255,142.67483333333334,61.04,4.4,3.9,,,,,,,,,,,,,,40,,False,False
J2025101212343544,2025-10-12 03:34:35.440000+00:00,42.307833333333335,143.01683333333332,50.68,3.6,,,,,,,,,,,,,,,40,,False,False
J2025101305185591,2025-10-12 20:18:55.910000+00:00,41.35783333333333,144.39533333333333,32.64,4.0,,,,,,,,,,,,,,,35,,False,False
J2025101407060327,2025-10-13 22:06:03.270000+00:00,39.518,142.01716666666667,19.54,4.3,4.5,230.0,49.0,115.0,20.0,11.0,34.0,247.0,39.0,-28.0,359.0,73.0,-126.0,92.0,20,123.0,True,True
J2025101517502029,2025-10-15 08:50:20.290000+00:00,38.532833333333336,141.41583333333332,71.83,3.9,4.0,255.0,55.0,62.0,34.0,156.0,6.0,126.0,12.0,-120.0,337.0,79.0,-84.0,94.0,40,212.0,True,True
J2025102114204676,2025-10-21 05:20:46.760000+00:00,38.91916666666667,142.11833333333334,43.8,3.7,,,,,,,,,,,,,,,38,,False,False
J2025102218173198,2025-10-22 09:17:31.980000+00:00,42.924,145.4745,43.14,5.1,5.0,129.0,12.0,263.0,73.0,36.0,12.0,234.0,35.0,111.0,29.0,58.0,76.0,97.0,38,144.0,True,True
J2025102409271441,2025-10-24 00:27:14.410000+00:00,38.190666666666665,141.70733333333334,51.4,3.9,3.9,,,,,,,,,,,,,,38,,False,False
J2025102501400976,2025-10-24 16:40:09.760000+00:00,42.932833333333335,145.617,39.72,5.8,5.8,,,,,,,,,,,,,,39,,False,False
J2025102819050245,2025-10-28 10:05:02.450000+00:00,41.58683333333333,141.95783333333333,60.34,3.9,,117.0,29.0,305.0,61.0,209.0,3.0,197.0,16.0,78.0,30.0,74.0,94.0,95.0,39,97.0,True,True
J2025110123440618,2025-11-01 14:44:06.180000+00:00,39.10333333333333,142.19016666666667,49.62,4.4,4.6,292.0,29.0,55.0,44.0,182.0,32.0,73.0,33.0,164.0,177.0,81.0,58.0,95.0,38,128.0,True,True
J2025110720422546,2025-11-07 11:42:25.460000+00:00,40.25416666666667,142.51733333333334,41.38,3.9,,106.0,31.0,292.0,59.0,198.0,3.0,187.0,14.0,79.0,18.0,76.0,93.0,95.0,39,123.0,True,True
J2025110818172702,2025-11-08 09:17:27.020000+00:00,38.296,141.87416666666667,62.6,3.9,4.3,295.0,11.0,179.0,66.0,29.0,21.0,1.0,39.0,55.0,222.0,59.0,115.0,98.0,40,184.0,True,True
J2025110913164023,2025-11-09 04:16:40.230000+00:00,41.9585,142.33783333333332,70.75,4.0,4.0,113.0,15.0,308.0,74.0,204.0,4.0,197.0,30.0,82.0,26.0,60.0,95.0,98.0,40,127.0,True,True
J2025111310384665,2025-11-13 01:38:46.650000+00:00,42.92316666666667,145.4685,42.07,3.9,,,,,,,,,,,,,,,39,,False,False
J2025111311334922,2025-11-13 02:33:49.220000+00:00,39.80866666666667,142.34866666666667,13.63,3.7,,,,,,,,,,,,,,,40,,False,False
J2025111323013164,2025-11-13 14:01:31.640000+00:00,38.323166666666665,141.616,54.98,3.5,,,,,,,,,,,,,,,40,,False,False
J2025111406233075,2025-11-13 21:23:30.750000+00:00,40.1275,142.47583333333333,38.38,3.7,,,,,,,,,,,,,,,40,,False,False
J2025111408052175,2025-11-13 23:05:21.750000+00:00,39.614333333333335,141.35966666666667,84.99,3.7,,273.0,20.0,180.0,8.0,69.0,68.0,315.0,70.0,-9.0,48.0,82.0,-160.0,98.0,39,175.0,True,True
J2025111507325083,2025-11-14 22:32:50.830000+00:00,40.535,142.3425,82.73,3.6,,36.0,67.0,284.0,9.0,191.0,21.0,37.0,40.0,-56.0,176.0,57.0,-115.0,99.0,39,108.0,True,True
J2025111516570429,2025-11-15 07:57:04.290000+00:00,38.64233333333333,141.90533333333337,46.79,3.5,,117.0,29.0,311.0,60.0,210.0,6.0,190.0,17.0,69.0,32.0,74.0,96.0,98.0,35,108.0,True,True
J2025111611244860,2025-11-16 02:24:48.600000+00:00,38.81783333333333,141.99866666666668,46.62,3.3,,270.0,8.0,23.0,70.0,177.0,18.0,20.0,40.0,119.0,164.0,56.0,68.0,95.0,40,77.0,True,True
J2025111806243123,2025-11-17 21:24:31.230000+00:00,38.6175,141.445,73.98,3.5,,286.0,25.0,175.0,37.0,41.0,43.0,326.0,43.0,11.0,228.0,83.0,133.0,100.0,38,130.0,True,True
