reference_id,source_file,raw_time,origin_time,latitude,longitude,depth_km,magnitude,event_id,has_origin_time,has_location,has_depth,has_magnitude,flag_time_parse_failed,flag_missing_location,flag_missing_depth,flag_missing_magnitude,flag_lat_out_of_bounds,flag_lon_out_of_bounds,flag_depth_out_of_bounds,flag_mag_out_of_bounds,flag_any_quality_issue,quality_status,duplicate_signature,flag_exact_duplicate_signature
M1,Snet_catalog_relocate.csv,2025-06-02T03:47:03.300000Z,2025-06-02 03:47:03.300000+00:00,39.720239,143.438477,12.69,1.6,CAT_000028,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748836023000000000|39.7202|143.4385|12.69|1.6,False
M1,Snet_catalog_relocate.csv,2025-06-03T15:58:03.730000Z,2025-06-03 15:58:03.730000+00:00,39.202035,143.452474,13.89,3.1,CAT_000080,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748966284000000000|39.202|143.4525|13.89|3.1,False
M1,Snet_catalog_relocate.csv,2025-06-04T03:49:05.910000Z,2025-06-04 03:49:05.910000+00:00,39.375146,143.60638,8.97,1.3,CAT_000095,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1749008946000000000|39.3751|143.6064|8.97|1.3,False
M1,Snet_catalog_relocate.csv,2025-06-04T06:15:35.710000Z,2025-06-04 06:15:35.710000+00:00,39.191459,143.452799,10.93,1.0,CAT_000098,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1749017736000000000|39.1915|143.4528|10.93|1.0,False
M1,Snet_catalog_relocate.csv,2025-06-11T22:00:10.560000Z,2025-06-11 22:00:10.560000+00:00,39.69054,143.423665,12.2,0.9,CAT_000308,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1749679211000000000|39.6905|143.4237|12.2|0.9,False
M1,Snet_catalog_relocate.csv,2025-06-14T15:58:54.900000Z,2025-06-14 15:58:54.900000+00:00,39.618302,143.229264,15.87,2.9,CAT_000377,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1749916735000000000|39.6183|143.2293|15.87|2.9,False
M1,Snet_catalog_relocate.csv,2025-06-15T11:23:06.790000Z,2025-06-15 11:23:06.790000+00:00,39.614754,143.234098,12.95,1.4,CAT_000393,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1749986587000000000|39.6148|143.2341|12.95|1.4,False
M1,Snet_catalog_relocate.csv,2025-06-15T14:50:38.770000Z,2025-06-15 14:50:38.770000+00:00,39.488607,143.389486,9.92,1.3,CAT_000395,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1749999039000000000|39.4886|143.3895|9.92|1.3,False
M1,Snet_catalog_relocate.csv,2025-06-15T20:19:04.980000Z,2025-06-15 20:19:04.980000+00:00,39.422164,143.266748,4.03,1.0,CAT_000405,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750018745000000000|39.4222|143.2667|4.03|1.0,False
M1,Snet_catalog_relocate.csv,2025-06-16T09:56:53.660000Z,2025-06-16 09:56:53.660000+00:00,39.487895,143.391585,11.24,1.6,CAT_000423,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750067814000000000|39.4879|143.3916|11.24|1.6,False
M1,Snet_catalog_relocate.csv,2025-06-16T17:09:15.960000Z,2025-06-16 17:09:15.960000+00:00,39.48667,143.390039,8.25,1.0,CAT_000431,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750093756000000000|39.4867|143.39|8.25|1.0,False
M1,Snet_catalog_relocate.csv,2025-06-16T23:12:16.400000Z,2025-06-16 23:12:16.400000+00:00,39.34327,143.064372,12.59,3.6,CAT_000437,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750115536000000000|39.3433|143.0644|12.59|3.6,False
M1,Snet_catalog_relocate.csv,2025-06-18T13:50:07.350000Z,2025-06-18 13:50:07.350000+00:00,39.62734,143.491634,12.69,3.5,CAT_000468,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750254607000000000|39.6273|143.4916|12.69|3.5,False
M1,Snet_catalog_relocate.csv,2025-06-18T13:51:58.480000Z,2025-06-18 13:51:58.480000+00:00,39.627039,143.493848,12.16,2.8,CAT_000469,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750254718000000000|39.627|143.4938|12.16|2.8,False
M1,Snet_catalog_relocate.csv,2025-06-18T15:03:07.780000Z,2025-06-18 15:03:07.780000+00:00,39.628625,143.494417,13.41,3.3,CAT_000471,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750258988000000000|39.6286|143.4944|13.41|3.3,False
M1,Snet_catalog_relocate.csv,2025-06-18T15:04:58.960000Z,2025-06-18 15:04:58.960000+00:00,39.630111,143.493473,13.05,3.6,CAT_000472,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750259099000000000|39.6301|143.4935|13.05|3.6,False
M1,Snet_catalog_relocate.csv,2025-06-18T15:07:37.670000Z,2025-06-18 15:07:37.670000+00:00,39.62015,143.497868,8.73,1.7,CAT_000473,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750259258000000000|39.6202|143.4979|8.73|1.7,False
M1,Snet_catalog_relocate.csv,2025-06-18T22:27:44.560000Z,2025-06-18 22:27:44.560000+00:00,39.369653,143.582861,10.71,1.1,CAT_000488,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750285665000000000|39.3697|143.5829|10.71|1.1,False
M1,Snet_catalog_relocate.csv,2025-06-20T18:21:56.740000Z,2025-06-20 18:21:56.740000+00:00,39.626156,143.480387,13.2,2.3,CAT_000532,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750443717000000000|39.6262|143.4804|13.2|2.3,False
M1,Snet_catalog_relocate.csv,2025-06-23T23:41:35.500000Z,2025-06-23 23:41:35.500000+00:00,39.418111,143.483805,14.51,2.1,CAT_000613,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750722096000000000|39.4181|143.4838|14.51|2.1,False
M1,Snet_catalog_relocate.csv,2025-06-23T23:47:24.960000Z,2025-06-23 23:47:24.960000+00:00,39.415515,143.484538,16.05,2.7,CAT_000614,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750722445000000000|39.4155|143.4845|16.05|2.7,False
M1,Snet_catalog_relocate.csv,2025-06-24T06:29:14.460000Z,2025-06-24 06:29:14.460000+00:00,39.619743,143.211426,12.97,1.2,CAT_000621,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750746554000000000|39.6197|143.2114|12.97|1.2,False
M1,Snet_catalog_relocate.csv,2025-06-24T14:30:49.520000Z,2025-06-24 14:30:49.520000+00:00,39.418026,143.486475,15.44,2.5,CAT_000634,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750775450000000000|39.418|143.4865|15.44|2.5,False
M1,Snet_catalog_relocate.csv,2025-06-25T16:34:33.770000Z,2025-06-25 16:34:33.770000+00:00,39.635457,143.2396,12.56,0.7,CAT_000658,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750869274000000000|39.6355|143.2396|12.56|0.7,False
M1,Snet_catalog_relocate.csv,2025-06-25T20:39:37.160000Z,2025-06-25 20:39:37.160000+00:00,39.411536,143.570264,7.09,0.9,CAT_000665,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750883977000000000|39.4115|143.5703|7.09|0.9,False
M1,Snet_catalog_relocate.csv,2025-06-25T20:46:34.020000Z,2025-06-25 20:46:34.020000+00:00,39.405192,143.564453,11.24,1.8,CAT_000666,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750884394000000000|39.4052|143.5645|11.24|1.8,False
M1,Snet_catalog_relocate.csv,2025-06-26T03:08:56.090000Z,2025-06-26 03:08:56.090000+00:00,39.405457,143.56556,9.68,1.2,CAT_000672,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750907336000000000|39.4055|143.5656|9.68|1.2,False
M1,Snet_catalog_relocate.csv,2025-06-26T11:18:20.730000Z,2025-06-26 11:18:20.730000+00:00,39.406641,143.564079,10.21,1.6,CAT_000684,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750936701000000000|39.4066|143.5641|10.21|1.6,False
M1,Snet_catalog_relocate.csv,2025-06-26T11:26:49.500000Z,2025-06-26 11:26:49.500000+00:00,39.406547,143.558138,8.6,1.2,CAT_000686,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750937210000000000|39.4065|143.5581|8.6|1.2,False
M1,Snet_catalog_relocate.csv,2025-06-26T11:32:43.200000Z,2025-06-26 11:32:43.200000+00:00,39.613013,143.229476,12.41,1.3,CAT_000687,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750937563000000000|39.613|143.2295|12.41|1.3,False
M1,Snet_catalog_relocate.csv,2025-06-26T22:53:53.440000Z,2025-06-26 22:53:53.440000+00:00,39.6158,143.225439,12.85,0.8,CAT_000699,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1750978433000000000|39.6158|143.2254|12.85|0.8,False
M1,Snet_catalog_relocate.csv,2025-06-27T13:31:48.200000Z,2025-06-27 13:31:48.200000+00:00,39.409355,143.295931,4.0,1.7,CAT_000719,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751031108000000000|39.4094|143.2959|4.0|1.7,False
M1,Snet_catalog_relocate.csv,2025-06-28T13:01:55.290000Z,2025-06-28 13:01:55.290000+00:00,39.340271,143.061865,11.34,1.6,CAT_000748,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751115715000000000|39.3403|143.0619|11.34|1.6,False
M1,Snet_catalog_relocate.csv,2025-06-29T02:04:23.370000Z,2025-06-29 02:04:23.370000+00:00,39.415889,143.48457,13.03,1.3,CAT_000766,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751162663000000000|39.4159|143.4846|13.03|1.3,False
M1,Snet_catalog_relocate.csv,2025-06-29T18:54:05.720000Z,2025-06-29 18:54:05.720000+00:00,39.739958,143.409521,11.84,1.2,CAT_000793,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751223246000000000|39.74|143.4095|11.84|1.2,False
M1,Snet_catalog_relocate.csv,2025-06-30T04:21:56.770000Z,2025-06-30 04:21:56.770000+00:00,39.743351,143.413314,12.18,1.1,CAT_000802,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751257317000000000|39.7434|143.4133|12.18|1.1,False
M1,Snet_catalog_relocate.csv,2025-06-30T06:44:18.850000Z,2025-06-30 06:44:18.850000+00:00,39.741219,143.4118,12.11,1.1,CAT_000807,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751265859000000000|39.7412|143.4118|12.11|1.1,False
M1,Snet_catalog_relocate.csv,2025-06-30T06:57:01.200000Z,2025-06-30 06:57:01.200000+00:00,39.735974,143.406934,12.47,1.3,CAT_000808,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751266621000000000|39.736|143.4069|12.47|1.3,False
M1,Snet_catalog_relocate.csv,2025-06-30T06:59:16.430000Z,2025-06-30 06:59:16.430000+00:00,39.736739,143.407731,12.23,1.3,CAT_000809,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751266756000000000|39.7367|143.4077|12.23|1.3,False
M1,Snet_catalog_relocate.csv,2025-06-30T17:21:43.160000Z,2025-06-30 17:21:43.160000+00:00,39.739889,143.414925,12.62,1.5,CAT_000820,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751304103000000000|39.7399|143.4149|12.62|1.5,False
M1,Snet_catalog_relocate.csv,2025-06-30T17:37:55.040000Z,2025-06-30 17:37:55.040000+00:00,39.741349,143.409635,12.6,1.7,CAT_000821,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751305075000000000|39.7413|143.4096|12.6|1.7,False
M1,Snet_catalog_relocate.csv,2025-06-30T17:38:22.360000Z,2025-06-30 17:38:22.360000+00:00,39.744263,143.384554,10.37,1.4,CAT_000822,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1751305102000000000|39.7443|143.3846|10.37|1.4,False
