reference_id,station_code,station_number,latitude,longitude,elevation_m,matched,flag_any_quality_issue
M1,E.SOB1,1141,39.166667,143.239167,-2480,True,False
M1,N.303S,6601,39.323167,143.120667,-1890,True,False
M1,N.304S,6602,39.295833,143.454333,-2490,True,False
M1,N.305S,6603,39.190667,143.749833,-4308,True,False
M1,N.424S,6648,39.638833,143.715333,-2936,True,False
M1,N.425S,6649,39.697667,143.374833,-2228,True,False
M2,N.402S,6626,40.906833,142.105667,-858,True,False
M2,N.403S,6627,41.015667,142.431333,-1425,True,False
M2,N.522S,6674,41.198833,142.027167,-1029,True,False
M2,N.523S,6675,40.954,141.876167,-529,True,False
M3,N.419S,6643,40.090333,142.9695,-1256,True,False
M3,N.420S,6644,40.074333,143.321,-1329,True,False
M3,N.425S,6649,39.697667,143.374833,-2228,True,False
M3,N.426S,6650,39.7245,143.038333,-1569,True,False
