mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_pre,n_post,duration_pre_days,duration_post_days,pre_rate,post_rate,rate_ratio,moving_rate_max,moving_rate_median,post_omori_c,post_omori_k,post_omori_p,post_omori_r2,post_omori_fit_ok,radial_q25_km,radial_q50_km,radial_q75_km,depth_q25_km,depth_q50_km,depth_q75_km,mag_q25,mag_q50,mag_q75,mecha_events,mecha_available
M1,30.0,7.0,all,,1926,506,1419,7.0,7.0,72.28571428571429,202.71428571428572,2.8043478260869565,218.57142857142858,202.85714285714286,,,,,False,8.582350836530164,13.725306162741493,20.942664386972382,9.5825,11.34,12.7975,1.6,1.9,2.4,6,True
M1,30.0,7.0,all,1.2,1862,479,1382,7.0,7.0,68.42857142857143,197.42857142857142,2.8851774530271395,213.28571428571428,197.57142857142858,,,,,False,8.698888077205824,13.876420540761085,21.05632575111975,9.58,11.34,12.807500000000001,1.6,1.9,2.4,6,True
M1,30.0,7.0,all,1.5,1593,371,1221,7.0,7.0,53.0,174.42857142857142,3.2911051212938003,189.14285714285714,174.57142857142858,,,,,False,8.896218112474036,14.479671964558348,21.32353950027553,9.63,11.45,13.02,1.7,2.0,2.6,6,True
M1,30.0,7.0,all,2.0,869,174,694,7.0,7.0,24.857142857142858,99.14285714285714,3.9885057471264367,110.42857142857143,99.28571428571429,,,,,False,9.642163184253159,15.647481243394227,21.885526653892025,10.02,12.16,13.76,2.2,2.5,3.1,6,True
M1,30.0,7.0,all,2.5,449,99,349,7.0,7.0,14.142857142857142,49.857142857142854,3.525252525252525,58.285714285714285,50.0,,,,,False,8.739497821204722,15.243216151510628,21.420196909730386,10.7,12.58,14.09,2.7,3.1,3.5,6,True
M1,30.0,7.0,mainshock_window,,1926,506,1419,7.0,7.0,72.28571428571429,202.71428571428572,2.8043478260869565,218.57142857142858,202.85714285714286,,,,,False,8.582350836530164,13.725306162741493,20.942664386972382,9.5825,11.34,12.7975,1.6,1.9,2.4,6,True
M1,30.0,7.0,mainshock_window,1.2,1862,479,1382,7.0,7.0,68.42857142857143,197.42857142857142,2.8851774530271395,213.28571428571428,197.57142857142858,,,,,False,8.698888077205824,13.876420540761085,21.05632575111975,9.58,11.34,12.807500000000001,1.6,1.9,2.4,6,True
M1,30.0,7.0,mainshock_window,1.5,1593,371,1221,7.0,7.0,53.0,174.42857142857142,3.2911051212938003,189.14285714285714,174.57142857142858,,,,,False,8.896218112474036,14.479671964558348,21.32353950027553,9.63,11.45,13.02,1.7,2.0,2.6,6,True
M1,30.0,7.0,mainshock_window,2.0,869,174,694,7.0,7.0,24.857142857142858,99.14285714285714,3.9885057471264367,110.42857142857143,99.28571428571429,,,,,False,9.642163184253159,15.647481243394227,21.885526653892025,10.02,12.16,13.76,2.2,2.5,3.1,6,True
M1,30.0,7.0,mainshock_window,2.5,449,99,349,7.0,7.0,14.142857142857142,49.857142857142854,3.525252525252525,58.285714285714285,50.0,,,,,False,8.739497821204722,15.243216151510628,21.420196909730386,10.7,12.58,14.09,2.7,3.1,3.5,6,True
M1,30.0,7.0,stratified,,1923,506,1416,7.0,7.0,72.28571428571429,202.28571428571428,2.7984189723320156,218.14285714285714,202.42857142857142,,,,,False,8.578478525994797,13.719494959455117,20.889858016570088,9.58,11.34,12.79,1.6,1.9,2.4,6,True
M1,30.0,7.0,stratified,1.2,1859,479,1379,7.0,7.0,68.42857142857143,197.0,2.8789144050104385,212.85714285714286,197.14285714285714,,,,,False,8.688425069204559,13.856492265355302,21.040505342539248,9.57,11.34,12.8,1.6,1.9,2.4,6,True
M1,30.0,7.0,stratified,1.5,1590,371,1218,7.0,7.0,53.0,174.0,3.2830188679245285,188.71428571428572,174.14285714285714,,,,,False,8.88802750379356,14.45569357272632,21.26920470527603,9.622499999999999,11.45,12.9975,1.7,2.0,2.6,6,True
M1,30.0,7.0,stratified,2.0,867,174,692,7.0,7.0,24.857142857142858,98.85714285714286,3.977011494252874,110.14285714285714,99.0,,,,,False,9.638514139907429,15.563092207934144,21.876101593443906,10.004999999999999,12.16,13.754999999999999,2.2,2.5,3.1,6,True
M1,30.0,7.0,stratified,2.5,449,99,349,7.0,7.0,14.142857142857142,49.857142857142854,3.525252525252525,58.285714285714285,50.0,,,,,False,8.739497821204722,15.243216151510628,21.420196909730386,10.7,12.58,14.09,2.7,3.1,3.5,6,True
M1,30.0,30.0,all,,2591,519,2071,30.0,30.0,17.3,69.03333333333333,3.9903660886319843,237.0,17.857142857142858,0.01,227.29978007421198,0.6035498463481743,0.915266388113204,True,9.656572229509818,14.811243369708498,21.74858651582821,9.46,11.29,12.79,1.5,1.8,2.3,6,True
M1,30.0,30.0,all,1.2,2495,492,2002,30.0,30.0,16.4,66.73333333333333,4.069105691056911,230.0,16.57142857142857,0.01,221.6607120659214,0.614059930112035,0.9155994503281584,True,9.723219983134257,15.00474093066905,21.86905113322618,9.465,11.3,12.81,1.5,1.8,2.3,6,True
M1,30.0,30.0,all,1.5,2060,381,1678,30.0,30.0,12.7,55.93333333333333,4.404199475065616,201.14285714285714,12.5,0.01,192.77853015767624,0.6696377594670564,0.9170180178871111,True,9.871019480080173,15.26377937524595,21.892690822769865,9.5375,11.42,13.0,1.7,2.0,2.425,6,True
M1,30.0,30.0,all,2.0,1042,180,861,30.0,30.0,6.0,28.7,4.783333333333333,115.28571428571429,5.071428571428571,0.01,105.01682845903764,0.8523939478044064,0.9437953291137678,True,10.236636289835749,15.900741240580318,22.108424676783777,10.29,12.27,13.8475,2.2,2.4,3.0,6,True
M1,30.0,30.0,all,2.5,515,102,412,30.0,30.0,3.4,13.733333333333333,4.03921568627451,60.0,1.8571428571428572,0.01,48.94853461912918,0.9963574497393441,0.9657456526182046,True,9.272396991953023,15.421285932633065,21.42838671956374,10.76,12.69,14.18,2.7,3.0,3.5,6,True
M1,30.0,30.0,mainshock_window,,2591,519,2071,30.0,30.0,17.3,69.03333333333333,3.9903660886319843,237.0,17.857142857142858,0.01,227.29978007421198,0.6035498463481743,0.915266388113204,True,9.656572229509818,14.811243369708498,21.74858651582821,9.46,11.29,12.79,1.5,1.8,2.3,6,True
M1,30.0,30.0,mainshock_window,1.2,2495,492,2002,30.0,30.0,16.4,66.73333333333333,4.069105691056911,230.0,16.57142857142857,0.01,221.6607120659214,0.614059930112035,0.9155994503281584,True,9.723219983134257,15.00474093066905,21.86905113322618,9.465,11.3,12.81,1.5,1.8,2.3,6,True
M1,30.0,30.0,mainshock_window,1.5,2060,381,1678,30.0,30.0,12.7,55.93333333333333,4.404199475065616,201.14285714285714,12.5,0.01,192.77853015767624,0.6696377594670564,0.9170180178871111,True,9.871019480080173,15.26377937524595,21.892690822769865,9.5375,11.42,13.0,1.7,2.0,2.425,6,True
M1,30.0,30.0,mainshock_window,2.0,1042,180,861,30.0,30.0,6.0,28.7,4.783333333333333,115.28571428571429,5.071428571428571,0.01,105.01682845903764,0.8523939478044064,0.9437953291137678,True,10.236636289835749,15.900741240580318,22.108424676783777,10.29,12.27,13.8475,2.2,2.4,3.0,6,True
M1,30.0,30.0,mainshock_window,2.5,515,102,412,30.0,30.0,3.4,13.733333333333333,4.03921568627451,60.0,1.8571428571428572,0.01,48.94853461912918,0.9963574497393441,0.9657456526182046,True,9.272396991953023,15.421285932633065,21.42838671956374,10.76,12.69,14.18,2.7,3.0,3.5,6,True
M1,30.0,30.0,stratified,,2586,519,2066,30.0,30.0,17.3,68.86666666666666,3.9807321772639686,236.57142857142858,17.857142857142858,0.01,226.73314616299174,0.6035601864929089,0.9154422728186404,True,9.650353906317493,14.807655960113397,21.71311039702458,9.46,11.28,12.7875,1.5,1.8,2.3,6,True
M1,30.0,30.0,stratified,1.2,2490,492,1997,30.0,30.0,16.4,66.56666666666666,4.058943089430894,229.57142857142858,16.57142857142857,0.01,221.09896668637572,0.6140914887403828,0.9157829709175542,True,9.715977900945276,14.888841947345359,21.8275053265937,9.46,11.3,12.8,1.5,1.8,2.3,6,True
M1,30.0,30.0,stratified,1.5,2056,381,1674,30.0,30.0,12.7,55.8,4.393700787401575,200.71428571428572,12.5,0.01,192.3289889787255,0.6695024298308427,0.9173268733006315,True,9.867329242776105,15.23960097336456,21.872824008450944,9.53,11.415,12.9825,1.7,2.0,2.5,6,True
M1,30.0,30.0,stratified,2.0,1040,180,859,30.0,30.0,6.0,28.633333333333333,4.772222222222222,115.0,5.071428571428571,0.01,104.81844572498997,0.8518837975032474,0.9440878281851911,True,10.218971537921554,15.900019080309155,22.078391096726488,10.2775,12.27,13.825,2.2,2.4,3.0,6,True
M1,30.0,30.0,stratified,2.5,515,102,412,30.0,30.0,3.4,13.733333333333333,4.03921568627451,60.0,1.8571428571428572,0.01,48.94853461912918,0.9963574497393441,0.9657456526182046,True,9.272396991953023,15.421285932633065,21.42838671956374,10.76,12.69,14.18,2.7,3.0,3.5,6,True
M1,30.0,60.0,all,,2882,543,2338,60.0,60.0,9.05,38.96666666666667,4.305709023941068,235.85714285714286,8.142857142857142,0.01,209.9885635442861,0.6604643338043101,0.9248734145933316,True,9.869132952870462,15.270219437798495,21.857699788005103,9.4825,11.295,12.78,1.5,1.8,2.3,6,True
M1,30.0,60.0,all,1.2,2769,512,2256,60.0,60.0,8.533333333333333,37.6,4.40625,228.71428571428572,7.857142857142857,0.01,204.98471093600975,0.6702358640119311,0.9257682218245425,True,9.918714520374756,15.421285932633065,21.929292605888914,9.51,11.31,12.8,1.5,1.8,2.3,6,True
M1,30.0,60.0,all,1.5,2261,392,1868,60.0,60.0,6.533333333333333,31.133333333333333,4.76530612244898,199.71428571428572,5.571428571428571,0.01,179.09402973807212,0.7225814613581448,0.9302006813517439,True,10.221922779265697,15.599349515663063,21.93823003168108,9.59,11.44,12.99,1.7,1.9,2.4,6,True
M1,30.0,60.0,all,2.0,1121,186,934,60.0,60.0,3.1,15.566666666666666,5.021505376344086,114.71428571428571,2.0,0.01,100.06771061063897,0.886481161475677,0.9556460093723007,True,10.477643761672994,16.101972936277146,22.204200482208606,10.38,12.32,13.82,2.2,2.4,3.0,6,True
M1,30.0,60.0,all,2.5,553,108,444,60.0,60.0,1.8,7.4,4.111111111111112,58.142857142857146,1.0,0.01,48.797786760492684,1.0035838657424858,0.9739264173018191,True,9.553878041823832,15.727689803774265,21.604846089259375,10.93,12.77,14.19,2.7,3.0,3.5,6,True
M1,30.0,60.0,mainshock_window,,2882,543,2338,60.0,60.0,9.05,38.96666666666667,4.305709023941068,235.85714285714286,8.142857142857142,0.01,209.9885635442861,0.6604643338043101,0.9248734145933316,True,9.869132952870462,15.270219437798495,21.857699788005103,9.4825,11.295,12.78,1.5,1.8,2.3,6,True
M1,30.0,60.0,mainshock_window,1.2,2769,512,2256,60.0,60.0,8.533333333333333,37.6,4.40625,228.71428571428572,7.857142857142857,0.01,204.98471093600975,0.6702358640119311,0.9257682218245425,True,9.918714520374756,15.421285932633065,21.929292605888914,9.51,11.31,12.8,1.5,1.8,2.3,6,True
M1,30.0,60.0,mainshock_window,1.5,2261,392,1868,60.0,60.0,6.533333333333333,31.133333333333333,4.76530612244898,199.71428571428572,5.571428571428571,0.01,179.09402973807212,0.7225814613581448,0.9302006813517439,True,10.221922779265697,15.599349515663063,21.93823003168108,9.59,11.44,12.99,1.7,1.9,2.4,6,True
M1,30.0,60.0,mainshock_window,2.0,1121,186,934,60.0,60.0,3.1,15.566666666666666,5.021505376344086,114.71428571428571,2.0,0.01,100.06771061063897,0.886481161475677,0.9556460093723007,True,10.477643761672994,16.101972936277146,22.204200482208606,10.38,12.32,13.82,2.2,2.4,3.0,6,True
M1,30.0,60.0,mainshock_window,2.5,553,108,444,60.0,60.0,1.8,7.4,4.111111111111112,58.142857142857146,1.0,0.01,48.797786760492684,1.0035838657424858,0.9739264173018191,True,9.553878041823832,15.727689803774265,21.604846089259375,10.93,12.77,14.19,2.7,3.0,3.5,6,True
M1,30.0,60.0,stratified,,2877,543,2333,60.0,60.0,9.05,38.88333333333333,4.296500920810312,235.42857142857142,8.142857142857142,0.01,209.49929824047248,0.6602128046373527,0.9250754010357656,True,9.864665518068831,15.239895160855019,21.826973164340423,9.48,11.28,12.77,1.5,1.8,2.3,6,True
M1,30.0,60.0,stratified,1.2,2764,512,2251,60.0,60.0,8.533333333333333,37.516666666666666,4.396484375,228.28571428571428,7.857142857142857,0.01,204.50135873628315,0.6699957797454514,0.9259791783477971,True,9.9072952686088,15.368827428107306,21.910990288383648,9.4975,11.3,12.7925,1.5,1.8,2.3,6,True
