mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,distribution,bin_left,bin_right,count,fraction
M1,30.0,7.0,all,,depth,0.0,10.0,598,0.31048805815160957
M1,30.0,7.0,all,,depth,10.0,20.0,1309,0.6796469366562824
M1,30.0,7.0,all,,depth,20.0,30.0,19,0.009865005192107996
M1,30.0,7.0,all,,depth,30.0,40.0,0,0.0
M1,30.0,7.0,all,,depth,40.0,50.0,0,0.0
M1,30.0,7.0,all,,depth,50.0,80.0,0,0.0
M1,30.0,7.0,all,,depth,80.0,120.0,0,0.0
M1,30.0,7.0,all,1.2,depth,0.0,10.0,580,0.31149301825993553
M1,30.0,7.0,all,1.2,depth,10.0,20.0,1265,0.6793770139634802
M1,30.0,7.0,all,1.2,depth,20.0,30.0,17,0.009129967776584319
M1,30.0,7.0,all,1.2,depth,30.0,40.0,0,0.0
M1,30.0,7.0,all,1.2,depth,40.0,50.0,0,0.0
M1,30.0,7.0,all,1.2,depth,50.0,80.0,0,0.0
M1,30.0,7.0,all,1.2,depth,80.0,120.0,0,0.0
M1,30.0,7.0,all,1.5,depth,0.0,10.0,484,0.30382925298179536
M1,30.0,7.0,all,1.5,depth,10.0,20.0,1092,0.6854990583804144
M1,30.0,7.0,all,1.5,depth,20.0,30.0,17,0.010671688637790333
M1,30.0,7.0,all,1.5,depth,30.0,40.0,0,0.0
M1,30.0,7.0,all,1.5,depth,40.0,50.0,0,0.0
M1,30.0,7.0,all,1.5,depth,50.0,80.0,0,0.0
M1,30.0,7.0,all,1.5,depth,80.0,120.0,0,0.0
M1,30.0,7.0,all,2.0,depth,0.0,10.0,217,0.24971231300345226
M1,30.0,7.0,all,2.0,depth,10.0,20.0,641,0.7376294591484465
M1,30.0,7.0,all,2.0,depth,20.0,30.0,11,0.012658227848101266
M1,30.0,7.0,all,2.0,depth,30.0,40.0,0,0.0
M1,30.0,7.0,all,2.0,depth,40.0,50.0,0,0.0
M1,30.0,7.0,all,2.0,depth,50.0,80.0,0,0.0
M1,30.0,7.0,all,2.0,depth,80.0,120.0,0,0.0
M1,30.0,7.0,all,2.5,depth,0.0,10.0,86,0.1915367483296214
M1,30.0,7.0,all,2.5,depth,10.0,20.0,358,0.7973273942093542
M1,30.0,7.0,all,2.5,depth,20.0,30.0,5,0.011135857461024499
M1,30.0,7.0,all,2.5,depth,30.0,40.0,0,0.0
M1,30.0,7.0,all,2.5,depth,40.0,50.0,0,0.0
M1,30.0,7.0,all,2.5,depth,50.0,80.0,0,0.0
M1,30.0,7.0,all,2.5,depth,80.0,120.0,0,0.0
M1,30.0,7.0,mainshock_window,,depth,0.0,10.0,598,0.31048805815160957
M1,30.0,7.0,mainshock_window,,depth,10.0,20.0,1309,0.6796469366562824
M1,30.0,7.0,mainshock_window,,depth,20.0,30.0,19,0.009865005192107996
M1,30.0,7.0,mainshock_window,,depth,30.0,40.0,0,0.0
M1,30.0,7.0,mainshock_window,,depth,40.0,50.0,0,0.0
M1,30.0,7.0,mainshock_window,,depth,50.0,80.0,0,0.0
M1,30.0,7.0,mainshock_window,,depth,80.0,120.0,0,0.0
M1,30.0,7.0,mainshock_window,1.2,depth,0.0,10.0,580,0.31149301825993553
M1,30.0,7.0,mainshock_window,1.2,depth,10.0,20.0,1265,0.6793770139634802
M1,30.0,7.0,mainshock_window,1.2,depth,20.0,30.0,17,0.009129967776584319
M1,30.0,7.0,mainshock_window,1.2,depth,30.0,40.0,0,0.0
M1,30.0,7.0,mainshock_window,1.2,depth,40.0,50.0,0,0.0
M1,30.0,7.0,mainshock_window,1.2,depth,50.0,80.0,0,0.0
M1,30.0,7.0,mainshock_window,1.2,depth,80.0,120.0,0,0.0
M1,30.0,7.0,mainshock_window,1.5,depth,0.0,10.0,484,0.30382925298179536
M1,30.0,7.0,mainshock_window,1.5,depth,10.0,20.0,1092,0.6854990583804144
M1,30.0,7.0,mainshock_window,1.5,depth,20.0,30.0,17,0.010671688637790333
M1,30.0,7.0,mainshock_window,1.5,depth,30.0,40.0,0,0.0
M1,30.0,7.0,mainshock_window,1.5,depth,40.0,50.0,0,0.0
M1,30.0,7.0,mainshock_window,1.5,depth,50.0,80.0,0,0.0
M1,30.0,7.0,mainshock_window,1.5,depth,80.0,120.0,0,0.0
M1,30.0,7.0,mainshock_window,2.0,depth,0.0,10.0,217,0.24971231300345226
M1,30.0,7.0,mainshock_window,2.0,depth,10.0,20.0,641,0.7376294591484465
M1,30.0,7.0,mainshock_window,2.0,depth,20.0,30.0,11,0.012658227848101266
M1,30.0,7.0,mainshock_window,2.0,depth,30.0,40.0,0,0.0
M1,30.0,7.0,mainshock_window,2.0,depth,40.0,50.0,0,0.0
M1,30.0,7.0,mainshock_window,2.0,depth,50.0,80.0,0,0.0
M1,30.0,7.0,mainshock_window,2.0,depth,80.0,120.0,0,0.0
M1,30.0,7.0,mainshock_window,2.5,depth,0.0,10.0,86,0.1915367483296214
M1,30.0,7.0,mainshock_window,2.5,depth,10.0,20.0,358,0.7973273942093542
M1,30.0,7.0,mainshock_window,2.5,depth,20.0,30.0,5,0.011135857461024499
M1,30.0,7.0,mainshock_window,2.5,depth,30.0,40.0,0,0.0
M1,30.0,7.0,mainshock_window,2.5,depth,40.0,50.0,0,0.0
M1,30.0,7.0,mainshock_window,2.5,depth,50.0,80.0,0,0.0
M1,30.0,7.0,mainshock_window,2.5,depth,80.0,120.0,0,0.0
M1,30.0,7.0,stratified,,depth,0.0,10.0,598,0.3109724388975559
M1,30.0,7.0,stratified,,depth,10.0,20.0,1309,0.6807072282891315
M1,30.0,7.0,stratified,,depth,20.0,30.0,16,0.008320332813312533
M1,30.0,7.0,stratified,,depth,30.0,40.0,0,0.0
M1,30.0,7.0,stratified,,depth,40.0,50.0,0,0.0
M1,30.0,7.0,stratified,,depth,50.0,80.0,0,0.0
M1,30.0,7.0,stratified,,depth,80.0,120.0,0,0.0
M1,30.0,7.0,stratified,1.2,depth,0.0,10.0,580,0.31199569661108123
