mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,distribution,bin_left,bin_right,count,fraction
M1,30.0,7.0,all,,mag,0.5,0.75,1,0.0005192107995846313
M1,30.0,7.0,all,,mag,0.75,1.0,8,0.004153686396677051
M1,30.0,7.0,all,,mag,1.0,1.25,122,0.06334371754932502
M1,30.0,7.0,all,,mag,1.25,1.5,202,0.10488058151609553
M1,30.0,7.0,all,,mag,1.5,1.75,459,0.2383177570093458
M1,30.0,7.0,all,,mag,1.75,2.0,265,0.1375908618899273
M1,30.0,7.0,all,,mag,2.0,2.25,289,0.15005192107995846
M1,30.0,7.0,all,,mag,2.25,2.5,131,0.0680166147455867
M1,30.0,7.0,all,,mag,2.5,2.75,123,0.06386292834890965
M1,30.0,7.0,all,,mag,2.75,3.0,76,0.03946002076843198
M1,30.0,7.0,all,,mag,3.0,3.25,77,0.03997923156801662
M1,30.0,7.0,all,,mag,3.25,3.5,45,0.02336448598130841
M1,30.0,7.0,all,,mag,3.5,3.75,46,0.023883696780893044
M1,30.0,7.0,all,,mag,3.75,4.0,16,0.008307372793354102
M1,30.0,7.0,all,,mag,4.0,4.25,18,0.009345794392523364
M1,30.0,7.0,all,,mag,4.25,4.5,4,0.0020768431983385254
M1,30.0,7.0,all,,mag,4.5,4.75,15,0.00778816199376947
M1,30.0,7.0,all,,mag,4.75,5.0,4,0.0020768431983385254
M1,30.0,7.0,all,,mag,5.0,5.25,10,0.005192107995846314
M1,30.0,7.0,all,,mag,5.25,5.5,4,0.0020768431983385254
M1,30.0,7.0,all,,mag,5.5,5.75,4,0.0020768431983385254
M1,30.0,7.0,all,,mag,5.75,6.0,3,0.001557632398753894
M1,30.0,7.0,all,,mag,6.0,6.25,1,0.0005192107995846313
M1,30.0,7.0,all,,mag,6.25,6.5,1,0.0005192107995846313
M1,30.0,7.0,all,,mag,6.5,6.75,1,0.0005192107995846313
M1,30.0,7.0,all,,mag,6.75,7.0,1,0.0005192107995846313
M1,30.0,7.0,all,1.2,mag,1.0,1.25,67,0.0359828141783029
M1,30.0,7.0,all,1.2,mag,1.25,1.5,202,0.10848549946294307
M1,30.0,7.0,all,1.2,mag,1.5,1.75,459,0.24650912996777657
M1,30.0,7.0,all,1.2,mag,1.75,2.0,265,0.1423200859291085
M1,30.0,7.0,all,1.2,mag,2.0,2.25,289,0.1552094522019334
M1,30.0,7.0,all,1.2,mag,2.25,2.5,131,0.07035445757250268
M1,30.0,7.0,all,1.2,mag,2.5,2.75,123,0.06605800214822771
M1,30.0,7.0,all,1.2,mag,2.75,3.0,76,0.04081632653061224
M1,30.0,7.0,all,1.2,mag,3.0,3.25,77,0.041353383458646614
M1,30.0,7.0,all,1.2,mag,3.25,3.5,45,0.024167561761546726
M1,30.0,7.0,all,1.2,mag,3.5,3.75,46,0.024704618689581095
M1,30.0,7.0,all,1.2,mag,3.75,4.0,16,0.008592910848549946
M1,30.0,7.0,all,1.2,mag,4.0,4.25,18,0.00966702470461869
M1,30.0,7.0,all,1.2,mag,4.25,4.5,4,0.0021482277121374865
M1,30.0,7.0,all,1.2,mag,4.5,4.75,15,0.008055853920515575
M1,30.0,7.0,all,1.2,mag,4.75,5.0,4,0.0021482277121374865
M1,30.0,7.0,all,1.2,mag,5.0,5.25,10,0.0053705692803437165
M1,30.0,7.0,all,1.2,mag,5.25,5.5,4,0.0021482277121374865
M1,30.0,7.0,all,1.2,mag,5.5,5.75,4,0.0021482277121374865
M1,30.0,7.0,all,1.2,mag,5.75,6.0,3,0.001611170784103115
M1,30.0,7.0,all,1.2,mag,6.0,6.25,1,0.0005370569280343716
M1,30.0,7.0,all,1.2,mag,6.25,6.5,1,0.0005370569280343716
M1,30.0,7.0,all,1.2,mag,6.5,6.75,1,0.0005370569280343716
M1,30.0,7.0,all,1.2,mag,6.75,7.0,1,0.0005370569280343716
M1,30.0,7.0,all,1.5,mag,1.5,1.75,459,0.288135593220339
M1,30.0,7.0,all,1.5,mag,1.75,2.0,265,0.16635279347143753
M1,30.0,7.0,all,1.5,mag,2.0,2.25,289,0.18141870684243566
M1,30.0,7.0,all,1.5,mag,2.25,2.5,131,0.08223477715003139
M1,30.0,7.0,all,1.5,mag,2.5,2.75,123,0.07721280602636535
M1,30.0,7.0,all,1.5,mag,2.75,3.0,76,0.04770872567482737
M1,30.0,7.0,all,1.5,mag,3.0,3.25,77,0.04833647206528562
M1,30.0,7.0,all,1.5,mag,3.25,3.5,45,0.02824858757062147
M1,30.0,7.0,all,1.5,mag,3.5,3.75,46,0.028876333961079723
M1,30.0,7.0,all,1.5,mag,3.75,4.0,16,0.010043942247332079
M1,30.0,7.0,all,1.5,mag,4.0,4.25,18,0.011299435028248588
M1,30.0,7.0,all,1.5,mag,4.25,4.5,4,0.0025109855618330196
M1,30.0,7.0,all,1.5,mag,4.5,4.75,15,0.009416195856873822
M1,30.0,7.0,all,1.5,mag,4.75,5.0,4,0.0025109855618330196
M1,30.0,7.0,all,1.5,mag,5.0,5.25,10,0.006277463904582548
M1,30.0,7.0,all,1.5,mag,5.25,5.5,4,0.0025109855618330196
M1,30.0,7.0,all,1.5,mag,5.5,5.75,4,0.0025109855618330196
M1,30.0,7.0,all,1.5,mag,5.75,6.0,3,0.0018832391713747645
M1,30.0,7.0,all,1.5,mag,6.0,6.25,1,0.0006277463904582549
M1,30.0,7.0,all,1.5,mag,6.25,6.5,1,0.0006277463904582549
M1,30.0,7.0,all,1.5,mag,6.5,6.75,1,0.0006277463904582549
M1,30.0,7.0,all,1.5,mag,6.75,7.0,1,0.0006277463904582549
M1,30.0,7.0,all,2.0,mag,2.0,2.25,289,0.33256616800920596
M1,30.0,7.0,all,2.0,mag,2.25,2.5,131,0.15074798619102417
M1,30.0,7.0,all,2.0,mag,2.5,2.75,123,0.14154200230149597
M1,30.0,7.0,all,2.0,mag,2.75,3.0,76,0.08745684695051784
M1,30.0,7.0,all,2.0,mag,3.0,3.25,77,0.08860759493670886
M1,30.0,7.0,all,2.0,mag,3.25,3.5,45,0.05178365937859609
M1,30.0,7.0,all,2.0,mag,3.5,3.75,46,0.05293440736478711
M1,30.0,7.0,all,2.0,mag,3.75,4.0,16,0.018411967779056387
M1,30.0,7.0,all,2.0,mag,4.0,4.25,18,0.020713463751438434
M1,30.0,7.0,all,2.0,mag,4.25,4.5,4,0.004602991944764097
M1,30.0,7.0,all,2.0,mag,4.5,4.75,15,0.01726121979286536
M1,30.0,7.0,all,2.0,mag,4.75,5.0,4,0.004602991944764097
M1,30.0,7.0,all,2.0,mag,5.0,5.25,10,0.011507479861910242
M1,30.0,7.0,all,2.0,mag,5.25,5.5,4,0.004602991944764097
