mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,distribution,bin_left,bin_right,count,fraction
M1,30.0,7.0,all,,radial,0.0,5.0,149,0.07736240913811007
M1,30.0,7.0,all,,radial,5.0,10.0,461,0.23935617860851505
M1,30.0,7.0,all,,radial,10.0,15.0,446,0.23156801661474558
M1,30.0,7.0,all,,radial,15.0,20.0,321,0.16666666666666666
M1,30.0,7.0,all,,radial,20.0,25.0,370,0.1921079958463136
M1,30.0,7.0,all,,radial,25.0,30.0,179,0.09293873312564901
M1,30.0,7.0,all,1.2,radial,0.0,5.0,141,0.0757250268528464
M1,30.0,7.0,all,1.2,radial,5.0,10.0,439,0.23576799140708915
M1,30.0,7.0,all,1.2,radial,10.0,15.0,427,0.22932330827067668
M1,30.0,7.0,all,1.2,radial,15.0,20.0,313,0.16809881847475833
M1,30.0,7.0,all,1.2,radial,20.0,25.0,364,0.19548872180451127
M1,30.0,7.0,all,1.2,radial,25.0,30.0,178,0.09559613319011816
M1,30.0,7.0,all,1.5,radial,0.0,5.0,117,0.07344632768361582
M1,30.0,7.0,all,1.5,radial,5.0,10.0,349,0.21908349026993096
M1,30.0,7.0,all,1.5,radial,10.0,15.0,362,0.22724419334588827
M1,30.0,7.0,all,1.5,radial,15.0,20.0,286,0.17953546767106088
M1,30.0,7.0,all,1.5,radial,20.0,25.0,320,0.20087884494664154
M1,30.0,7.0,all,1.5,radial,25.0,30.0,159,0.09981167608286252
M1,30.0,7.0,all,2.0,radial,0.0,5.0,60,0.06904487917146145
M1,30.0,7.0,all,2.0,radial,5.0,10.0,167,0.19217491369390102
M1,30.0,7.0,all,2.0,radial,10.0,15.0,189,0.21749136939010358
M1,30.0,7.0,all,2.0,radial,15.0,20.0,174,0.2002301495972382
M1,30.0,7.0,all,2.0,radial,20.0,25.0,193,0.22209436133486765
M1,30.0,7.0,all,2.0,radial,25.0,30.0,86,0.09896432681242807
M1,30.0,7.0,all,2.5,radial,0.0,5.0,40,0.08908685968819599
M1,30.0,7.0,all,2.5,radial,5.0,10.0,92,0.20489977728285078
M1,30.0,7.0,all,2.5,radial,10.0,15.0,90,0.20044543429844097
M1,30.0,7.0,all,2.5,radial,15.0,20.0,88,0.19599109131403117
M1,30.0,7.0,all,2.5,radial,20.0,25.0,102,0.22717149220489977
M1,30.0,7.0,all,2.5,radial,25.0,30.0,37,0.08240534521158129
M1,30.0,7.0,mainshock_window,,radial,0.0,5.0,149,0.07736240913811007
M1,30.0,7.0,mainshock_window,,radial,5.0,10.0,461,0.23935617860851505
M1,30.0,7.0,mainshock_window,,radial,10.0,15.0,446,0.23156801661474558
M1,30.0,7.0,mainshock_window,,radial,15.0,20.0,321,0.16666666666666666
M1,30.0,7.0,mainshock_window,,radial,20.0,25.0,370,0.1921079958463136
