mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,time_bin_start_days,time_bin_end_days,count,rate_per_day,pre_post
M1,30.0,7.0,all,1.2,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,all,1.2,-6.0,-5.0,38,38.0,pre
M1,30.0,7.0,all,1.2,-5.0,-4.0,21,21.0,pre
M1,30.0,7.0,all,1.2,-4.0,-3.0,28,28.0,pre
M1,30.0,7.0,all,1.2,-3.0,-2.0,18,18.0,pre
M1,30.0,7.0,all,1.2,-2.0,-1.0,76,76.0,pre
M1,30.0,7.0,all,1.2,-1.0,0.0,297,297.0,pre
M1,30.0,7.0,all,1.2,0.0,1.0,605,605.0,post
M1,30.0,7.0,all,1.2,1.0,2.0,262,262.0,post
M1,30.0,7.0,all,1.2,2.0,3.0,145,145.0,post
M1,30.0,7.0,all,1.2,3.0,4.0,135,135.0,post
M1,30.0,7.0,all,1.2,4.0,5.0,90,90.0,post
M1,30.0,7.0,all,1.2,5.0,6.0,82,82.0,post
M1,30.0,7.0,all,1.2,6.0,7.0,64,64.0,post
M1,30.0,7.0,all,1.5,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,all,1.5,-6.0,-5.0,27,27.0,pre
M1,30.0,7.0,all,1.5,-5.0,-4.0,11,11.0,pre
M1,30.0,7.0,all,1.5,-4.0,-3.0,19,19.0,pre
M1,30.0,7.0,all,1.5,-3.0,-2.0,15,15.0,pre
M1,30.0,7.0,all,1.5,-2.0,-1.0,61,61.0,pre
M1,30.0,7.0,all,1.5,-1.0,0.0,237,237.0,pre
M1,30.0,7.0,all,1.5,0.0,1.0,582,582.0,post
M1,30.0,7.0,all,1.5,1.0,2.0,233,233.0,post
M1,30.0,7.0,all,1.5,2.0,3.0,125,125.0,post
M1,30.0,7.0,all,1.5,3.0,4.0,102,102.0,post
M1,30.0,7.0,all,1.5,4.0,5.0,68,68.0,post
M1,30.0,7.0,all,1.5,5.0,6.0,64,64.0,post
M1,30.0,7.0,all,1.5,6.0,7.0,48,48.0,post
M1,30.0,7.0,all,2.0,-6.0,-5.0,10,10.0,pre
M1,30.0,7.0,all,2.0,-5.0,-4.0,7,7.0,pre
M1,30.0,7.0,all,2.0,-4.0,-3.0,6,6.0,pre
M1,30.0,7.0,all,2.0,-3.0,-2.0,3,3.0,pre
M1,30.0,7.0,all,2.0,-2.0,-1.0,22,22.0,pre
M1,30.0,7.0,all,2.0,-1.0,0.0,126,126.0,pre
M1,30.0,7.0,all,2.0,0.0,1.0,417,417.0,post
M1,30.0,7.0,all,2.0,1.0,2.0,120,120.0,post
M1,30.0,7.0,all,2.0,2.0,3.0,54,54.0,post
M1,30.0,7.0,all,2.0,3.0,4.0,44,44.0,post
M1,30.0,7.0,all,2.0,4.0,5.0,24,24.0,post
M1,30.0,7.0,all,2.0,5.0,6.0,25,25.0,post
M1,30.0,7.0,all,2.0,6.0,7.0,11,11.0,post
M1,30.0,7.0,all,2.5,-6.0,-5.0,4,4.0,pre
