mainshock,control_type,time_window_days,radius_km,mag_threshold,n_total,n_pre,n_post,pre_rate,post_rate,rate_ratio
M1,observed_baseline,7.0,50.0,,2259,512,1746,73.14285714285714,249.42857142857142,3.41015625
M1,shifted_background,7.0,50.0,,199,122,77,17.428571428571427,11.0,0.6311475409836066
M1,observed_baseline,7.0,50.0,1.2,2187,484,1702,69.14285714285714,243.14285714285714,3.5165289256198347
M1,shifted_background,7.0,50.0,1.2,179,114,65,16.285714285714285,9.285714285714286,0.5701754385964913
M1,observed_baseline,7.0,50.0,1.5,1867,376,1490,53.714285714285715,212.85714285714286,3.9627659574468086
M1,shifted_background,7.0,50.0,1.5,127,85,42,12.142857142857142,6.0,0.49411764705882355
M1,observed_baseline,7.0,50.0,2.0,1000,177,822,25.285714285714285,117.42857142857143,4.6440677966101696
M1,shifted_background,7.0,50.0,2.0,60,45,15,6.428571428571429,2.142857142857143,0.3333333333333333
M1,observed_baseline,30.0,50.0,,3261,543,2717,18.1,90.56666666666666,5.003683241252301
M1,shifted_background,30.0,50.0,,943,218,725,7.266666666666667,24.166666666666668,3.325688073394496
M1,observed_baseline,30.0,50.0,1.2,3135,513,2621,17.1,87.36666666666666,5.109161793372319
M1,shifted_background,30.0,50.0,1.2,819,205,614,6.833333333333333,20.466666666666665,2.995121951219512
M1,observed_baseline,30.0,50.0,1.5,2558,396,2161,13.2,72.03333333333333,5.457070707070708
M1,shifted_background,30.0,50.0,1.5,560,153,407,5.1,13.566666666666666,2.6601307189542487
M1,observed_baseline,30.0,50.0,2.0,1272,187,1084,6.233333333333333,36.13333333333333,5.7967914438502675
M1,shifted_background,30.0,50.0,2.0,266,72,194,2.4,6.466666666666667,2.6944444444444446
M1,observed_baseline,60.0,50.0,,3666,570,3095,9.5,51.583333333333336,5.429824561403509
M1,shifted_background,60.0,50.0,,2997,433,2564,7.216666666666667,42.733333333333334,5.92147806004619
M1,observed_baseline,60.0,50.0,1.2,3505,536,2968,8.933333333333334,49.46666666666667,5.537313432835821
M1,shifted_background,60.0,50.0,1.2,2653,402,2251,6.7,37.516666666666666,5.599502487562189
M1,observed_baseline,60.0,50.0,1.5,2823,409,2413,6.816666666666666,40.21666666666667,5.8997555012224945
M1,shifted_background,60.0,50.0,1.5,1962,298,1664,4.966666666666667,27.733333333333334,5.583892617449664
M1,observed_baseline,60.0,50.0,2.0,1371,193,1177,3.216666666666667,19.616666666666667,6.098445595854923
M1,shifted_background,60.0,50.0,2.0,1005,128,877,2.1333333333333333,14.616666666666667,6.8515625
M1,observed_baseline,90.0,50.0,,3923,612,3310,6.8,36.77777777777778,5.408496732026144
M1,shifted_background,90.0,50.0,,3375,811,2564,9.011111111111111,28.488888888888887,3.161528976572133
M1,observed_baseline,90.0,50.0,1.2,3732,566,3165,6.288888888888889,35.166666666666664,5.591872791519434
M1,shifted_background,90.0,50.0,1.2,3000,749,2251,8.322222222222223,25.011111111111113,3.005340453938585
M1,observed_baseline,90.0,50.0,1.5,2985,426,2558,4.733333333333333,28.42222222222222,6.004694835680751
M1,shifted_background,90.0,50.0,1.5,2214,550,1664,6.111111111111111,18.488888888888887,3.0254545454545454
M1,observed_baseline,90.0,50.0,2.0,1435,201,1233,2.2333333333333334,13.7,6.134328358208955
M1,shifted_background,90.0,50.0,2.0,1098,221,877,2.4555555555555557,9.744444444444444,3.968325791855203
M2,observed_baseline,7.0,50.0,,1046,10,1035,1.4285714285714286,147.85714285714286,103.5
M2,shifted_background,7.0,50.0,,39,18,21,2.5714285714285716,3.0,1.1666666666666665
M2,observed_baseline,7.0,50.0,1.2,789,5,783,0.7142857142857143,111.85714285714286,156.6
M2,shifted_background,7.0,50.0,1.2,19,11,8,1.5714285714285714,1.1428571428571428,0.7272727272727273
M2,observed_baseline,7.0,50.0,1.5,520,4,515,0.5714285714285714,73.57142857142857,128.75
M2,shifted_background,7.0,50.0,1.5,9,4,5,0.5714285714285714,0.7142857142857143,1.25
M2,observed_baseline,7.0,50.0,2.0,258,1,256,0.14285714285714285,36.57142857142857,256.0
M2,shifted_background,7.0,50.0,2.0,7,3,4,0.42857142857142855,0.5714285714285714,1.3333333333333333
M2,observed_baseline,30.0,50.0,,1732,64,1667,2.1333333333333333,55.56666666666667,26.046875000000004
M2,shifted_background,30.0,50.0,,218,142,76,4.733333333333333,2.533333333333333,0.5352112676056338
M2,observed_baseline,30.0,50.0,1.2,1200,34,1165,1.1333333333333333,38.833333333333336,34.26470588235294
M2,shifted_background,30.0,50.0,1.2,121,83,38,2.7666666666666666,1.2666666666666666,0.4578313253012048
M2,observed_baseline,30.0,50.0,1.5,760,21,738,0.7,24.6,35.142857142857146
M2,shifted_background,30.0,50.0,1.5,68,47,21,1.5666666666666667,0.7,0.44680851063829785
M2,observed_baseline,30.0,50.0,2.0,366,7,358,0.23333333333333334,11.933333333333334,51.142857142857146
M2,shifted_background,30.0,50.0,2.0,32,19,13,0.6333333333333333,0.43333333333333335,0.6842105263157895
M2,observed_baseline,60.0,50.0,,2188,79,2108,1.3166666666666667,35.13333333333333,26.68354430379747
M2,shifted_background,60.0,50.0,,388,312,76,5.2,1.2666666666666666,0.24358974358974356
M2,observed_baseline,60.0,50.0,1.2,1478,44,1433,0.7333333333333333,23.883333333333333,32.56818181818182
M2,shifted_background,60.0,50.0,1.2,227,189,38,3.15,0.6333333333333333,0.20105820105820105
M2,observed_baseline,60.0,50.0,1.5,909,24,884,0.4,14.733333333333333,36.83333333333333
M2,shifted_background,60.0,50.0,1.5,135,114,21,1.9,0.35,0.18421052631578946
M2,observed_baseline,60.0,50.0,2.0,427,7,419,0.11666666666666667,6.983333333333333,59.857142857142854
