datetime,lat,lon,dep,mag,time_rel_days,time_rel_sec,radial_distance_km,depth_rel_km,abs_depth_rel_km,is_post,is_pre,mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,sequence_id,mag_threshold_label
2025-08-11 14:24:46.270000+00:00,39.462634,143.113395,15.2,1.5,-89.73533530092593,-7753132.97,34.335613609479346,-0.7600000000000016,0.7600000000000016,False,True,M1,50.0,90.0,all,,323776,all
2025-08-12 01:29:07.690000+00:00,39.211186,143.352783,10.68,0.8,-89.27397627314815,-7713271.55,25.066122515361325,-5.280000000000001,5.280000000000001,False,True,M1,50.0,90.0,all,,323777,all
2025-08-12 01:29:38.080000+00:00,39.4717,143.095882,12.71,0.8,-89.27362453703704,-7713241.16,36.010439356172924,-3.25,3.25,False,True,M1,50.0,90.0,all,,323778,all
2025-08-12 08:44:39.130000+00:00,39.353691,142.95516,5.81,1.8,-88.97152905092592,-7687140.11,47.63501807415176,-10.150000000000002,10.150000000000002,False,True,M1,50.0,90.0,all,,323779,all
2025-08-12 14:44:19.020000+00:00,39.360742,142.96123,5.62,1.3,-88.72176180555556,-7665560.22,47.02954208592567,-10.34,10.34,False,True,M1,50.0,90.0,all,,323780,all
2025-08-15 03:01:12.330000+00:00,39.413656,143.696354,20.81,1.3,-86.21003368055555,-7448546.91,16.423735849792635,4.849999999999998,4.849999999999998,False,True,M1,50.0,90.0,all,,323781,all
2025-08-16 07:32:41.130000+00:00,39.632886,143.235807,13.31,0.8,-85.02150590277778,-7345858.11,34.48046824645525,-2.6500000000000004,2.6500000000000004,False,True,M1,50.0,90.0,all,,323782,all
2025-08-19 04:32:58.640000+00:00,39.633276,143.246582,13.97,0.7,-82.14630324074074,-7097440.6,33.89956501633068,-1.99,1.99,False,True,M1,50.0,90.0,all,,323783,all
2025-08-20 07:09:16.120000+00:00,39.638342,143.239697,15.05,0.6,-81.03776759259259,-7001663.12,34.71165063393301,-0.91,0.91,False,True,M1,50.0,90.0,all,,323784,all
2025-08-20 08:47:04.280000+00:00,39.363977,143.608708,12.46,1.4,-80.96984907407408,-6995794.96,9.864232454856868,-3.5,3.5,False,True,M1,50.0,90.0,all,,323785,all
2025-08-20 09:11:40.040000+00:00,39.367403,143.604346,12.4,1.2,-80.95276851851852,-6994319.2,9.36130551535258,-3.5600000000000005,3.5600000000000005,False,True,M1,50.0,90.0,all,,323786,all
2025-08-20 19:51:25.580000+00:00,39.365218,143.617969,13.84,2.1,-80.50849143518519,-6955933.66,10.52851481831699,-2.120000000000001,2.120000000000001,False,True,M1,50.0,90.0,all,,323787,all
2025-08-20 19:52:23.240000+00:00,39.374089,143.602214,8.72,1.8,-80.50782407407408,-6955876.0,8.899942639247042,-7.24,7.24,False,True,M1,50.0,90.0,all,,323788,all
2025-08-21 09:48:07.860000+00:00,39.3797,143.091699,17.98,2.1,-79.92744652777778,-6905731.38,35.670085117725044,2.02,2.02,False,True,M1,50.0,90.0,all,,323789,all
2025-08-21 10:07:09.220000+00:00,39.382654,143.092594,16.88,1.0,-79.91423634259259,-6904590.02,35.570154231361315,0.9199999999999982,0.9199999999999982,False,True,M1,50.0,90.0,all,,323790,all
2025-08-21 13:56:30.480000+00:00,39.377706,143.123307,15.46,1.2,-79.75496249999999,-6890828.76,32.98037182151385,-0.5,0.5,False,True,M1,50.0,90.0,all,,323791,all
2025-08-21 20:12:26.680000+00:00,39.617318,143.242904,11.33,1.3,-79.49389537037037,-6868272.56,32.79826693717601,-4.630000000000001,4.630000000000001,False,True,M1,50.0,90.0,all,,323792,all
2025-08-22 08:31:11.810000+00:00,39.345064,143.585189,10.53,1.4,-78.9808730324074,-6823947.43,9.397463195260867,-5.4300000000000015,5.4300000000000015,False,True,M1,50.0,90.0,all,,323793,all
2025-08-22 09:56:06.430000+00:00,39.371139,143.127474,15.88,2.4,-78.92190752314815,-6818852.81,32.696351567710764,-0.08,0.08,False,True,M1,50.0,90.0,all,,323794,all
2025-08-22 10:58:54.920000+00:00,39.81438,143.61499,14.63,2.5,-78.87829074074074,-6815084.32,46.684154962565685,-1.33,1.33,False,True,M1,50.0,90.0,all,,323795,all
2025-08-22 12:50:30.710000+00:00,39.35568,143.124805,17.72,0.8,-78.8007931712963,-6808388.53,33.15741312462778,1.759999999999998,1.759999999999998,False,True,M1,50.0,90.0,all,,323796,all
2025-08-23 02:26:21.680000+00:00,39.377714,143.120361,16.64,2.0,-78.23423101851851,-6759437.56,33.23254050600319,0.6799999999999997,0.6799999999999997,False,True,M1,50.0,90.0,all,,323797,all
2025-08-23 03:05:22.050000+00:00,39.3731,143.117025,18.19,2.4,-78.20714340277779,-6757097.19,33.5663490659406,2.2300000000000004,2.2300000000000004,False,True,M1,50.0,90.0,all,,323798,all
2025-08-23 03:25:17.960000+00:00,39.3809,143.122949,15.48,1.0,-78.19330185185186,-6755901.28,32.98182621498731,-0.4800000000000004,0.4800000000000004,False,True,M1,50.0,90.0,all,,323799,all
2025-08-23 06:54:03.270000+00:00,39.349101,143.580404,7.34,1.3,-78.0483329861111,-6743375.97,8.790212308809325,-8.620000000000001,8.620000000000001,False,True,M1,50.0,90.0,all,,323800,all
2025-08-23 13:14:41.770000+00:00,39.374622,143.129915,15.54,1.0,-77.78399849537037,-6720537.47,32.446973901897266,-0.4200000000000017,0.4200000000000017,False,True,M1,50.0,90.0,all,,323801,all
2025-08-24 22:09:43.400000+00:00,39.629972,143.220085,15.85,2.6,-76.41245185185186,-6602035.84,35.167170594624615,-0.1100000000000012,0.1100000000000012,False,True,M1,50.0,90.0,all,,323802,all
2025-08-25 03:41:33.800000+00:00,39.364351,143.61613,13.81,1.9,-76.18200740740741,-6582125.44,10.423342248210824,-2.1500000000000004,2.1500000000000004,False,True,M1,50.0,90.0,all,,323803,all
2025-08-25 03:44:27.930000+00:00,39.361967,143.608594,10.73,1.4,-76.17999201388888,-6581951.31,9.956157476423646,-5.23,5.23,False,True,M1,50.0,90.0,all,,323804,all
2025-08-25 06:30:21.820000+00:00,39.366728,143.614925,13.53,2.4,-76.06478495370371,-6571997.42,10.22161864502012,-2.430000000000001,2.430000000000001,False,True,M1,50.0,90.0,all,,323805,all
2025-08-25 08:52:39.960000+00:00,39.460433,143.150472,12.88,1.2,-75.9659638888889,-6563459.28,31.16662468033524,-3.08,3.08,False,True,M1,50.0,90.0,all,,323806,all
2025-08-25 10:54:04.700000+00:00,39.207003,143.320182,11.86,1.2,-75.88164976851851,-6556174.54,27.01954790026563,-4.100000000000001,4.100000000000001,False,True,M1,50.0,90.0,all,,323807,all
2025-08-25 18:47:18.240000+00:00,39.215519,143.322607,10.55,1.1,-75.55302083333333,-6527781.0,26.1345721834249,-5.41,5.41,False,True,M1,50.0,90.0,all,,323808,all
2025-08-25 21:45:48.620000+00:00,39.369312,143.616927,9.45,1.1,-75.42905810185185,-6517070.62,10.271258458293063,-6.510000000000002,6.510000000000002,False,True,M1,50.0,90.0,all,,323809,all
2025-08-27 14:14:00.540000+00:00,39.536759,143.56333,13.02,1.9,-73.74280902777778,-6371378.7,15.667347122129817,-2.9400000000000013,2.9400000000000013,False,True,M1,50.0,90.0,all,,323810,all
2025-08-27 18:27:06.940000+00:00,39.537256,143.560921,10.63,1.5,-73.56704050925926,-6356192.3,15.6559220129882,-5.33,5.33,False,True,M1,50.0,90.0,all,,323811,all
2025-08-31 06:56:05.660000+00:00,39.731189,143.217904,12.31,1.4,-70.04691643518518,-6052053.58,44.04126080257838,-3.65,3.65,False,True,M1,50.0,90.0,all,,323812,all
