mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_pre,n_post,duration_pre_days,duration_post_days,pre_rate,post_rate,rate_ratio,moving_rate_max,moving_rate_median,post_omori_c,post_omori_k,post_omori_p,post_omori_r2,post_omori_fit_ok,radial_q25_km,radial_q50_km,radial_q75_km,depth_q25_km,depth_q50_km,depth_q75_km,mag_q25,mag_q50,mag_q75,mecha_events,mecha_available
M1,50.0,90.0,all,,3923,612,3310,90.0,90.0,6.8,36.77777777777778,5.408496732026144,271.0,5.857142857142858,0.01,248.24763417037303,0.6383674259945586,0.913343338766479,True,11.379780074108565,19.40104045326473,27.733192466504665,9.55,11.54,12.92,1.5,1.7,2.2,6,True
M1,50.0,90.0,all,1.2,3732,566,3165,90.0,90.0,6.288888888888889,35.166666666666664,5.591872791519434,263.7142857142857,5.5,0.01,241.727270659122,0.6506887935310146,0.9133769287779624,True,11.396276875259291,19.27646770973209,27.389956773939662,9.56,11.54,12.9325,1.5,1.8,2.2,6,True
M1,50.0,90.0,all,1.5,2985,426,2558,90.0,90.0,4.733333333333333,28.42222222222222,6.004694835680751,230.8571428571429,3.857142857142857,0.01,210.4381279413139,0.7043124577187002,0.9204080945944064,True,11.72359752926847,18.964832927520035,26.69825857768134,9.65,11.66,13.12,1.7,1.9,2.4,6,True
M1,50.0,90.0,all,2.0,1435,201,1233,90.0,90.0,2.2333333333333334,13.7,6.134328358208955,130.0,1.2857142857142858,0.01,120.91061864422144,0.8524750363506597,0.9560526005937796,True,11.878189112715004,19.194586433863925,25.85788722531021,10.425,12.45,13.89,2.1,2.4,3.0,6,True
M1,50.0,90.0,all,2.5,688,113,574,90.0,90.0,1.2555555555555555,6.377777777777778,5.079646017699115,67.85714285714286,0.4285714285714285,0.01,60.21019110494164,0.9602515326712056,0.9764610947768676,True,11.03159831946908,18.29353013458764,25.04063656074543,10.9775,12.875,14.1825,2.7,3.0,3.5,6,True
M1,50.0,90.0,mainshock_window,,3920,610,3309,90.0,90.0,6.777777777777778,36.766666666666666,5.424590163934426,271.0,5.857142857142858,0.01,248.2043646061224,0.6385164400286308,0.913262331299494,True,11.38497938817218,19.408188580747943,27.76838511445548,9.55,11.54,12.92,1.5,1.7,2.2,6,True
M1,50.0,90.0,mainshock_window,1.2,3730,564,3165,90.0,90.0,6.266666666666667,35.166666666666664,5.611702127659574,263.7142857142857,5.5,0.01,241.727270659122,0.6506887935310146,0.9133769287779624,True,11.412700673787317,19.28209953209729,27.405049554791848,9.56,11.54,12.93,1.5,1.8,2.2,6,True
M1,50.0,90.0,mainshock_window,1.5,2984,425,2558,90.0,90.0,4.722222222222222,28.42222222222222,6.0188235294117645,230.8571428571429,3.857142857142857,0.01,210.4381279413139,0.7043124577187002,0.9204080945944064,True,11.729812767105352,18.971474639827488,26.70743270370302,9.65,11.66,13.1125,1.7,1.9,2.4,6,True
M1,50.0,90.0,mainshock_window,2.0,1435,201,1233,90.0,90.0,2.2333333333333334,13.7,6.134328358208955,130.0,1.2857142857142858,0.01,120.91061864422144,0.8524750363506597,0.9560526005937796,True,11.878189112715004,19.194586433863925,25.85788722531021,10.425,12.45,13.89,2.1,2.4,3.0,6,True
M1,50.0,90.0,mainshock_window,2.5,688,113,574,90.0,90.0,1.2555555555555555,6.377777777777778,5.079646017699115,67.85714285714286,0.4285714285714285,0.01,60.21019110494164,0.9602515326712056,0.9764610947768676,True,11.03159831946908,18.29353013458764,25.04063656074543,10.9775,12.875,14.1825,2.7,3.0,3.5,6,True
M1,50.0,90.0,stratified,,3915,610,3304,90.0,90.0,6.777777777777778,36.71111111111111,5.41639344262295,270.57142857142856,5.857142857142858,0.01,247.71622104829663,0.6382561139227793,0.91336651430032,True,11.379780074108565,19.37936726759398,27.733192466504665,9.55,11.53,12.91,1.5,1.7,2.2,6,True
M1,50.0,90.0,stratified,1.2,3725,564,3160,90.0,90.0,6.266666666666667,35.111111111111114,5.602836879432624,263.2857142857143,5.5,0.01,241.2479960910264,0.6504332434360084,0.9134945947345818,True,11.39871762787894,19.24826327215196,27.381492219359803,9.55,11.54,12.93,1.5,1.8,2.2,6,True
M1,50.0,90.0,stratified,1.5,2980,425,2554,90.0,90.0,4.722222222222222,28.377777777777776,6.009411764705882,230.42857142857144,3.857142857142857,0.01,210.03932868812265,0.7039840670320983,0.9205742254769348,True,11.7207187969836,18.94374154288297,26.606069337346447,9.65,11.66,13.11,1.7,1.9,2.4,6,True
M1,50.0,90.0,stratified,2.0,1433,201,1231,90.0,90.0,2.2333333333333334,13.677777777777775,6.124378109452736,129.71428571428572,1.2857142857142858,0.01,120.68447416530604,0.8520299605401612,0.9561790911925308,True,11.868108515459266,19.18984270690216,25.80969843865684,10.42,12.45,13.88,2.1,2.4,3.0,6,True
M1,50.0,90.0,stratified,2.5,688,113,574,90.0,90.0,1.2555555555555555,6.377777777777778,5.079646017699115,67.85714285714286,0.4285714285714285,0.01,60.21019110494164,0.9602515326712056,0.9764610947768676,True,11.03159831946908,18.29353013458764,25.04063656074543,10.9775,12.875,14.1825,2.7,3.0,3.5,6,True
M2,50.0,90.0,all,,2370,91,2278,90.0,90.0,1.011111111111111,25.31111111111111,25.03296703296704,125.85714285714286,4.642857142857142,0.01,171.32147774946986,0.6437024855030238,0.956437260026316,True,18.979450586347,25.222822478385623,35.780918561667875,37.2,41.555,46.8475,1.1,1.3,1.8,191,True
M2,50.0,90.0,all,1.2,1589,49,1539,90.0,90.0,0.5444444444444444,17.1,31.40816326530613,96.85714285714286,2.7142857142857144,0.01,130.79527349470158,0.7160252154198378,0.9701284693160648,True,19.34268601235177,27.74280269903463,36.13293624297596,37.15,41.39,46.44,1.3,1.6,2.0,191,True
M2,50.0,90.0,all,1.5,980,28,951,90.0,90.0,0.3111111111111111,10.566666666666666,33.964285714285715,63.71428571428572,1.7857142857142856,0.01,88.17065882199654,0.7767089227841445,0.9833903806822912,True,19.2300038935307,28.237138111186145,36.16776097572253,37.495,41.72,47.065,1.6,1.9,2.4,191,True
M2,50.0,90.0,all,2.0,452,8,443,90.0,90.0,0.0888888888888888,4.922222222222223,55.375,32.42857142857143,0.6428571428571428,0.01,43.24112643799023,0.8424104926074468,0.9855770594479032,True,18.673168008299594,27.684920797024112,35.76393101930152,39.4975,42.62,48.435,2.1,2.4,2.9,191,True
M2,50.0,90.0,all,2.5,207,3,203,90.0,90.0,0.0333333333333333,2.2555555555555555,67.66666666666667,15.428571428571429,0.2857142857142857,0.01,18.787445901247867,0.8364077867932974,0.9613819137901812,True,19.416243664030084,28.8022107302279,35.456836874138105,39.53,42.48,48.405,2.7,2.9,3.45,191,True
M2,50.0,90.0,mainshock_window,,2337,87,2249,90.0,90.0,0.9666666666666668,24.988888888888887,25.85057471264368,125.42857142857144,4.571428571428571,0.01,170.07910763801448,0.6478494737085025,0.9551218937338884,True,18.896699163234715,24.766561167846746,35.55239573365164,37.32,41.58,46.83,1.1,1.3,1.8,191,True
M2,50.0,90.0,mainshock_window,1.2,1558,46,1511,90.0,90.0,0.5111111111111111,16.788888888888888,32.84782608695652,96.42857142857144,2.7142857142857144,0.01,129.35093922649958,0.7224222303645846,0.9686472039035836,True,19.247891219795733,27.29258699134133,35.72085972755272,37.32,41.435,46.4125,1.3,1.6,2.0,191,True
M2,50.0,90.0,mainshock_window,1.5,959,26,932,90.0,90.0,0.2888888888888888,10.355555555555556,35.846153846153854,63.42857142857143,1.7142857142857142,0.01,87.0698642302229,0.7839288201965263,0.98236826397475,True,19.16415265603503,27.774668726799177,35.804153940365936,37.74,41.76,46.985,1.6,1.9,2.4,191,True
M2,50.0,90.0,mainshock_window,2.0,443,8,434,90.0,90.0,0.0888888888888888,4.822222222222222,54.24999999999999,32.142857142857146,0.5714285714285714,0.01,42.4810770177504,0.8510259709792798,0.983629659565612,True,18.570449171092285,26.437083737008603,35.456836874138105,39.7,42.67,48.535,2.1,2.4,2.9,191,True
M2,50.0,90.0,mainshock_window,2.5,201,3,197,90.0,90.0,0.0333333333333333,2.188888888888889,65.66666666666667,15.142857142857142,0.2857142857142857,0.01,18.35123771684184,0.8473656075536086,0.9618270040205036,True,19.350013355881668,28.463960133902965,35.045460797844605,39.93,42.57,48.41,2.7,3.0,3.5,191,True
M2,50.0,90.0,stratified,,713,11,701,90.0,90.0,0.1222222222222222,7.788888888888889,63.72727272727273,44.0,1.2142857142857144,0.01,57.46721238258541,0.6897330698312777,0.9505398263625212,True,13.788438265812866,16.57765387474489,25.17054841007085,47.59,50.51,53.25,1.0,1.3,1.9,191,True
M2,50.0,90.0,stratified,1.2,465,2,462,90.0,90.0,0.0222222222222222,5.133333333333334,231.0,34.57142857142857,0.5714285714285714,0.01,42.74828796685775,0.7775424524951943,0.9582794405694192,True,14.38853691203482,17.23590898490444,28.69118220636592,47.66,50.78,53.76,1.4,1.7,2.2,191,True
M2,50.0,90.0,stratified,1.5,303,0,302,90.0,90.0,0.0,3.355555555555556,inf,22.857142857142858,0.3571428571428571,0.01,28.844793987542506,0.8150431045955358,0.9670529564242728,True,14.496926623820526,17.735634878065333,28.864167168640314,47.55,50.49,53.98,1.7,2.0,2.4,191,True
M2,50.0,90.0,stratified,2.0,164,0,163,90.0,90.0,0.0,1.8111111111111111,inf,11.857142857142858,0.2142857142857142,0.01,14.560497945782563,0.7927472281279405,0.951349277623608,True,14.778928834870811,19.153707182622465,29.62035895984973,47.57,50.955,54.6125,2.2,2.4,2.9,191,True
M2,50.0,90.0,stratified,2.5,74,0,73,90.0,90.0,0.0,0.8111111111111111,inf,5.428571428571429,0.0714285714285714,0.01,6.627009229063131,0.7881188291843898,0.9394600547622844,True,15.809375704022475,20.53135735797929,28.70743216198694,47.755,51.11,54.9675,2.7,2.9,3.475,191,True
M3,50.0,90.0,all,,3654,876,2777,90.0,90.0,9.733333333333333,30.855555555555554,3.170091324200913,271.0,3.7142857142857135,,,,,False,16.827283959447172,26.58538123566893,38.869805006617085,10.6425,12.83,14.81,1.3,1.65,2.1750000000000003,26,True
M3,50.0,90.0,all,1.2,3251,764,2486,90.0,90.0,8.488888888888889,27.622222222222224,3.253926701570681,250.28571428571428,3.3571428571428568,,,,,False,17.123107479764986,26.9707476278196,39.23730180862755,10.47,12.8,14.81,1.5,1.7,2.2,26,True
M3,50.0,90.0,all,1.5,2444,529,1914,90.0,90.0,5.877777777777778,21.266666666666666,3.6181474480151214,199.28571428571428,2.428571428571429,,,,,False,17.52005981467221,27.644620709428946,39.7162378552368,10.6325,12.9,14.865,1.6,1.9,2.4,26,True
