mainshock,control_type,mag_threshold,time_window_days,radius_km,n_total,n_pre,n_post,pre_rate,post_rate,rate_ratio
M1,observed,,7.0,50.0,2259,512,1746,73.14285714285714,249.42857142857144,3.41015625
M1,observed,,30.0,50.0,3261,543,2717,18.1,90.56666666666666,5.003683241252301
M1,observed,,60.0,50.0,3666,570,3095,9.5,51.583333333333336,5.429824561403509
M1,observed,,90.0,50.0,3923,612,3310,6.8,36.77777777777778,5.408496732026144
M1,observed,1.2,7.0,50.0,2187,484,1702,69.14285714285714,243.14285714285717,3.5165289256198347
M1,observed,1.2,30.0,50.0,3135,513,2621,17.1,87.36666666666666,5.109161793372319
M1,observed,1.2,60.0,50.0,3505,536,2968,8.933333333333334,49.46666666666667,5.537313432835821
M1,observed,1.2,90.0,50.0,3732,566,3165,6.288888888888889,35.166666666666664,5.591872791519434
M1,observed,1.5,7.0,50.0,1867,376,1490,53.71428571428572,212.8571428571429,3.9627659574468086
M1,observed,1.5,30.0,50.0,2558,396,2161,13.2,72.03333333333333,5.457070707070708
M1,observed,1.5,60.0,50.0,2823,409,2413,6.816666666666666,40.21666666666667,5.899755501222495
M1,observed,1.5,90.0,50.0,2985,426,2558,4.733333333333333,28.42222222222222,6.004694835680751
M1,observed,2.0,7.0,50.0,1000,177,822,25.285714285714285,117.42857142857144,4.6440677966101696
M1,observed,2.0,30.0,50.0,1272,187,1084,6.233333333333333,36.13333333333333,5.796791443850268
M1,observed,2.0,60.0,50.0,1371,193,1177,3.216666666666667,19.616666666666667,6.098445595854923
M1,observed,2.0,90.0,50.0,1435,201,1233,2.2333333333333334,13.7,6.134328358208955
M2,observed,,7.0,50.0,1046,10,1035,1.4285714285714286,147.85714285714286,103.5
M2,observed,,30.0,50.0,1732,64,1667,2.1333333333333333,55.56666666666667,26.046875000000004
M2,observed,,60.0,50.0,2188,79,2108,1.3166666666666669,35.13333333333333,26.68354430379747
M2,observed,,90.0,50.0,2370,91,2278,1.011111111111111,25.31111111111111,25.032967032967036
M2,observed,1.2,7.0,50.0,789,5,783,0.7142857142857143,111.85714285714286,156.6
M2,observed,1.2,30.0,50.0,1200,34,1165,1.1333333333333333,38.833333333333336,34.26470588235294
M2,observed,1.2,60.0,50.0,1478,44,1433,0.7333333333333333,23.883333333333333,32.56818181818182
M2,observed,1.2,90.0,50.0,1589,49,1539,0.5444444444444444,17.1,31.40816326530613
M2,observed,1.5,7.0,50.0,520,4,515,0.5714285714285714,73.57142857142857,128.75
M2,observed,1.5,30.0,50.0,760,21,738,0.7,24.6,35.142857142857146
M2,observed,1.5,60.0,50.0,909,24,884,0.4,14.733333333333333,36.83333333333333
M2,observed,1.5,90.0,50.0,980,28,951,0.3111111111111111,10.566666666666666,33.964285714285715
M2,observed,2.0,7.0,50.0,258,1,256,0.1428571428571428,36.57142857142857,256.0
M2,observed,2.0,30.0,50.0,366,7,358,0.2333333333333333,11.933333333333334,51.142857142857146
M2,observed,2.0,60.0,50.0,427,7,419,0.1166666666666666,6.983333333333333,59.85714285714285
M2,observed,2.0,90.0,50.0,452,8,443,0.0888888888888888,4.922222222222223,55.375
M3,observed,,7.0,50.0,2335,72,2262,10.285714285714286,323.1428571428572,31.416666666666668
M3,observed,,30.0,50.0,3328,550,2777,18.33333333333333,92.56666666666666,5.049090909090909
M3,observed,,60.0,50.0,3486,708,2777,11.8,46.28333333333333,3.922316384180791
M3,observed,,90.0,50.0,3654,876,2777,9.733333333333333,30.855555555555554,3.170091324200913
M3,observed,1.2,7.0,50.0,2108,54,2053,7.714285714285714,293.2857142857143,38.01851851851852
M3,observed,1.2,30.0,50.0,2954,467,2486,15.566666666666666,82.86666666666666,5.323340471092076
M3,observed,1.2,60.0,50.0,3101,614,2486,10.233333333333333,41.43333333333333,4.04885993485342
M3,observed,1.2,90.0,50.0,3251,764,2486,8.488888888888889,27.622222222222224,3.253926701570681
M3,observed,1.5,7.0,50.0,1638,31,1606,4.428571428571429,229.42857142857144,51.80645161290322
M3,observed,1.5,30.0,50.0,2232,317,1914,10.566666666666666,63.8,6.037854889589905
M3,observed,1.5,60.0,50.0,2336,421,1914,7.016666666666667,31.9,4.546318289786223
M3,observed,1.5,90.0,50.0,2444,529,1914,5.877777777777778,21.266666666666666,3.6181474480151214
M3,observed,2.0,7.0,50.0,860,9,850,1.2857142857142858,121.42857142857144,94.44444444444444
M3,observed,2.0,30.0,50.0,1118,145,972,4.833333333333333,32.4,6.703448275862069
M3,observed,2.0,60.0,50.0,1171,198,972,3.3,16.2,4.909090909090909
M3,observed,2.0,90.0,50.0,1213,240,972,2.6666666666666665,10.8,4.050000000000001
