mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,distribution,bin_left,bin_right,count,fraction
M1,30.0,7.0,all,,radial,0.0,5.0,149,0.07736240913811
M1,30.0,7.0,all,,radial,5.0,10.0,461,0.239356178608515
M1,30.0,7.0,all,,radial,10.0,15.0,446,0.2315680166147455
M1,30.0,7.0,all,,radial,15.0,20.0,321,0.1666666666666666
M1,30.0,7.0,all,,radial,20.0,25.0,370,0.1921079958463136
M1,30.0,7.0,all,,radial,25.0,30.0,179,0.092938733125649
M1,30.0,7.0,all,1.2,radial,0.0,5.0,141,0.0757250268528464
M1,30.0,7.0,all,1.2,radial,5.0,10.0,439,0.2357679914070891
M1,30.0,7.0,all,1.2,radial,10.0,15.0,427,0.2293233082706766
M1,30.0,7.0,all,1.2,radial,15.0,20.0,313,0.1680988184747583
M1,30.0,7.0,all,1.2,radial,20.0,25.0,364,0.1954887218045112
M1,30.0,7.0,all,1.2,radial,25.0,30.0,178,0.0955961331901181
M1,30.0,7.0,all,1.5,radial,0.0,5.0,117,0.0734463276836158
M1,30.0,7.0,all,1.5,radial,5.0,10.0,349,0.2190834902699309
M1,30.0,7.0,all,1.5,radial,10.0,15.0,362,0.2272441933458882
M1,30.0,7.0,all,1.5,radial,15.0,20.0,286,0.1795354676710608
M1,30.0,7.0,all,1.5,radial,20.0,25.0,320,0.2008788449466415
M1,30.0,7.0,all,1.5,radial,25.0,30.0,159,0.0998116760828625
M1,30.0,7.0,all,2.0,radial,0.0,5.0,60,0.0690448791714614
M1,30.0,7.0,all,2.0,radial,5.0,10.0,167,0.192174913693901
M1,30.0,7.0,all,2.0,radial,10.0,15.0,189,0.2174913693901035
M1,30.0,7.0,all,2.0,radial,15.0,20.0,174,0.2002301495972382
M1,30.0,7.0,all,2.0,radial,20.0,25.0,193,0.2220943613348676
M1,30.0,7.0,all,2.0,radial,25.0,30.0,86,0.098964326812428
M1,30.0,7.0,all,2.5,radial,0.0,5.0,40,0.0890868596881959
M1,30.0,7.0,all,2.5,radial,5.0,10.0,92,0.2048997772828507
M1,30.0,7.0,all,2.5,radial,10.0,15.0,90,0.2004454342984409
M1,30.0,7.0,all,2.5,radial,15.0,20.0,88,0.1959910913140311
M1,30.0,7.0,all,2.5,radial,20.0,25.0,102,0.2271714922048997
M1,30.0,7.0,all,2.5,radial,25.0,30.0,37,0.0824053452115812
M1,30.0,7.0,mainshock_window,,radial,0.0,5.0,149,0.07736240913811
M1,30.0,7.0,mainshock_window,,radial,5.0,10.0,461,0.239356178608515
M1,30.0,7.0,mainshock_window,,radial,10.0,15.0,446,0.2315680166147455
M1,30.0,7.0,mainshock_window,,radial,15.0,20.0,321,0.1666666666666666
M1,30.0,7.0,mainshock_window,,radial,20.0,25.0,370,0.1921079958463136
M1,30.0,7.0,mainshock_window,,radial,25.0,30.0,179,0.092938733125649
M1,30.0,7.0,mainshock_window,1.2,radial,0.0,5.0,141,0.0757250268528464
M1,30.0,7.0,mainshock_window,1.2,radial,5.0,10.0,439,0.2357679914070891
M1,30.0,7.0,mainshock_window,1.2,radial,10.0,15.0,427,0.2293233082706766
M1,30.0,7.0,mainshock_window,1.2,radial,15.0,20.0,313,0.1680988184747583
M1,30.0,7.0,mainshock_window,1.2,radial,20.0,25.0,364,0.1954887218045112
M1,30.0,7.0,mainshock_window,1.2,radial,25.0,30.0,178,0.0955961331901181
M1,30.0,7.0,mainshock_window,1.5,radial,0.0,5.0,117,0.0734463276836158
M1,30.0,7.0,mainshock_window,1.5,radial,5.0,10.0,349,0.2190834902699309
M1,30.0,7.0,mainshock_window,1.5,radial,10.0,15.0,362,0.2272441933458882
M1,30.0,7.0,mainshock_window,1.5,radial,15.0,20.0,286,0.1795354676710608
M1,30.0,7.0,mainshock_window,1.5,radial,20.0,25.0,320,0.2008788449466415
