mainshock_id,window_days,space_label,space_value_km,companion_within_0p5mag,companion_within_1p0mag,largest_non_mainshock_mag,dominance_gap
M1,7,<=30 km,30.0,2,6,6.6,0.3000000000000007
M1,7,<=60 km,60.0,2,6,6.6,0.3000000000000007
M1,7,<=100 km,100.0,2,6,6.6,0.3000000000000007
M1,14,<=30 km,30.0,2,6,6.6,0.3000000000000007
M1,14,<=60 km,60.0,2,6,6.6,0.3000000000000007
M1,14,<=100 km,100.0,2,6,6.6,0.3000000000000007
M1,25,<=30 km,30.0,2,6,6.6,0.3000000000000007
M1,25,<=60 km,60.0,2,6,6.6,0.3000000000000007
M1,25,<=100 km,100.0,2,6,6.6,0.3000000000000007
M2,7,<=30 km,30.0,0,0,5.9,1.5999999999999996
M2,7,<=60 km,60.0,0,1,6.9,0.5999999999999996
M2,7,<=100 km,100.0,0,2,6.9,0.5999999999999996
M2,14,<=30 km,30.0,0,0,5.9,1.5999999999999996
M2,14,<=60 km,60.0,0,1,6.9,0.5999999999999996
M2,14,<=100 km,100.0,0,2,6.9,0.5999999999999996
M2,25,<=30 km,30.0,0,0,5.9,1.5999999999999996
M2,25,<=60 km,60.0,0,1,6.9,0.5999999999999996
M2,25,<=100 km,100.0,0,2,6.9,0.5999999999999996
M3,7,<=30 km,30.0,0,0,5.5,2.2
M3,7,<=60 km,60.0,0,0,5.6,2.1000000000000005
M3,7,<=100 km,100.0,0,0,5.6,2.1000000000000005
M3,14,<=30 km,30.0,0,0,5.5,2.2
M3,14,<=60 km,60.0,0,0,5.6,2.1000000000000005
M3,14,<=100 km,100.0,0,0,5.6,2.1000000000000005
M3,25,<=30 km,30.0,0,0,5.5,2.2
M3,25,<=60 km,60.0,0,1,6.7,1.0
M3,25,<=100 km,100.0,0,1,6.7,1.0
