mainshock_id,window_days,subset_name,side,event_count,depth_median_km,depth_iqr_km,depth_min_km,depth_max_km,depthdiff_median_km
M1,7,all,pre,568,12.02,2.8774999999999995,0.94,37.35,-3.880000000000001
M1,7,all,post,1803,11.63,3.455,0.72,36.77,-4.27
M1,7,m4plus,pre,21,13.69,2.09,8.66,16.02,-2.210000000000001
M1,7,m4plus,post,55,12.17,3.8049999999999997,6.09,20.45,-3.7300000000000004
M1,7,m5plus,pre,8,14.015,1.5350000000000001,12.21,15.99,-1.8850000000000007
M1,7,m5plus,post,20,12.379999999999999,3.4499999999999993,6.09,20.45,-3.5200000000000005
M1,14,all,pre,595,12.12,2.960000000000001,0.94,37.35,-3.780000000000001
M1,14,all,post,2442,11.6,3.7974999999999994,0.72,36.77,-4.300000000000001
M1,14,m4plus,pre,21,13.69,2.09,8.66,16.02,-2.210000000000001
M1,14,m4plus,post,61,12.17,3.9000000000000004,6.09,29.76,-3.7300000000000004
M1,14,m5plus,pre,8,14.015,1.5350000000000001,12.21,15.99,-1.8850000000000007
M1,14,m5plus,post,22,12.285,3.147499999999999,6.09,20.45,-3.615
M1,25,all,pre,641,12.25,3.130000000000001,0.94,37.35,-3.6500000000000004
M1,25,all,post,2862,11.68,3.879999999999999,0.72,36.77,-4.220000000000001
M1,25,m4plus,pre,21,13.69,2.09,8.66,16.02,-2.210000000000001
M1,25,m4plus,post,63,12.24,3.875,6.09,29.76,-3.66
M1,25,m5plus,pre,8,14.015,1.5350000000000001,12.21,15.99,-1.8850000000000007
M1,25,m5plus,post,22,12.285,3.147499999999999,6.09,20.45,-3.615
M2,7,all,pre,40,22.165,22.299999999999997,6.61,79.97,-31.335
M2,7,all,post,3465,18.92,20.97,0.9,99.42,-34.58
M2,7,m4plus,pre,0,,,,,
M2,7,m4plus,post,45,20.0,18.130000000000003,9.86,53.2,-33.5
M2,7,m5plus,pre,0,,,,,
M2,7,m5plus,post,9,19.11,19.53,14.87,46.99,-34.39
M2,14,all,pre,66,26.465,20.652500000000003,6.61,79.97,-27.035
M2,14,all,post,4787,18.38,18.450000000000003,0.32,99.42,-35.120000000000005
M2,14,m4plus,pre,0,,,,,
M2,14,m4plus,post,49,20.0,18.759999999999998,9.86,53.2,-33.5
M2,14,m5plus,pre,0,,,,,
M2,14,m5plus,post,11,19.11,22.639999999999997,14.87,51.25,-34.39
M2,25,all,pre,139,38.58,19.845,6.61,103.0,-14.920000000000002
M2,25,all,post,5745,18.42,18.93,0.32,101.32,-35.08
M2,25,m4plus,pre,1,44.45,0.0,44.45,44.45,-9.049999999999997
M2,25,m4plus,post,53,20.85,22.86,9.86,53.2,-32.65
M2,25,m5plus,pre,0,,,,,
M2,25,m5plus,post,12,22.619999999999997,25.472500000000004,14.87,51.25,-30.880000000000003
M3,7,all,pre,202,11.375,16.082499999999996,1.0,48.37,-8.024999999999999
M3,7,all,post,2959,13.19,5.43,0.05,47.68,-6.209999999999999
M3,7,m4plus,pre,1,19.31,0.0,19.31,19.31,-0.08999999999999986
M3,7,m4plus,post,43,15.31,4.734999999999999,4.02,45.24,-4.089999999999998
M3,7,m5plus,pre,1,19.31,0.0,19.31,19.31,-0.08999999999999986
M3,7,m5plus,post,12,15.39,3.102500000000001,10.73,34.29,-4.009999999999999
M3,14,all,pre,360,11.28,13.567499999999999,1.0,48.37,-8.12
M3,14,all,post,3773,12.99,6.629999999999999,0.05,47.68,-6.409999999999998
M3,14,m4plus,pre,2,16.31,2.9999999999999982,13.31,19.31,-3.089999999999999
M3,14,m4plus,post,47,15.21,4.909999999999997,3.64,45.24,-4.189999999999998
M3,14,m5plus,pre,1,19.31,0.0,19.31,19.31,-0.08999999999999986
M3,14,m5plus,post,12,15.39,3.102500000000001,10.73,34.29,-4.009999999999999
M3,25,all,pre,1077,12.11,6.889999999999999,0.94,48.37,-7.289999999999999
M3,25,all,post,3773,12.99,6.629999999999999,0.05,47.68,-6.409999999999998
M3,25,m4plus,pre,17,15.17,3.1500000000000004,9.68,30.13,-4.229999999999999
M3,25,m4plus,post,47,15.21,4.909999999999997,3.64,45.24,-4.189999999999998
M3,25,m5plus,pre,3,16.42,2.085000000000001,15.14,19.31,-2.979999999999997
M3,25,m5plus,post,12,15.39,3.102500000000001,10.73,34.29,-4.009999999999999
