mainshock_id,window_days,subset_name,side,event_count,depth_median_km,depth_iqr_km,depth_min_km,depth_max_km,depthdiff_median_km
M1,7,m4plus,post,55,12.17,3.8049999999999997,6.09,20.45,-3.7300000000000004
M1,7,m5plus,post,20,12.379999999999999,3.4499999999999993,6.09,20.45,-3.5200000000000005
M1,14,m4plus,post,61,12.17,3.9000000000000004,6.09,29.76,-3.7300000000000004
M1,14,m5plus,post,22,12.285,3.147499999999999,6.09,20.45,-3.615
M1,25,m4plus,post,63,12.24,3.875,6.09,29.76,-3.66
M1,25,m5plus,post,22,12.285,3.147499999999999,6.09,20.45,-3.615
M2,7,m4plus,post,45,20.0,18.130000000000003,9.86,53.2,-33.5
M2,7,m5plus,post,9,19.11,19.53,14.87,46.99,-34.39
M2,14,m4plus,post,49,20.0,18.759999999999998,9.86,53.2,-33.5
M2,14,m5plus,post,11,19.11,22.639999999999997,14.87,51.25,-34.39
M2,25,m4plus,post,53,20.85,22.86,9.86,53.2,-32.65
M2,25,m5plus,post,12,22.619999999999997,25.472500000000004,14.87,51.25,-30.880000000000003
M3,7,m4plus,post,43,15.31,4.734999999999999,4.02,45.24,-4.089999999999998
M3,7,m5plus,post,12,15.39,3.102500000000001,10.73,34.29,-4.009999999999999
M3,14,m4plus,post,47,15.21,4.909999999999997,3.64,45.24,-4.189999999999998
M3,14,m5plus,post,12,15.39,3.102500000000001,10.73,34.29,-4.009999999999999
M3,25,m4plus,post,47,15.21,4.909999999999997,3.64,45.24,-4.189999999999998
M3,25,m5plus,post,12,15.39,3.102500000000001,10.73,34.29,-4.009999999999999
