mainshock_id,window_days,space_type,space_label,space_value_km,side,event_count,event_rate_per_day,m4plus_count,m4plus_rate_per_day,m5plus_count,m5plus_rate_per_day,m6plus_count,m6plus_rate_per_day,magbin_<4_count,magbin_4_5_count,magbin_5_6_count,magbin_ge6_count,largest_event_mag,largest_event_time,largest_event_distance_km,largest_event_depth_diff_km
M1,7,cumulative_radius,<=30 km,30.0,pre,507,72.42857142857143,18,2.5714285714285716,8,1.1428571428571428,1,0.14285714285714285,489,10,7,1,6.9,2025-11-09 08:03:39.230000+00:00,0.16560596965586397,0.08999999999999986
M1,7,cumulative_radius,<=30 km,30.0,post,1424,203.42857142857142,48,6.857142857142857,17,2.4285714285714284,3,0.42857142857142855,1376,31,14,3,6.6,2025-11-09 08:54:38.490000+00:00,10.701275805519526,-2.0
M1,7,cumulative_radius,<=60 km,60.0,pre,533,76.14285714285714,20,2.857142857142857,8,1.1428571428571428,1,0.14285714285714285,513,12,7,1,6.9,2025-11-09 08:03:39.230000+00:00,0.16560596965586397,0.08999999999999986
M1,7,cumulative_radius,<=60 km,60.0,post,1782,254.57142857142858,55,7.857142857142857,20,2.857142857142857,3,0.42857142857142855,1727,35,17,3,6.6,2025-11-09 08:54:38.490000+00:00,10.701275805519526,-2.0
M1,7,cumulative_radius,<=100 km,100.0,pre,568,81.14285714285714,21,3.0,8,1.1428571428571428,1,0.14285714285714285,547,13,7,1,6.9,2025-11-09 08:03:39.230000+00:00,0.16560596965586397,0.08999999999999986
M1,7,cumulative_radius,<=100 km,100.0,post,1803,257.57142857142856,55,7.857142857142857,20,2.857142857142857,3,0.42857142857142855,1748,35,17,3,6.6,2025-11-09 08:54:38.490000+00:00,10.701275805519526,-2.0
M1,14,cumulative_radius,<=30 km,30.0,pre,513,36.642857142857146,18,1.2857142857142858,8,0.5714285714285714,1,0.07142857142857142,495,10,7,1,6.9,2025-11-09 08:03:39.230000+00:00,0.16560596965586397,0.08999999999999986
M1,14,cumulative_radius,<=30 km,30.0,post,1715,122.5,50,3.5714285714285716,18,1.2857142857142858,3,0.21428571428571427,1665,32,15,3,6.6,2025-11-09 08:54:38.490000+00:00,10.701275805519526,-2.0
M1,14,cumulative_radius,<=60 km,60.0,pre,547,39.07142857142857,20,1.4285714285714286,8,0.5714285714285714,1,0.07142857142857142,527,12,7,1,6.9,2025-11-09 08:03:39.230000+00:00,0.16560596965586397,0.08999999999999986
M1,14,cumulative_radius,<=60 km,60.0,post,2309,164.92857142857142,59,4.214285714285714,22,1.5714285714285714,3,0.21428571428571427,2250,37,19,3,6.6,2025-11-09 08:54:38.490000+00:00,10.701275805519526,-2.0
M1,14,cumulative_radius,<=100 km,100.0,pre,595,42.5,21,1.5,8,0.5714285714285714,1,0.07142857142857142,574,13,7,1,6.9,2025-11-09 08:03:39.230000+00:00,0.16560596965586397,0.08999999999999986
M1,14,cumulative_radius,<=100 km,100.0,post,2442,174.42857142857142,61,4.357142857142857,22,1.5714285714285714,3,0.21428571428571427,2381,39,19,3,6.6,2025-11-09 08:54:38.490000+00:00,10.701275805519526,-2.0
M1,25,cumulative_radius,<=30 km,30.0,pre,516,20.64,18,0.72,8,0.32,1,0.04,498,10,7,1,6.9,2025-11-09 08:03:39.230000+00:00,0.16560596965586397,0.08999999999999986
