origin_time,latitude,longitude,depth_km,magnitude,event_id,mainshock_id,mainshock_time,mainshock_latitude,mainshock_longitude,mainshock_depth_km,mainshock_magnitude,relative_time_seconds,relative_time_hours,relative_time_days,epicentral_distance_km,depth_diff_km,abs_depth_diff_km,hypocentral_distance_km,distance_band,within_30km,within_60km,within_100km,prepost_flag,magnitude_bin,is_m4plus,is_m5plus,is_m6plus,mag_to_mainshock_gap,is_mainshock_like_event,window_pm7d,window_pm14d,window_pm25d,overlap_mainshock_count_pm25d_100km,shared_across_mainshocks_pm25d_100km
2025-11-02 09:50:02.190000+00:00,39.929386,143.620117,13.27,2.0,EVT_000741,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-598417.05,-166.22695833333336,-6.926123263888889,59.436570188753265,-2.630000000000001,2.630000000000001,59.49472897494864,30-60 km,False,True,True,pre,<4,False,False,False,4.9,False,True,True,True,1,False
2025-11-02 09:57:55.560000+00:00,39.925977,143.61888,15.83,4.6,EVT_000742,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-597943.68,-166.09546666666668,-6.920644444444445,59.04537596246743,-0.07000000000000028,0.07000000000000028,59.04541745596458,30-60 km,False,True,True,pre,4-<5,True,False,False,2.3000000000000007,False,True,True,True,1,False
2025-11-02 10:03:59.840000+00:00,39.921659,143.612386,15.18,4.4,EVT_000743,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-597579.4,-165.9942777777778,-6.916428240740741,58.48337465289856,-0.7200000000000006,0.7200000000000006,58.487806513762315,30-60 km,False,True,True,pre,4-<5,True,False,False,2.5,False,True,True,True,1,False
2025-11-02 10:24:49.470000+00:00,39.916984,143.626709,13.44,2.0,EVT_000744,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-596329.77,-165.64715833333335,-6.901964930555556,58.17327681776134,-2.460000000000001,2.460000000000001,58.22526715881936,30-60 km,False,True,True,pre,<4,False,False,False,4.9,False,True,True,True,1,False
2025-11-02 10:44:10.810000+00:00,39.932959,143.622526,11.41,1.8,EVT_000745,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-595168.43,-165.3245638888889,-6.888523495370371,59.862270755594615,-4.49,4.49,60.030421954340106,30-60 km,False,True,True,pre,<4,False,False,False,5.1000000000000005,False,True,True,True,1,False
2025-11-02 11:04:41.370000+00:00,39.934526,143.616878,11.62,2.0,EVT_000746,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-593937.87,-164.98274166666667,-6.874280902777778,59.95638081152027,-4.280000000000001,4.280000000000001,60.108951080650506,30-60 km,False,True,True,pre,<4,False,False,False,4.9,False,True,True,True,1,False
2025-11-02 11:58:02.510000+00:00,39.908476,143.616064,9.76,1.4,EVT_000748,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-590736.73,-164.0935361111111,-6.837230671296296,57.086272712479655,-6.140000000000001,6.140000000000001,57.41552170104874,30-60 km,False,True,True,pre,<4,False,False,False,5.5,False,True,True,True,1,False
2025-11-02 12:26:49.760000+00:00,39.042578,142.443783,22.95,0.8,EVT_000749,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-589009.48,-163.61374444444445,-6.8172393518518515,99.9274600779771,7.049999999999999,7.049999999999999,100.17584428212076,60-100 km,False,False,True,pre,<4,False,False,False,6.1000000000000005,False,True,True,True,1,False
2025-11-02 13:11:12.120000+00:00,39.402441,142.542822,31.72,0.8,EVT_000753,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-586347.12,-162.8742,-6.786425,82.84306488213657,15.819999999999999,15.819999999999999,84.34006046396865,60-100 km,False,False,True,pre,<4,False,False,False,6.1000000000000005,False,True,True,True,1,False
2025-11-02 18:42:33.200000+00:00,39.933105,143.590641,13.65,2.1,EVT_000759,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-566466.04,-157.35167777777778,-6.556319907407408,59.488524745649094,-2.25,2.25,59.53105976222584,30-60 km,False,True,True,pre,<4,False,False,False,4.800000000000001,False,True,True,True,1,False
2025-11-02 19:27:13.480000+00:00,39.446252,142.353239,37.35,0.9,EVT_000760,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-563785.76,-156.60715555555555,-6.525298148148148,99.22292558604279,21.450000000000003,21.450000000000003,101.51498146506941,60-100 km,False,False,True,pre,<4,False,False,False,6.0,False,True,True,True,1,False
2025-11-02 19:49:36.840000+00:00,39.928646,143.611784,8.01,1.8,EVT_000761,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-562442.4,-156.234,-6.50975,59.243223842544005,-7.890000000000001,7.890000000000001,59.76630883079341,30-60 km,False,True,True,pre,<4,False,False,False,5.1000000000000005,False,True,True,True,1,False
2025-11-02 22:40:56.760000+00:00,39.925309,143.613639,11.41,1.7,EVT_000764,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-552162.48,-153.37846666666667,-6.3907694444444445,58.90090139051918,-4.49,4.49,59.07178924508436,30-60 km,False,True,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-02 23:29:51.720000+00:00,39.144177,142.924463,17.93,1.3,EVT_000765,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-549227.52,-152.5632,-6.3568,57.761383921847276,2.0299999999999994,2.0299999999999994,57.79704466983616,30-60 km,False,True,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-02 23:38:53.980000+00:00,39.582902,143.26346,11.06,1.7,EVT_000766,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-548685.26,-152.41257222222222,-6.350523842592593,29.006228845319885,-4.84,4.84,29.407259508955732,0-30 km,True,True,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-03 04:51:45.290000+00:00,39.923006,143.626188,16.55,3.9,EVT_000769,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-529913.95,-147.19831944444442,-6.133263310185185,58.82471062902159,0.6500000000000004,0.6500000000000004,58.828301697296396,30-60 km,False,True,True,pre,<4,False,False,False,3.0000000000000004,False,True,True,True,1,False
2025-11-03 07:07:22.280000+00:00,39.484253,142.624463,16.82,1.7,EVT_000773,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-521776.96,-144.93804444444444,-6.0390851851851854,76.33384031610518,0.9199999999999999,0.9199999999999999,76.33938418277059,60-100 km,False,False,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-03 07:21:05.380000+00:00,39.405591,142.533984,32.48,1.3,EVT_000774,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-520953.86,-144.70940555555555,-6.029558564814814,83.60147766563357,16.58,16.58,85.22971000700066,60-100 km,False,False,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-03 09:20:44.660000+00:00,39.146663,143.316048,8.44,2.2,EVT_000777,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-513774.58,-142.71516111111112,-5.9464650462962965,32.80679412402398,-7.460000000000001,7.460000000000001,33.64427649238566,30-60 km,False,True,True,pre,<4,False,False,False,4.7,False,True,True,True,1,False
